lh.aparc.a2009s.thickness	lh_G_and_S_frontomargin_thickness	lh_G_and_S_occipital_inf_thickness	lh_G_and_S_paracentral_thickness	lh_G_and_S_subcentral_thickness	lh_G_and_S_transv_frontopol_thickness	lh_G_and_S_cingul-Ant_thickness	lh_G_and_S_cingul-Mid-Ant_thickness	lh_G_and_S_cingul-Mid-Post_thickness	lh_G_cingul-Post-dorsal_thickness	lh_G_cingul-Post-ventral_thickness	lh_G_cuneus_thickness	lh_G_front_inf-Opercular_thickness	lh_G_front_inf-Orbital_thickness	lh_G_front_inf-Triangul_thickness	lh_G_front_middle_thickness	lh_G_front_sup_thickness	lh_G_Ins_lg_and_S_cent_ins_thickness	lh_G_insular_short_thickness	lh_G_occipital_middle_thickness	lh_G_occipital_sup_thickness	lh_G_oc-temp_lat-fusifor_thickness	lh_G_oc-temp_med-Lingual_thickness	lh_G_oc-temp_med-Parahip_thickness	lh_G_orbital_thickness	lh_G_pariet_inf-Angular_thickness	lh_G_pariet_inf-Supramar_thickness	lh_G_parietal_sup_thickness	lh_G_postcentral_thickness	lh_G_precentral_thickness	lh_G_precuneus_thickness	lh_G_rectus_thickness	lh_G_subcallosal_thickness	lh_G_temp_sup-G_T_transv_thickness	lh_G_temp_sup-Lateral_thickness	lh_G_temp_sup-Plan_polar_thickness	lh_G_temp_sup-Plan_tempo_thickness	lh_G_temporal_inf_thickness	lh_G_temporal_middle_thickness	lh_Lat_Fis-ant-Horizont_thickness	lh_Lat_Fis-ant-Vertical_thickness	lh_Lat_Fis-post_thickness	lh_Pole_occipital_thickness	lh_Pole_temporal_thickness	lh_S_calcarine_thickness	lh_S_central_thickness	lh_S_cingul-Marginalis_thickness	lh_S_circular_insula_ant_thickness	lh_S_circular_insula_inf_thickness	lh_S_circular_insula_sup_thickness	lh_S_collat_transv_ant_thickness	lh_S_collat_transv_post_thickness	lh_S_front_inf_thickness	lh_S_front_middle_thickness	lh_S_front_sup_thickness	lh_S_interm_prim-Jensen_thickness	lh_S_intrapariet_and_P_trans_thickness	lh_S_oc_middle_and_Lunatus_thickness	lh_S_oc_sup_and_transversal_thickness	lh_S_occipital_ant_thickness	lh_S_oc-temp_lat_thickness	lh_S_oc-temp_med_and_Lingual_thickness	lh_S_orbital_lateral_thickness	lh_S_orbital_med-olfact_thickness	lh_S_orbital-H_Shaped_thickness	lh_S_parieto_occipital_thickness	lh_S_pericallosal_thickness	lh_S_postcentral_thickness	lh_S_precentral-inf-part_thickness	lh_S_precentral-sup-part_thickness	lh_S_suborbital_thickness	lh_S_subparietal_thickness	lh_S_temporal_inf_thickness	lh_S_temporal_sup_thickness	lh_S_temporal_transverse_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w	2.422	2.569	2.41	2.75	2.608	2.756	2.693	2.782	2.959	2.957	1.757	2.861	2.818	2.385	2.627	2.945	3.526	3.678	2.39	2.199	2.865	1.959	3.629	2.68	2.616	2.827	2.326	2.281	2.988	2.428	2.539	2.805	2.36	3.414	3.746	2.596	3.179	3.304	2.212	2.825	2.445	1.958	3.705	1.83	2.052	1.955	2.651	2.942	2.854	2.846	2.135	2.092	2.071	2.422	2.539	2.06	1.86	2.285	2.075	2.556	2.615	1.933	2.521	2.8	2.193	1.702	1.844	2.222	2.36	2.412	2.266	2.582	2.554	2.594	2.54825	1118520.0	1522172.901599
sub-1_ses-2_T1w	2.369	2.473	2.355	2.696	2.544	2.725	2.64	2.741	2.906	2.908	1.816	2.821	2.718	2.316	2.598	2.897	3.328	3.794	2.267	2.055	2.781	1.907	3.68	2.704	2.518	2.692	2.268	2.161	2.975	2.427	2.54	2.842	2.336	3.347	3.532	2.404	3.093	3.177	2.066	2.775	2.33	1.885	3.687	1.861	1.955	1.951	2.614	2.819	2.71	2.77	2.137	2.044	1.992	2.326	2.448	1.911	1.724	2.221	1.901	2.539	2.581	1.779	2.421	2.603	2.217	1.625	1.777	2.093	2.329	2.206	2.216	2.487	2.465	2.507	2.47895	1118508.0	1530498.771945
sub-1_ses-3_T1w	2.526	2.385	2.422	2.689	2.664	2.788	2.744	2.662	3.065	3.05	1.786	2.881	2.766	2.386	2.634	2.958	3.427	3.83	2.313	2.172	2.68	1.969	3.576	2.72	2.627	2.721	2.294	2.213	2.974	2.417	2.476	2.812	2.351	3.338	3.641	2.498	3.096	3.133	2.189	2.668	2.383	1.814	3.716	1.839	2.001	1.956	2.626	2.833	2.786	2.771	2.011	2.072	2.167	2.408	2.358	2.007	1.658	2.205	1.867	2.341	2.529	1.831	2.399	2.654	2.25	1.828	1.872	2.165	2.386	2.227	2.219	2.419	2.455	2.597	2.50683	1127454.0	1531849.496901
sub-1_ses-4_T1w	2.592	2.435	2.416	2.738	2.617	2.883	2.755	2.748	3.057	3.007	1.791	2.807	2.866	2.427	2.622	2.977	3.326	3.759	2.407	2.119	2.722	1.936	3.631	2.716	2.58	2.7	2.318	2.242	2.908	2.415	2.528	2.815	2.402	3.359	3.411	2.576	3.093	3.228	2.162	2.785	2.352	1.913	3.62	1.812	2.013	1.925	2.652	2.812	2.777	2.814	2.143	2.097	2.167	2.323	2.315	1.978	1.712	2.241	1.863	2.42	2.542	1.998	2.539	2.756	2.164	1.792	1.852	2.176	2.379	2.39	2.154	2.47	2.493	2.63	2.51436	1117986.0	1529652.251987
sub-1_ses-5_T1w	2.395	2.459	2.401	2.716	2.623	2.803	2.738	2.704	3.041	3.212	1.773	2.835	2.732	2.461	2.588	2.949	3.227	3.754	2.391	2.18	2.782	1.903	3.683	2.693	2.567	2.725	2.308	2.236	2.906	2.391	2.38	2.901	2.387	3.375	3.516	2.546	3.104	3.21	2.198	2.834	2.357	1.77	3.453	1.839	2.019	1.98	2.662	2.865	2.834	2.79	2.066	2.067	2.067	2.34	2.355	1.968	1.745	2.199	1.83	2.395	2.591	1.954	2.451	2.835	2.128	1.793	1.829	2.178	2.391	2.32	2.243	2.512	2.417	2.628	2.50342	1113547.0	1527840.307848
sub-1_ses-6_T1w	2.373	2.399	2.322	2.696	2.395	2.763	2.68	2.729	2.978	3.171	1.72	2.779	2.737	2.399	2.565	2.926	3.282	3.704	2.349	2.132	2.808	1.908	3.594	2.641	2.562	2.723	2.283	2.256	2.911	2.366	2.523	2.857	2.382	3.374	3.523	2.51	3.083	3.189	2.142	2.74	2.397	1.865	3.612	1.799	1.965	1.966	2.598	2.834	2.796	2.763	2.019	2.035	2.107	2.344	2.406	1.941	1.717	2.231	1.886	2.374	2.5	1.934	2.402	2.592	2.104	1.721	1.831	2.161	2.403	2.38	2.159	2.503	2.426	2.601	2.4827	1124453.0	1521203.295587
sub-1_ses-7_T1w	2.5	2.411	2.375	2.69	2.702	2.816	2.694	2.69	2.97	3.068	1.686	2.857	2.814	2.399	2.629	2.951	3.266	3.768	2.383	2.123	2.801	1.81	3.723	2.718	2.602	2.752	2.301	2.274	2.949	2.372	2.563	2.738	2.414	3.376	3.708	2.589	3.103	3.256	2.146	2.718	2.34	1.751	3.687	1.788	1.975	1.939	2.655	2.854	2.779	2.784	2.079	2.052	2.141	2.361	2.312	1.968	1.784	2.21	1.931	2.517	2.562	1.914	2.489	2.813	2.107	1.749	1.862	2.218	2.403	2.402	2.195	2.443	2.473	2.638	2.50626	1116471.0	1518062.105353
sub-1_ses-8_T1w	2.467	2.412	2.361	2.718	2.63	2.763	2.726	2.749	3.035	3.082	1.749	2.841	2.777	2.48	2.615	2.969	3.306	3.711	2.372	2.108	2.752	1.816	3.58	2.63	2.572	2.715	2.277	2.248	2.944	2.398	2.458	2.895	2.409	3.408	3.571	2.577	3.132	3.115	2.029	2.778	2.422	1.801	3.648	1.847	1.979	1.997	2.565	2.757	2.796	2.72	1.96	2.044	2.112	2.373	2.421	1.955	1.72	2.18	1.892	2.408	2.505	1.896	2.365	2.633	2.133	1.706	1.844	2.19	2.359	2.374	2.203	2.447	2.444	2.493	2.49537	1127406.0	1525395.784576
sub-1_ses-9_T1w	2.424	2.385	2.346	2.691	2.598	2.75	2.559	2.643	2.973	3.018	1.837	2.786	2.842	2.345	2.548	2.895	3.401	3.714	2.337	2.142	2.698	1.963	3.56	2.705	2.602	2.688	2.266	2.203	2.913	2.37	2.443	2.818	2.318	3.326	3.525	2.523	3.049	3.106	2.047	2.733	2.392	1.874	3.594	1.791	1.934	1.943	2.594	2.749	2.733	2.676	1.965	2.051	2.038	2.291	2.625	1.972	1.642	2.195	1.892	2.305	2.515	1.809	2.471	2.635	2.195	1.724	1.769	2.091	2.305	2.217	2.213	2.436	2.436	2.466	2.46984	1119470.0	1527645.782925
sub-1_ses-10_T1w	2.5	2.406	2.37	2.733	2.59	2.766	2.783	2.721	2.885	3.082	1.72	2.757	2.803	2.369	2.652	2.917	3.324	3.707	2.411	2.178	2.769	1.782	3.601	2.66	2.577	2.757	2.289	2.235	2.924	2.427	2.427	2.747	2.434	3.373	3.74	2.498	3.105	3.234	2.043	2.802	2.432	1.914	3.637	1.774	1.968	1.951	2.731	2.823	2.876	2.755	1.937	2.111	2.139	2.327	2.357	1.948	1.777	2.284	1.966	2.349	2.547	2.07	2.457	2.864	2.18	1.731	1.848	2.196	2.332	2.326	2.141	2.537	2.497	2.59	2.50365	1122629.0	1522506.165615
