lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w	2.734	2.491	2.64	1.795	3.634	2.936	2.425	2.955	2.44	2.176	2.684	1.959	2.553	3.04	3.324	2.54	2.622	2.633	2.377	1.737	2.098	2.479	2.694	2.292	2.713	2.336	2.795	2.139	3.009	2.601	3.125	4.137	2.147	3.203	2.54825	1118520.0	1522172.901599
sub-1_ses-2_T1w	2.625	2.377	2.55	1.837	3.808	2.89	2.333	2.873	2.331	2.053	2.604	1.959	2.483	2.907	3.322	2.487	2.546	2.538	2.287	1.749	2.011	2.481	2.634	2.285	2.719	2.28	2.761	2.059	2.902	2.463	2.813	4.104	2.203	3.128	2.47895	1118508.0	1530498.771945
sub-1_ses-3_T1w	2.62	2.597	2.588	1.825	3.781	2.792	2.366	2.821	2.396	2.005	2.628	1.983	2.446	2.879	3.294	2.477	2.59	2.602	2.368	1.747	2.053	2.59	2.675	2.291	2.812	2.359	2.83	2.103	2.917	2.525	3.226	4.119	2.174	3.175	2.50683	1127454.0	1531849.496901
sub-1_ses-4_T1w	2.589	2.62	2.553	1.825	3.736	2.843	2.375	2.848	2.389	2.084	2.673	1.961	2.575	2.948	3.299	2.484	2.551	2.685	2.416	1.698	2.075	2.573	2.646	2.258	2.825	2.368	2.839	2.109	2.944	2.504	3.12	3.816	2.239	3.173	2.51436	1117986.0	1529652.251987
sub-1_ses-5_T1w	2.558	2.612	2.599	1.8	3.731	2.862	2.326	2.854	2.467	2.042	2.694	1.96	2.445	2.939	3.351	2.475	2.614	2.548	2.405	1.701	2.069	2.571	2.665	2.255	2.851	2.316	2.798	2.098	2.956	2.485	2.95	3.663	2.261	3.163	2.50342	1113547.0	1527840.307848
sub-1_ses-6_T1w	2.572	2.473	2.565	1.759	3.66	2.868	2.329	2.835	2.376	2.057	2.562	1.921	2.556	2.914	3.264	2.455	2.536	2.489	2.375	1.7	2.077	2.483	2.627	2.219	2.794	2.3	2.78	2.066	2.924	2.504	2.784	4.044	2.195	3.203	2.4827	1124453.0	1521203.295587
sub-1_ses-7_T1w	2.592	2.536	2.582	1.723	3.818	2.909	2.378	2.878	2.389	2.035	2.683	1.859	2.571	2.969	3.289	2.492	2.595	2.599	2.378	1.667	2.078	2.538	2.654	2.227	2.765	2.354	2.808	2.079	2.964	2.521	3.191	4.126	2.259	3.145	2.50626	1116471.0	1518062.105353
sub-1_ses-8_T1w	2.614	2.498	2.563	1.758	3.688	2.838	2.305	2.868	2.433	2.05	2.571	1.848	2.503	2.878	3.247	2.454	2.56	2.542	2.388	1.729	2.072	2.594	2.665	2.257	2.792	2.342	2.826	2.067	2.943	2.516	3.012	4.118	2.266	3.147	2.49537	1127406.0	1525395.784576
sub-1_ses-9_T1w	2.561	2.547	2.522	1.841	3.699	2.772	2.363	2.798	2.299	2.048	2.623	1.962	2.452	2.855	3.275	2.447	2.552	2.542	2.333	1.719	2.029	2.452	2.608	2.26	2.702	2.279	2.755	2.065	2.871	2.503	3.203	4.06	2.12	3.137	2.46984	1119470.0	1527645.782925
sub-1_ses-10_T1w	2.599	2.521	2.57	1.753	3.736	2.842	2.4	2.863	2.403	2.109	2.676	1.829	2.465	2.94	3.25	2.451	2.572	2.617	2.355	1.639	2.064	2.486	2.649	2.274	2.631	2.386	2.804	2.071	2.963	2.531	3.076	4.138	2.258	3.16	2.50365	1122629.0	1522506.165615
sub-1_ses-11_T1w	2.657	2.478	2.596	1.731	3.76	2.882	2.36	2.845	2.349	2.061	2.625	1.897	2.454	2.9	3.233	2.452	2.579	2.649	2.337	1.61	2.056	2.448	2.658	2.262	2.748	2.352	2.816	2.075	2.954	2.525	3.145	4.131	2.294	3.185	2.49879	1123504.0	1517619.013061
sub-1_ses-12_T1w	2.639	2.512	2.585	1.835	3.593	2.856	2.344	2.817	2.418	2.054	2.631	2.005	2.406	2.904	3.204	2.464	2.566	2.524	2.343	1.74	2.053	2.567	2.648	2.269	2.825	2.301	2.767	2.1	2.926	2.523	2.749	4.044	2.291	3.112	2.49357	1122107.0	1534494.998629
sub-1_ses-13_T1w	2.689	2.403	2.537	1.776	3.676	2.885	2.403	2.912	2.35	2.146	2.61	1.91	2.566	3.007	3.308	2.519	2.543	2.674	2.375	1.678	2.094	2.484	2.666	2.311	2.738	2.381	2.799	2.13	3.025	2.594	3.171	3.26	2.269	3.244	2.52869	1119149.0	1521459.356656
