lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w	2.718	2.635	1.825	3.648	2.811	2.454	3.047	2.464	2.185	2.717	1.965	2.542	2.908	3.292	2.532	2.702	2.536	2.285	1.741	2.094	2.496	2.71	2.305	2.725	2.365	2.712	2.153	3.087	2.611	2.15	3.282	2.54825	1118520.0	1522172.901599
sub-1_ses-2_T1w	2.641	2.556	1.868	3.773	2.768	2.354	2.98	2.36	2.052	2.666	1.967	2.495	2.793	3.303	2.486	2.624	2.447	2.203	1.753	2.018	2.48	2.644	2.294	2.694	2.312	2.666	2.061	2.987	2.472	2.197	3.192	2.47895	1118508.0	1530498.771945
sub-1_ses-3_T1w	2.812	2.592	1.865	3.65	2.68	2.397	2.932	2.42	2.011	2.696	1.977	2.44	2.763	3.248	2.484	2.659	2.467	2.288	1.753	2.057	2.584	2.682	2.305	2.768	2.394	2.747	2.112	3.018	2.527	2.167	3.239	2.50683	1127454.0	1531849.496901
sub-1_ses-4_T1w	2.825	2.566	1.842	3.705	2.734	2.406	2.958	2.416	2.093	2.733	1.961	2.536	2.812	3.281	2.498	2.638	2.553	2.325	1.706	2.078	2.578	2.651	2.269	2.845	2.392	2.758	2.121	2.991	2.501	2.249	3.211	2.51436	1117986.0	1529652.251987
sub-1_ses-5_T1w	2.812	2.604	1.82	3.694	2.765	2.36	2.934	2.47	2.056	2.749	1.949	2.462	2.798	3.339	2.469	2.672	2.452	2.321	1.706	2.067	2.572	2.673	2.271	2.774	2.349	2.721	2.107	2.986	2.493	2.263	3.217	2.50342	1113547.0	1527840.307848
sub-1_ses-6_T1w	2.692	2.577	1.777	3.606	2.751	2.363	2.93	2.406	2.066	2.625	1.923	2.513	2.787	3.246	2.456	2.634	2.435	2.262	1.709	2.072	2.493	2.634	2.23	2.793	2.323	2.697	2.076	2.989	2.515	2.2	3.223	2.4827	1124453.0	1521203.295587
sub-1_ses-7_T1w	2.725	2.587	1.748	3.785	2.801	2.409	2.957	2.396	2.044	2.742	1.855	2.539	2.83	3.265	2.497	2.672	2.52	2.284	1.672	2.076	2.519	2.66	2.251	2.76	2.381	2.742	2.087	3.038	2.526	2.257	3.208	2.50626	1116471.0	1518062.105353
sub-1_ses-8_T1w	2.726	2.565	1.801	3.686	2.708	2.337	2.972	2.452	2.054	2.671	1.854	2.49	2.757	3.223	2.456	2.649	2.437	2.263	1.733	2.071	2.595	2.682	2.27	2.731	2.366	2.753	2.076	3.008	2.522	2.276	3.176	2.49537	1127406.0	1525395.784576
sub-1_ses-9_T1w	2.697	2.531	1.879	3.657	2.668	2.391	2.889	2.334	2.05	2.686	1.958	2.44	2.735	3.255	2.444	2.625	2.447	2.232	1.725	2.028	2.453	2.62	2.265	2.667	2.299	2.688	2.075	2.956	2.508	2.107	3.175	2.46984	1119470.0	1527645.782925
sub-1_ses-10_T1w	2.764	2.578	1.788	3.708	2.725	2.425	2.969	2.424	2.114	2.724	1.838	2.441	2.823	3.234	2.45	2.644	2.558	2.284	1.647	2.07	2.502	2.661	2.285	2.673	2.408	2.726	2.075	3.031	2.537	2.263	3.243	2.50365	1122629.0	1522506.165615
