lh.aparc.DKTatlas.volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w	3135.0	5891.0	3300.0	1968.0	8548.0	11847.0	12432.0	3010.0	10583.0	8466.0	5316.0	4729.0	13544.0	2573.0	4167.0	4019.0	1941.0	3915.0	2253.0	10164.0	3529.0	14153.0	9874.0	3842.0	12400.0	21394.0	11678.0	17911.0	10480.0	912.0	6529.0	1118520.0	1522172.901599
sub-1_ses-2_T1w	3068.0	5912.0	3331.0	1942.0	8321.0	11486.0	12259.0	2978.0	10041.0	8351.0	5405.0	4629.0	13323.0	2721.0	4059.0	3901.0	1807.0	4031.0	2316.0	9833.0	3527.0	13986.0	9708.0	3741.0	12215.0	21507.0	11296.0	17199.0	10076.0	930.0	6380.0	1118508.0	1530498.771945
sub-1_ses-3_T1w	3073.0	5955.0	3288.0	1918.0	8181.0	11854.0	12071.0	3014.0	9914.0	8295.0	5417.0	4544.0	13179.0	2701.0	4150.0	3905.0	1868.0	4185.0	2343.0	10063.0	3418.0	14201.0	9714.0	3660.0	12493.0	21964.0	11600.0	17647.0	10244.0	895.0	6492.0	1127454.0	1531849.496901
sub-1_ses-4_T1w	3256.0	5775.0	3320.0	1953.0	8282.0	11709.0	11993.0	3033.0	10083.0	8409.0	5539.0	4665.0	13426.0	2686.0	4219.0	3895.0	1944.0	4203.0	2293.0	10104.0	3560.0	13890.0	9768.0	3819.0	12211.0	21589.0	11621.0	17459.0	10191.0	932.0	6361.0	1117986.0	1529652.251987
sub-1_ses-5_T1w	3131.0	5864.0	3229.0	2011.0	8440.0	11639.0	12017.0	3063.0	10094.0	8384.0	5546.0	4572.0	13360.0	2780.0	4115.0	3975.0	1830.0	4212.0	2297.0	10096.0	3498.0	14073.0	9680.0	3635.0	12197.0	21356.0	11549.0	17379.0	10240.0	990.0	6464.0	1113547.0	1527840.307848
sub-1_ses-6_T1w	2947.0	5846.0	3292.0	2049.0	8428.0	11696.0	12184.0	3106.0	10028.0	8194.0	5431.0	4764.0	13092.0	2620.0	4145.0	3882.0	1859.0	4114.0	2291.0	10078.0	3485.0	13952.0	9595.0	3748.0	12089.0	21487.0	11392.0	17473.0	10236.0	959.0	6469.0	1124453.0	1521203.295587
sub-1_ses-7_T1w	3077.0	5810.0	3158.0	2061.0	8543.0	11605.0	12081.0	3090.0	10019.0	8400.0	5411.0	4612.0	13494.0	2646.0	4052.0	3869.0	1911.0	4183.0	2266.0	10063.0	3436.0	13985.0	9586.0	3861.0	12157.0	21518.0	11305.0	17675.0	10276.0	972.0	6414.0	1116471.0	1518062.105353
sub-1_ses-8_T1w	3089.0	5971.0	3308.0	2207.0	8379.0	11541.0	12431.0	3087.0	10094.0	8466.0	5296.0	4623.0	12959.0	2619.0	4124.0	4008.0	1869.0	4073.0	2388.0	10143.0	3530.0	14267.0	9841.0	3644.0	12424.0	21968.0	11394.0	17705.0	10321.0	979.0	6378.0	1127406.0	1525395.784576
sub-1_ses-9_T1w	3081.0	5793.0	3411.0	2103.0	8221.0	11746.0	11857.0	3060.0	10063.0	8304.0	5363.0	4458.0	12860.0	2599.0	4076.0	3838.0	1833.0	3967.0	2364.0	9963.0	3429.0	13896.0	9643.0	3693.0	12021.0	21344.0	11401.0	17232.0	10122.0	884.0	6385.0	1119470.0	1527645.782925
sub-1_ses-10_T1w	3013.0	5771.0	3268.0	1942.0	8547.0	11788.0	12154.0	2982.0	10280.0	8301.0	5278.0	4527.0	13281.0	2566.0	4089.0	3883.0	1839.0	4112.0	2262.0	10069.0	3486.0	13898.0	9820.0	3759.0	12316.0	21364.0	11304.0	17758.0	10223.0	989.0	6522.0	1122629.0	1522506.165615
