rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV	rh_temporalpole_area
sub-1_ses-1_T1w	611.0	2058.0	1839.0	386.0	2564.0	5043.0	3544.0	973.0	4384.0	3095.0	2909.0	1538.0	4071.0	658.0	1408.0	1444.0	630.0	1443.0	1554.0	4762.0	1248.0	4493.0	4284.0	643.0	4551.0	8754.0	4709.0	4475.0	3283.0	321.0	2094.0	83771.2	1118520.0	1522172.901599	0.0
sub-1_ses-2_T1w	603.0	2095.0	1895.0	367.0	2622.0	5043.0	3671.0	940.0	4479.0	3081.0	2957.0	1596.0	4039.0	597.0	1450.0	1429.0	661.0	1451.0	1575.0	4790.0	1250.0	4537.0	4253.0	668.0	4526.0	8768.0	4747.0	4522.0	3339.0	322.0	2126.0	84399.6	1118508.0	1530498.771945	0.0
sub-1_ses-3_T1w	668.0	2092.0	1875.0	397.0	2646.0	5096.0	3659.0	1014.0	4554.0	3132.0	2999.0	1656.0	4066.0	639.0	1451.0	1452.0	683.0	1476.0	1597.0	4815.0	1314.0	4574.0	4291.0	664.0	4696.0	8887.0	4726.0	4483.0	3372.0	320.0	2119.0	85414.0	1127454.0	1531849.496901	0.0
sub-1_ses-4_T1w	618.0	2173.0	1959.0	382.0	2612.0	4994.0	3649.0	1001.0	4344.0	3199.0	3009.0	1532.0	4096.0	603.0	1421.0	1433.0	607.0	1435.0	1611.0	4877.0	1252.0	4554.0	4185.0	684.0	4659.0	8750.0	4733.0	4530.0	3296.0	334.0	2135.0	84667.3	1117986.0	1529652.251987	0.0
sub-1_ses-5_T1w	633.0	2143.0	1872.0	393.0	2583.0	4985.0	3700.0	911.0	4386.0	3153.0	2912.0	1604.0	4033.0	617.0	1439.0	1439.0	639.0	1441.0	1532.0	4831.0	1259.0	4549.0	4202.0	709.0	4575.0	8718.0	4673.0	4548.0	3321.0	330.0	2134.0	84276.4	1113547.0	1527840.307848	14.0
sub-1_ses-6_T1w	586.0	2104.0	1950.0	397.0	2630.0	5024.0	3677.0	917.0	4472.0	3209.0	3039.0	1578.0	4074.0	612.0	1420.0	1462.0	601.0	1466.0	1609.0	4845.0	1233.0	4477.0	4291.0	676.0	4641.0	8849.0	4733.0	4554.0	3351.0	326.0	2135.0	84935.9	1124453.0	1521203.295587	0.0
sub-1_ses-7_T1w	630.0	2053.0	1860.0	418.0	2588.0	5078.0	3598.0	977.0	4423.0	3110.0	2966.0	1590.0	4076.0	663.0	1412.0	1469.0	624.0	1499.0	1586.0	4797.0	1219.0	4500.0	4212.0	675.0	4628.0	8757.0	4651.0	4502.0	3297.0	306.0	2104.0	84266.5	1116471.0	1518062.105353	0.0
sub-1_ses-8_T1w	619.0	2130.0	1906.0	392.0	2676.0	5085.0	3717.0	962.0	4461.0	3139.0	2996.0	1641.0	4119.0	611.0	1406.0	1425.0	593.0	1459.0	1625.0	4939.0	1249.0	4615.0	4228.0	660.0	4712.0	8911.0	4797.0	4543.0	3350.0	329.0	2142.0	85451.6	1127406.0	1525395.784576	16.0
sub-1_ses-9_T1w	608.0	2100.0	1840.0	371.0	2622.0	5087.0	3661.0	969.0	4510.0	3178.0	2855.0	1561.0	4116.0	645.0	1483.0	1486.0	650.0	1451.0	1527.0	4835.0	1272.0	4619.0	4269.0	674.0	4667.0	8769.0	4754.0	4502.0	3368.0	326.0	2089.0	84864.9	1119470.0	1527645.782925	0.0
sub-1_ses-10_T1w	598.0	2106.0	1890.0	429.0	2648.0	5059.0	3706.0	984.0	4442.0	3228.0	2919.0	1594.0	4090.0	618.0	1411.0	1426.0	656.0	1474.0	1604.0	4880.0	1287.0	4545.0	4284.0	652.0	4661.0	8742.0	4691.0	4518.0	3365.0	314.0	2160.0	84981.1	1122629.0	1522506.165615	0.0
