rh.aparc.DKTatlas.thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV	rh_temporalpole_thickness
sub-1_ses-1_T1w	2.52	2.395	1.922	3.732	2.882	2.323	2.832	2.356	2.3	2.591	2.081	2.498	2.835	3.021	2.494	2.418	2.604	2.367	1.669	2.088	2.541	2.601	2.422	2.911	2.297	2.726	2.186	2.981	2.5	2.064	3.233	2.50187	1118520.0	1522172.901599	0.0
sub-1_ses-2_T1w	2.445	2.498	1.867	3.72	2.854	2.392	2.832	2.318	2.256	2.595	2.024	2.459	2.792	3.018	2.508	2.421	2.59	2.421	1.613	2.025	2.529	2.578	2.422	2.888	2.354	2.735	2.13	2.973	2.449	2.076	3.214	2.49119	1118508.0	1530498.771945	0.0
sub-1_ses-3_T1w	2.508	2.499	1.797	3.706	2.802	2.409	2.856	2.265	2.223	2.618	2.0	2.443	2.827	2.996	2.517	2.48	2.544	2.403	1.554	2.08	2.499	2.63	2.433	2.8	2.413	2.808	2.174	2.984	2.495	2.057	3.27	2.51065	1127454.0	1531849.496901	0.0
sub-1_ses-4_T1w	2.534	2.46	1.89	3.608	2.82	2.289	2.826	2.325	2.265	2.583	2.0	2.469	2.843	3.035	2.536	2.461	2.702	2.426	1.53	2.091	2.544	2.659	2.438	2.851	2.367	2.742	2.159	2.952	2.517	2.051	3.303	2.50124	1117986.0	1529652.251987	0.0
sub-1_ses-5_T1w	2.486	2.457	1.882	3.557	2.854	2.349	2.818	2.421	2.264	2.605	2.063	2.446	2.821	3.006	2.476	2.416	2.67	2.401	1.638	2.074	2.578	2.602	2.427	2.854	2.349	2.747	2.15	2.921	2.431	2.044	3.229	2.49631	1113547.0	1527840.307848	1.204
sub-1_ses-6_T1w	2.635	2.474	1.833	3.752	2.821	2.421	2.805	2.402	2.221	2.542	1.982	2.466	2.806	2.981	2.47	2.495	2.678	2.385	1.522	2.09	2.615	2.633	2.462	2.765	2.386	2.766	2.21	2.965	2.499	2.065	3.252	2.50637	1124453.0	1521203.295587	0.0
sub-1_ses-7_T1w	2.492	2.453	1.891	3.644	2.868	2.354	2.832	2.331	2.286	2.676	2.029	2.434	2.845	3.037	2.494	2.482	2.674	2.45	1.591	2.096	2.565	2.646	2.421	2.958	2.38	2.744	2.165	2.98	2.503	2.092	3.262	2.51503	1116471.0	1518062.105353	0.0
sub-1_ses-8_T1w	2.527	2.461	1.84	3.666	2.783	2.337	2.762	2.388	2.203	2.514	1.991	2.38	2.782	2.993	2.504	2.372	2.582	2.357	1.571	2.053	2.554	2.581	2.371	2.836	2.287	2.735	2.129	2.968	2.432	2.104	3.197	2.46466	1127406.0	1525395.784576	1.105
sub-1_ses-9_T1w	2.506	2.465	1.802	3.779	2.802	2.432	2.788	2.364	2.21	2.533	2.075	2.422	2.793	3.002	2.458	2.455	2.576	2.37	1.657	2.044	2.502	2.601	2.429	2.809	2.326	2.717	2.157	2.948	2.508	2.041	3.23	2.48731	1119470.0	1527645.782925	0.0
sub-1_ses-10_T1w	2.551	2.407	1.834	3.558	2.814	2.346	2.809	2.27	2.225	2.542	2.02	2.336	2.862	2.982	2.468	2.416	2.627	2.401	1.526	2.052	2.441	2.614	2.385	2.882	2.371	2.721	2.126	2.995	2.508	2.051	3.204	2.48062	1122629.0	1522506.165615	0.0
