rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV	rh_temporalpole_volume
sub-1_ses-1_T1w	1971.0	5515.0	3649.0	2046.0	8290.0	13535.0	12015.0	2573.0	11064.0	8386.0	6451.0	4310.0	13735.0	2286.0	3819.0	3788.0	1902.0	3919.0	2277.0	11238.0	3526.0	13053.0	11079.0	2118.0	12285.0	27235.0	11553.0	15834.0	9256.0	724.0	6724.0	1118520.0	1522172.901599	0.0
sub-1_ses-2_T1w	1862.0	5917.0	3643.0	1880.0	8298.0	13609.0	12394.0	2491.0	10993.0	8657.0	6309.0	4420.0	13407.0	2071.0	3997.0	3683.0	1976.0	4054.0	2221.0	11009.0	3540.0	13073.0	11048.0	2208.0	12446.0	27556.0	11243.0	16007.0	9188.0	722.0	6710.0	1118508.0	1530498.771945	0.0
sub-1_ses-3_T1w	2064.0	5859.0	3498.0	2016.0	8300.0	13844.0	12386.0	2571.0	10873.0	8676.0	6338.0	4487.0	13645.0	2188.0	3949.0	3933.0	1996.0	4095.0	2176.0	11303.0	3629.0	13366.0	11034.0	2044.0	12950.0	28342.0	11436.0	15822.0	9452.0	727.0	6822.0	1127454.0	1531849.496901	0.0
sub-1_ses-4_T1w	1976.0	5882.0	3787.0	1807.0	8222.0	13215.0	12241.0	2528.0	10712.0	8658.0	6383.0	4215.0	13762.0	2086.0	3939.0	3784.0	1942.0	4060.0	2157.0	11566.0	3552.0	13507.0	10884.0	2154.0	12866.0	27253.0	11377.0	15888.0	9314.0	738.0	6949.0	1117986.0	1529652.251987	0.0
sub-1_ses-5_T1w	1968.0	5843.0	3661.0	1883.0	8200.0	13491.0	12302.0	2518.0	10874.0	8660.0	6402.0	4298.0	13597.0	2110.0	3923.0	3737.0	1992.0	3997.0	2258.0	11371.0	3587.0	13271.0	10876.0	2215.0	12669.0	27228.0	11190.0	15695.0	9116.0	749.0	6841.0	1113547.0	1527840.307848	10.0
sub-1_ses-6_T1w	1889.0	5794.0	3646.0	2096.0	8273.0	13863.0	12335.0	2494.0	10811.0	8596.0	6375.0	4386.0	13600.0	2121.0	3873.0	3920.0	1857.0	4049.0	2104.0	11488.0	3519.0	13230.0	11249.0	2121.0	12849.0	27768.0	11615.0	16048.0	9373.0	733.0	6805.0	1124453.0	1521203.295587	0.0
sub-1_ses-7_T1w	1934.0	5616.0	3655.0	2121.0	8269.0	13672.0	12000.0	2565.0	10929.0	8821.0	6366.0	4376.0	13846.0	2270.0	3886.0	3988.0	1925.0	4226.0	2169.0	11422.0	3490.0	13294.0	10921.0	2179.0	12768.0	27333.0	11251.0	15760.0	9297.0	703.0	6772.0	1116471.0	1518062.105353	0.0
sub-1_ses-8_T1w	1967.0	5856.0	3613.0	1961.0	8403.0	13658.0	12273.0	2564.0	10693.0	8476.0	6398.0	4391.0	13681.0	2121.0	3873.0	3667.0	1850.0	3988.0	2252.0	11524.0	3538.0	13323.0	10768.0	2113.0	12585.0	27679.0	11388.0	16000.0	9226.0	760.0	6840.0	1127406.0	1525395.784576	10.0
sub-1_ses-9_T1w	1894.0	5752.0	3441.0	1988.0	8265.0	13967.0	12035.0	2571.0	10760.0	8537.0	6441.0	4184.0	13612.0	2210.0	3928.0	3898.0	1909.0	3968.0	2293.0	11128.0	3497.0	13319.0	10981.0	2082.0	12679.0	27222.0	11361.0	15701.0	9300.0	718.0	6712.0	1119470.0	1527645.782925	0.0
sub-1_ses-10_T1w	1908.0	5606.0	3583.0	2068.0	8350.0	13482.0	12220.0	2456.0	10810.0	8433.0	6299.0	4179.0	13756.0	2100.0	3769.0	3703.0	1976.0	4030.0	2132.0	11194.0	3474.0	13151.0	10921.0	2145.0	12723.0	27039.0	11106.0	15962.0	9355.0	701.0	6729.0	1122629.0	1522506.165615	0.0
sub-1_ses-11_T1w	1926.0	5938.0	3601.0	1989.0	8400.0	13996.0	12367.0	2527.0	10778.0	8670.0	6452.0	4268.0	13754.0	2092.0	3852.0	3746.0	1867.0	4063.0	2237.0	11671.0	3504.0	13237.0	10961.0	2031.0	12839.0	28063.0	11442.0	16021.0	9263.0	718.0	6796.0	1123504.0	1517619.013061	0.0
sub-1_ses-12_T1w	1980.0	5961.0	3738.0	1915.0	8334.0	13624.0	12215.0	2650.0	10857.0	8647.0	6479.0	4326.0	13652.0	2071.0	4013.0	3780.0	1918.0	4036.0	2132.0	11497.0	3590.0	13308.0	11172.0	2125.0	12733.0	27752.0	11613.0	16020.0	9253.0	721.0	6739.0	1122107.0	1534494.998629	2.0
