Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	EstimatedTotalIntraCranialVol
sub-1_ses-1_T1w.long.sub-1_base	3714.1	258.1	12255.2	49657.3	9117.7	3785.8	6128.9	2193.3	1054.2	2025.0	20637.6	4367.8	1607.2	793.7	713.9	3940.0	48.9	555.8	6643.5	124.0	12122.0	47655.5	8722.0	4282.7	6395.4	2466.1	4447.7	1865.8	868.0	4113.9	95.7	690.7	1.1	308.6	0.0	0.0	0.0	0.0	0.0	174.0	932.1	501.1	461.2	426.1	836.8	1127945.0	1112398.0	237819.119825	239521.500899	477340.620724	222840.5	225669.5	448510.0	66939.0	641944.620724	1006784.0	991237.0	1691006.0	0.739564	1.108749	1525148.075844
sub-1_ses-2_T1w.long.sub-1_base	3705.2	243.8	12414.3	49719.0	8933.2	3734.9	6057.7	2179.5	1048.9	2046.5	20564.6	4298.2	1629.9	813.4	757.3	3888.2	50.4	521.9	6654.2	133.4	12040.2	47682.0	8670.4	4209.5	6489.9	2435.0	4414.5	1886.6	853.4	4047.8	96.5	705.5	0.0	289.5	0.0	0.0	3.8	0.0	0.0	205.0	926.0	527.6	486.4	496.0	773.0	1129462.0	1113885.0	234462.960572	240487.25011	474950.210682	223534.5	228628.5	452163.0	66498.0	639170.210682	1008167.0	992590.0	1697699.0	0.740559	1.113137	1525148.075844
sub-1_ses-3_T1w.long.sub-1_base	3755.1	268.4	12330.7	49232.0	9095.4	3746.9	6167.9	2192.7	1043.9	2068.0	20551.4	4320.3	1617.0	837.8	760.8	3876.2	66.8	553.4	6627.6	136.1	11946.9	47381.2	8543.0	4215.1	6483.4	2455.7	4364.9	1888.9	883.7	4066.0	113.3	757.8	1.3	314.3	0.0	0.0	3.9	0.0	0.0	203.2	934.1	509.7	471.3	498.0	752.6	1136446.0	1120624.0	237873.647494	242789.806341	480663.453835	224799.0	229816.0	454615.0	66578.0	644155.453835	1016209.0	1000387.0	1694483.0	0.745138	1.111029	1525148.075844
sub-1_ses-4_T1w.long.sub-1_base	3762.1	260.3	12462.8	49729.2	9125.4	3713.4	6185.0	2154.9	1039.6	2061.9	20540.3	4352.3	1666.0	777.2	745.4	3910.5	64.8	560.1	6678.2	117.2	12175.7	47365.3	8597.0	4227.5	6404.1	2528.8	4432.0	1871.2	886.2	4096.1	89.8	661.8	0.0	381.9	0.0	0.0	1.0	0.0	0.0	172.7	949.8	507.0	462.0	430.5	825.1	1137752.0	1122177.0	237982.973032	243712.228447	481695.201478	224684.5	229761.5	454446.0	66723.0	645988.201478	1016466.0	1000891.0	1704870.0	0.745994	1.117839	1525148.075844
sub-1_ses-5_T1w.long.sub-1_base	3878.6	245.6	12524.1	49053.6	9061.9	3748.1	6128.8	2130.6	1063.7	2070.1	20542.3	4298.9	1622.6	801.5	695.3	3932.9	59.6	557.1	6775.4	144.5	11799.6	47512.6	8668.0	4245.9	6390.6	2462.4	4406.9	1893.2	855.8	4106.1	85.3	666.0	1.0	323.0	0.0	0.0	0.0	0.0	0.0	212.6	918.0	531.2	455.4	429.5	829.5	1127942.0	1111986.0	236463.1504	241635.951977	478099.102377	221950.5	226461.5	448412.0	66608.0	641669.102377	1007581.0	991625.0	1695286.0	0.739562	1.111555	1525148.075844
sub-1_ses-6_T1w.long.sub-1_base	3834.6	267.6	12192.9	48925.3	8941.8	3778.9	6092.9	2167.0	1053.6	2094.1	20568.3	4330.5	1619.4	835.3	744.7	3850.5	63.9	576.2	6720.8	138.9	11687.4	47136.7	8494.6	4150.5	6506.1	2486.2	4393.7	1899.4	859.9	4061.1	96.8	713.4	0.0	318.5	0.0	0.0	0.0	0.0	0.0	176.8	910.2	513.8	459.2	494.3	784.5	1133268.0	1117224.0	238218.799628	242515.543446	480734.343075	223800.0	228671.0	452471.0	66476.0	643579.343075	1014019.0	997975.0	1694120.0	0.743054	1.110791	1525148.075844
sub-1_ses-7_T1w.long.sub-1_base	3885.8	248.2	12408.1	48803.9	9171.5	3798.9	6173.5	2130.6	1041.4	2103.6	20507.1	4292.0	1610.8	831.6	673.8	3904.5	54.3	588.4	6832.9	127.1	11886.5	47261.7	8746.3	4248.7	6414.7	2487.6	4407.6	1903.8	889.4	4009.1	95.4	721.4	1.0	344.7	0.0	0.0	2.0	0.0	0.0	194.2	933.6	523.0	452.6	491.1	774.1	1125020.0	1108821.0	234005.04	239908.102054	473913.142054	222430.0	227389.0	449819.0	66694.0	637082.142054	1005184.0	988985.0	1695570.0	0.737646	1.111741	1525148.075844
sub-1_ses-8_T1w.long.sub-1_base	3842.3	293.2	12181.5	48769.1	9021.2	3781.5	6213.8	2148.9	1061.9	2116.9	20580.5	4228.3	1614.8	790.0	804.0	3884.1	71.6	583.6	6657.1	142.6	11689.0	47197.2	8468.6	4194.0	6484.8	2409.2	4369.8	1860.9	877.4	4061.0	170.7	706.0	1.8	270.6	0.0	0.0	0.0	0.0	0.0	188.3	940.3	518.6	449.6	429.4	826.3	1138814.0	1122685.0	239860.811328	243620.327773	483481.1391	225292.0	230078.0	455370.0	66472.0	646143.1391	1019765.0	1003636.0	1698267.0	0.746691	1.11351	1525148.075844
sub-1_ses-9_T1w.long.sub-1_base	3958.1	271.5	11896.6	48644.0	8946.4	3741.6	6165.2	2162.7	1077.6	2145.3	20471.8	4250.7	1652.9	860.5	720.7	3796.3	73.3	580.4	6824.4	147.4	11717.6	46907.3	8668.8	4162.6	6438.7	2501.8	4361.0	1868.5	845.5	4001.3	118.9	713.3	1.0	297.7	0.0	0.0	1.0	0.0	0.0	176.6	925.9	512.7	455.8	495.1	755.0	1133458.0	1117002.0	236337.618607	243069.818472	479407.43708	224222.5	229872.5	454095.0	66322.0	641551.43708	1015051.0	998595.0	1697700.0	0.743179	1.113138	1525148.075844
sub-1_ses-10_T1w.long.sub-1_base	3855.1	244.8	12141.2	49542.7	9190.6	3788.2	6242.9	2179.1	1054.1	2088.9	20455.7	4310.6	1561.4	827.5	674.0	3893.1	55.3	564.2	6702.1	117.8	11811.9	47636.1	8707.0	4228.5	6347.1	2497.5	4407.1	1894.6	881.0	4045.9	97.6	720.7	0.0	333.6	0.0	0.0	1.0	0.0	0.0	207.1	927.6	498.5	475.1	421.8	818.9	1134759.0	1118910.0	237122.512181	242455.040629	479577.55281	223604.5	229953.5	453558.0	66703.0	643676.55281	1014326.0	998477.0	1696038.0	0.744032	1.112048	1525148.075844
