lh.aparc.DKTatlas.volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w.long.sub-1_base	3088.0	6030.0	3348.0	2181.0	8368.0	11958.0	12415.0	3098.0	10406.0	8589.0	5621.0	4620.0	13465.0	2752.0	4256.0	3949.0	1896.0	4366.0	2447.0	10426.0	3598.0	14449.0	9993.0	3748.0	12460.0	22294.0	12063.0	17562.0	10543.0	1027.0	6530.0	1112398.0	1525148.075844
sub-1_ses-2_T1w.long.sub-1_base	2977.0	6005.0	3337.0	2137.0	8189.0	11699.0	12156.0	3031.0	10211.0	8463.0	5510.0	4472.0	13382.0	2766.0	4161.0	3871.0	1903.0	4347.0	2428.0	10331.0	3536.0	14342.0	9794.0	3702.0	12173.0	21935.0	11987.0	17347.0	10443.0	1037.0	6440.0	1113885.0	1525148.075844
sub-1_ses-3_T1w.long.sub-1_base	3099.0	6058.0	3410.0	2028.0	8242.0	11883.0	12216.0	3077.0	10279.0	8614.0	5522.0	4538.0	13333.0	2775.0	4295.0	3936.0	1876.0	4370.0	2389.0	10600.0	3602.0	14656.0	10005.0	3779.0	12603.0	22431.0	12238.0	17649.0	10630.0	1027.0	6423.0	1120624.0	1525148.075844
sub-1_ses-4_T1w.long.sub-1_base	3124.0	6128.0	3389.0	2020.0	8276.0	11808.0	12381.0	3090.0	10436.0	8700.0	5550.0	4580.0	13355.0	2759.0	4241.0	3905.0	1915.0	4356.0	2355.0	10488.0	3632.0	14489.0	10081.0	3797.0	12562.0	22501.0	12198.0	17592.0	10479.0	1060.0	6469.0	1122177.0	1525148.075844
sub-1_ses-5_T1w.long.sub-1_base	3061.0	6080.0	3333.0	2085.0	8294.0	11708.0	12290.0	3066.0	10304.0	8705.0	5585.0	4596.0	13487.0	2789.0	4124.0	3908.0	1867.0	4356.0	2424.0	10389.0	3574.0	14314.0	9818.0	3686.0	12358.0	22375.0	11988.0	17503.0	10497.0	1040.0	6561.0	1111986.0	1525148.075844
sub-1_ses-6_T1w.long.sub-1_base	3117.0	6021.0	3363.0	2157.0	8335.0	11806.0	12437.0	3117.0	10238.0	8630.0	5581.0	4845.0	13494.0	2841.0	4252.0	3926.0	1897.0	4412.0	2445.0	10531.0	3620.0	14492.0	9924.0	3771.0	12411.0	22356.0	12051.0	17736.0	10594.0	1021.0	6542.0	1117224.0	1525148.075844
sub-1_ses-7_T1w.long.sub-1_base	3026.0	5998.0	3263.0	1980.0	8215.0	11603.0	12288.0	3045.0	10136.0	8647.0	5425.0	4530.0	13346.0	2735.0	4099.0	3846.0	1890.0	4320.0	2387.0	10262.0	3530.0	14190.0	9715.0	3752.0	12286.0	22112.0	11872.0	17382.0	10358.0	1020.0	6452.0	1108821.0	1525148.075844
sub-1_ses-8_T1w.long.sub-1_base	3059.0	6185.0	3351.0	2069.0	8353.0	11940.0	12487.0	3118.0	10512.0	8786.0	5554.0	4581.0	13605.0	2777.0	4250.0	4001.0	1921.0	4463.0	2421.0	10607.0	3634.0	14685.0	10011.0	3752.0	12658.0	22636.0	12117.0	17897.0	10690.0	1039.0	6469.0	1122685.0	1525148.075844
sub-1_ses-9_T1w.long.sub-1_base	3068.0	5987.0	3296.0	2063.0	8222.0	11902.0	12125.0	3082.0	10338.0	8631.0	5502.0	4544.0	13321.0	2734.0	4241.0	3939.0	1879.0	4312.0	2488.0	10506.0	3584.0	14511.0	9843.0	3716.0	12385.0	22307.0	12154.0	17474.0	10497.0	1017.0	6363.0	1117002.0	1525148.075844
sub-1_ses-10_T1w.long.sub-1_base	3082.0	6082.0	3376.0	2115.0	8270.0	11815.0	12225.0	3095.0	10389.0	8651.0	5507.0	4575.0	13451.0	2818.0	4183.0	3906.0	1915.0	4359.0	2401.0	10296.0	3617.0	14360.0	9952.0	3767.0	12447.0	22318.0	12152.0	17615.0	10518.0	1057.0	6512.0	1118910.0	1525148.075844
