rh.aparc.a2009s.area	rh_G_and_S_frontomargin_area	rh_G_and_S_occipital_inf_area	rh_G_and_S_paracentral_area	rh_G_and_S_subcentral_area	rh_G_and_S_transv_frontopol_area	rh_G_and_S_cingul-Ant_area	rh_G_and_S_cingul-Mid-Ant_area	rh_G_and_S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg_and_S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet_and_P_trans_area	rh_S_oc_middle_and_Lunatus_area	rh_S_oc_sup_and_transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med_and_Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w.long.sub-1_base	766.0	755.0	694.0	1235.0	784.0	1929.0	942.0	922.0	451.0	190.0	1445.0	879.0	251.0	613.0	3164.0	4247.0	420.0	420.0	1580.0	931.0	1174.0	1928.0	1025.0	1835.0	1962.0	1611.0	1790.0	1348.0	1673.0	1901.0	670.0	409.0	247.0	1183.0	544.0	492.0	1713.0	2117.0	260.0	256.0	901.0	2180.0	1156.0	1548.0	2094.0	947.0	513.0	802.0	1015.0	892.0	297.0	1269.0	1790.0	1586.0	252.0	2509.0	656.0	928.0	585.0	741.0	1163.0	250.0	730.0	982.0	1617.0	924.0	2149.0	1229.0	784.0	326.0	900.0	920.0	4017.0	219.0	85625.3	1112398.0	1525148.075844
sub-1_ses-2_T1w.long.sub-1_base	781.0	773.0	679.0	1248.0	801.0	1962.0	920.0	914.0	455.0	189.0	1444.0	893.0	256.0	622.0	3328.0	4242.0	424.0	420.0	1597.0	920.0	1208.0	1937.0	1011.0	1920.0	2023.0	1624.0	1801.0	1365.0	1681.0	1879.0	665.0	410.0	249.0	1179.0	553.0	491.0	1705.0	2152.0	255.0	246.0	888.0	2182.0	1163.0	1552.0	2085.0	951.0	505.0	799.0	1014.0	889.0	300.0	1245.0	1805.0	1604.0	249.0	2492.0	657.0	926.0	581.0	766.0	1163.0	246.0	715.0	975.0	1609.0	919.0	2144.0	1229.0	789.0	329.0	898.0	941.0	3974.0	219.0	86019.9	1113885.0	1525148.075844
sub-1_ses-3_T1w.long.sub-1_base	795.0	778.0	696.0	1252.0	779.0	2004.0	929.0	925.0	468.0	187.0	1455.0	890.0	260.0	622.0	3444.0	4320.0	425.0	427.0	1601.0	956.0	1220.0	1979.0	1012.0	1947.0	2055.0	1660.0	1815.0	1388.0	1758.0	1908.0	694.0	415.0	250.0	1181.0	549.0	493.0	1709.0	2171.0	259.0	252.0	877.0	2196.0	1164.0	1570.0	2090.0	953.0	506.0	806.0	1008.0	891.0	302.0	1251.0	1820.0	1596.0	247.0	2528.0	661.0	936.0	583.0	766.0	1170.0	245.0	729.0	988.0	1626.0	941.0	2142.0	1228.0	788.0	332.0	900.0	937.0	3977.0	214.0	86894.6	1120624.0	1525148.075844
sub-1_ses-4_T1w.long.sub-1_base	778.0	768.0	708.0	1242.0	776.0	1964.0	933.0	936.0	472.0	192.0	1498.0	894.0	255.0	624.0	3342.0	4311.0	417.0	410.0	1600.0	955.0	1207.0	1954.0	1021.0	1919.0	2035.0	1640.0	2030.0	1369.0	1707.0	1914.0	681.0	404.0	244.0	1167.0	548.0	490.0	1688.0	2125.0	258.0	254.0	887.0	2200.0	1204.0	1566.0	2094.0	952.0	507.0	804.0	1018.0	893.0	301.0	1256.0	1808.0	1592.0	253.0	2296.0	661.0	944.0	584.0	762.0	1165.0	248.0	704.0	979.0	1628.0	915.0	2152.0	1235.0	790.0	331.0	896.0	930.0	4002.0	219.0	86506.8	1122177.0	1525148.075844
sub-1_ses-5_T1w.long.sub-1_base	779.0	781.0	690.0	1238.0	793.0	1955.0	925.0	916.0	454.0	185.0	1417.0	880.0	258.0	612.0	3301.0	4318.0	428.0	406.0	1594.0	927.0	1190.0	1889.0	1043.0	1888.0	1985.0	1606.0	1777.0	1347.0	1685.0	1884.0	700.0	397.0	241.0	1162.0	555.0	490.0	1672.0	2051.0	258.0	256.0	903.0	2181.0	1174.0	1531.0	2112.0	951.0	509.0	809.0	1025.0	896.0	296.0	1256.0	1792.0	1593.0	258.0	2523.0	662.0	940.0	586.0	760.0	1168.0	248.0	717.0	976.0	1597.0	931.0	2171.0	1238.0	785.0	333.0	883.0	934.0	4017.0	218.0	85905.0	1111986.0	1525148.075844
sub-1_ses-6_T1w.long.sub-1_base	797.0	767.0	690.0	1242.0	799.0	1942.0	924.0	923.0	457.0	181.0	1475.0	886.0	258.0	619.0	3386.0	4313.0	415.0	399.0	1599.0	954.0	1211.0	1929.0	1037.0	1940.0	2009.0	1659.0	1999.0	1379.0	1720.0	1899.0	682.0	416.0	251.0	1179.0	553.0	496.0	1673.0	2149.0	255.0	251.0	890.0	2173.0	1183.0	1542.0	2084.0	967.0	507.0	800.0	1021.0	890.0	292.0	1247.0	1797.0	1593.0	251.0	2291.0	664.0	943.0	582.0	764.0	1168.0	243.0	709.0	968.0	1616.0	959.0	2131.0	1224.0	794.0	325.0	888.0	948.0	3970.0	218.0	86352.7	1117224.0	1525148.075844
sub-1_ses-7_T1w.long.sub-1_base	789.0	765.0	693.0	1245.0	806.0	1934.0	931.0	909.0	449.0	184.0	1462.0	883.0	253.0	621.0	3298.0	4306.0	424.0	419.0	1598.0	929.0	1192.0	1930.0	1030.0	1869.0	1988.0	1633.0	1781.0	1356.0	1683.0	1885.0	680.0	402.0	242.0	1180.0	553.0	490.0	1670.0	2086.0	258.0	253.0	880.0	2209.0	1161.0	1553.0	2119.0	947.0	509.0	801.0	998.0	890.0	298.0	1247.0	1808.0	1600.0	253.0	2509.0	668.0	928.0	580.0	755.0	1166.0	245.0	713.0	971.0	1610.0	922.0	2167.0	1236.0	789.0	326.0	891.0	925.0	3992.0	222.0	85945.3	1108821.0	1525148.075844
sub-1_ses-8_T1w.long.sub-1_base	798.0	780.0	697.0	1245.0	813.0	1967.0	940.0	936.0	470.0	191.0	1460.0	908.0	256.0	640.0	3398.0	4354.0	425.0	411.0	1637.0	947.0	1216.0	1947.0	1049.0	1969.0	2056.0	1656.0	1811.0	1383.0	1734.0	1908.0	712.0	415.0	251.0	1196.0	548.0	500.0	1723.0	2191.0	260.0	253.0	879.0	2196.0	1201.0	1546.0	2104.0	956.0	505.0	809.0	1023.0	895.0	297.0	1254.0	1823.0	1599.0	248.0	2517.0	653.0	946.0	586.0	764.0	1167.0	244.0	729.0	994.0	1606.0	957.0	2154.0	1223.0	792.0	330.0	890.0	954.0	3992.0	218.0	87105.7	1122685.0	1525148.075844
sub-1_ses-9_T1w.long.sub-1_base	790.0	775.0	697.0	1243.0	797.0	1977.0	938.0	945.0	453.0	182.0	1444.0	904.0	261.0	639.0	3361.0	4295.0	413.0	417.0	1612.0	962.0	1211.0	1884.0	1047.0	1959.0	2047.0	1657.0	1823.0	1398.0	1735.0	1892.0	703.0	422.0	251.0	1199.0	549.0	490.0	1698.0	2201.0	258.0	252.0	881.0	2159.0	1174.0	1539.0	2082.0	962.0	505.0	800.0	1017.0	894.0	296.0	1253.0	1801.0	1604.0	246.0	2502.0	657.0	936.0	586.0	763.0	1165.0	247.0	714.0	978.0	1629.0	926.0	2122.0	1214.0	791.0	325.0	909.0	945.0	3966.0	221.0	86588.2	1117002.0	1525148.075844
sub-1_ses-10_T1w.long.sub-1_base	794.0	774.0	706.0	1241.0	783.0	1950.0	916.0	933.0	469.0	191.0	1498.0	884.0	259.0	618.0	3295.0	4316.0	410.0	404.0	1604.0	935.0	1218.0	1978.0	1042.0	1913.0	1986.0	1607.0	1764.0	1341.0	1658.0	1912.0	693.0	403.0	249.0	1168.0	550.0	486.0	1703.0	2176.0	255.0	254.0	903.0	2170.0	1189.0	1577.0	2098.0	943.0	516.0	798.0	1025.0	878.0	296.0	1244.0	1778.0	1575.0	253.0	2527.0	648.0	934.0	581.0	759.0	1177.0	242.0	724.0	992.0	1614.0	894.0	2173.0	1241.0	783.0	335.0	902.0	919.0	3994.0	217.0	86237.2	1118910.0	1525148.075844
sub-1_ses-11_T1w.long.sub-1_base	798.0	778.0	685.0	1247.0	802.0	1963.0	943.0	933.0	454.0	189.0	1443.0	895.0	255.0	627.0	3408.0	4330.0	416.0	417.0	1604.0	958.0	1215.0	1911.0	1021.0	1929.0	2019.0	1651.0	1794.0	1398.0	1759.0	1887.0	702.0	409.0	253.0	1188.0	555.0	492.0	1699.0	2169.0	260.0	256.0	876.0	2216.0	1171.0	1540.0	2094.0	976.0	505.0	796.0	1016.0	890.0	302.0	1241.0	1808.0	1592.0	251.0	2526.0	669.0	940.0	586.0	773.0	1173.0	244.0	719.0	991.0	1611.0	933.0	2156.0	1222.0	798.0	336.0	906.0	941.0	3986.0	218.0	86713.1	1115234.0	1525148.075844
sub-1_ses-12_T1w.long.sub-1_base	785.0	765.0	688.0	1246.0	781.0	1974.0	941.0	939.0	463.0	181.0	1432.0	890.0	261.0	631.0	3334.0	4297.0	416.0	415.0	1621.0	937.0	1206.0	1898.0	982.0	1938.0	2028.0	1646.0	1815.0	1391.0	1760.0	1907.0	707.0	412.0	252.0	1195.0	545.0	489.0	1687.0	2189.0	254.0	254.0	888.0	2158.0	1162.0	1540.0	2095.0	971.0	502.0	803.0	1017.0	898.0	301.0	1247.0	1818.0	1599.0	250.0	2508.0	655.0	940.0	580.0	762.0	1168.0	246.0	649.0	979.0	1620.0	912.0	2140.0	1220.0	791.0	333.0	902.0	957.0	3973.0	214.0	86350.2	1114033.0	1525148.075844
