rh.aparc.a2009s.thickness	rh_G_and_S_frontomargin_thickness	rh_G_and_S_occipital_inf_thickness	rh_G_and_S_paracentral_thickness	rh_G_and_S_subcentral_thickness	rh_G_and_S_transv_frontopol_thickness	rh_G_and_S_cingul-Ant_thickness	rh_G_and_S_cingul-Mid-Ant_thickness	rh_G_and_S_cingul-Mid-Post_thickness	rh_G_cingul-Post-dorsal_thickness	rh_G_cingul-Post-ventral_thickness	rh_G_cuneus_thickness	rh_G_front_inf-Opercular_thickness	rh_G_front_inf-Orbital_thickness	rh_G_front_inf-Triangul_thickness	rh_G_front_middle_thickness	rh_G_front_sup_thickness	rh_G_Ins_lg_and_S_cent_ins_thickness	rh_G_insular_short_thickness	rh_G_occipital_middle_thickness	rh_G_occipital_sup_thickness	rh_G_oc-temp_lat-fusifor_thickness	rh_G_oc-temp_med-Lingual_thickness	rh_G_oc-temp_med-Parahip_thickness	rh_G_orbital_thickness	rh_G_pariet_inf-Angular_thickness	rh_G_pariet_inf-Supramar_thickness	rh_G_parietal_sup_thickness	rh_G_postcentral_thickness	rh_G_precentral_thickness	rh_G_precuneus_thickness	rh_G_rectus_thickness	rh_G_subcallosal_thickness	rh_G_temp_sup-G_T_transv_thickness	rh_G_temp_sup-Lateral_thickness	rh_G_temp_sup-Plan_polar_thickness	rh_G_temp_sup-Plan_tempo_thickness	rh_G_temporal_inf_thickness	rh_G_temporal_middle_thickness	rh_Lat_Fis-ant-Horizont_thickness	rh_Lat_Fis-ant-Vertical_thickness	rh_Lat_Fis-post_thickness	rh_Pole_occipital_thickness	rh_Pole_temporal_thickness	rh_S_calcarine_thickness	rh_S_central_thickness	rh_S_cingul-Marginalis_thickness	rh_S_circular_insula_ant_thickness	rh_S_circular_insula_inf_thickness	rh_S_circular_insula_sup_thickness	rh_S_collat_transv_ant_thickness	rh_S_collat_transv_post_thickness	rh_S_front_inf_thickness	rh_S_front_middle_thickness	rh_S_front_sup_thickness	rh_S_interm_prim-Jensen_thickness	rh_S_intrapariet_and_P_trans_thickness	rh_S_oc_middle_and_Lunatus_thickness	rh_S_oc_sup_and_transversal_thickness	rh_S_occipital_ant_thickness	rh_S_oc-temp_lat_thickness	rh_S_oc-temp_med_and_Lingual_thickness	rh_S_orbital_lateral_thickness	rh_S_orbital_med-olfact_thickness	rh_S_orbital-H_Shaped_thickness	rh_S_parieto_occipital_thickness	rh_S_pericallosal_thickness	rh_S_postcentral_thickness	rh_S_precentral-inf-part_thickness	rh_S_precentral-sup-part_thickness	rh_S_suborbital_thickness	rh_S_subparietal_thickness	rh_S_temporal_inf_thickness	rh_S_temporal_sup_thickness	rh_S_temporal_transverse_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w.long.sub-1_base	2.36	2.628	2.49	2.519	2.375	2.803	2.691	2.635	3.023	3.04	1.819	2.588	2.692	2.568	2.697	2.957	3.398	3.544	2.508	2.269	2.934	1.97	3.411	2.526	2.498	2.817	2.367	2.378	2.851	2.477	2.47	2.693	2.42	3.055	3.712	2.488	2.922	2.995	2.5	2.22	2.509	2.001	3.53	1.84	1.938	2.264	2.935	2.721	2.895	2.522	2.132	2.091	2.084	2.442	1.955	2.087	1.681	2.115	2.252	2.399	2.553	2.075	2.443	2.635	2.356	1.703	1.993	2.121	2.449	2.1	2.292	2.353	2.381	2.348	2.48877	1112398.0	1525148.075844
sub-1_ses-2_T1w.long.sub-1_base	2.285	2.599	2.576	2.511	2.335	2.794	2.749	2.673	3.005	2.987	1.827	2.617	2.651	2.583	2.66	2.939	3.349	3.544	2.517	2.282	2.933	1.972	3.36	2.509	2.453	2.818	2.367	2.394	2.91	2.492	2.542	2.689	2.426	3.08	3.659	2.486	2.968	2.997	2.512	2.217	2.52	2.019	3.487	1.832	1.963	2.296	2.957	2.672	2.864	2.543	2.103	2.135	2.076	2.458	2.061	2.067	1.661	2.087	2.318	2.434	2.56	2.121	2.477	2.626	2.33	1.719	2.007	2.191	2.486	2.151	2.329	2.451	2.451	2.346	2.49649	1113885.0	1525148.075844
sub-1_ses-3_T1w.long.sub-1_base	2.342	2.593	2.603	2.504	2.418	2.784	2.748	2.703	2.967	2.997	1.834	2.62	2.657	2.587	2.677	2.953	3.328	3.517	2.507	2.275	2.905	1.94	3.398	2.51	2.457	2.821	2.379	2.413	2.915	2.5	2.511	2.609	2.404	3.083	3.629	2.545	2.973	2.989	2.498	2.22	2.479	2.013	3.43	1.841	1.979	2.319	2.972	2.626	2.827	2.51	2.136	2.194	2.116	2.493	2.032	2.1	1.684	2.087	2.276	2.409	2.561	2.121	2.375	2.59	2.31	1.714	2.061	2.193	2.497	2.192	2.318	2.388	2.427	2.356	2.49771	1120624.0	1525148.075844
sub-1_ses-4_T1w.long.sub-1_base	2.447	2.618	2.576	2.543	2.447	2.81	2.733	2.632	2.968	2.952	1.806	2.657	2.689	2.621	2.708	2.978	3.397	3.644	2.518	2.284	2.919	1.966	3.43	2.562	2.474	2.829	2.336	2.418	2.934	2.491	2.583	2.774	2.462	3.085	3.669	2.577	3.008	3.034	2.542	2.227	2.485	2.026	3.465	1.81	1.967	2.306	3.029	2.711	2.903	2.542	2.144	2.186	2.153	2.522	2.062	2.14	1.76	2.106	2.333	2.362	2.534	2.148	2.532	2.665	2.34	1.699	2.064	2.208	2.51	2.112	2.342	2.418	2.447	2.362	2.51876	1122177.0	1525148.075844
sub-1_ses-5_T1w.long.sub-1_base	2.4	2.621	2.535	2.564	2.419	2.815	2.728	2.627	3.008	3.025	1.859	2.652	2.688	2.6	2.691	2.954	3.409	3.656	2.493	2.277	2.909	2.026	3.386	2.546	2.474	2.795	2.374	2.388	2.899	2.447	2.497	2.721	2.44	3.042	3.665	2.442	2.947	3.005	2.531	2.225	2.478	2.047	3.463	1.906	1.965	2.248	2.992	2.63	2.892	2.51	2.151	2.165	2.106	2.503	2.055	2.074	1.625	2.084	2.353	2.421	2.555	2.136	2.448	2.654	2.315	1.692	2.031	2.15	2.479	2.16	2.326	2.383	2.414	2.299	2.50093	1111986.0	1525148.075844
sub-1_ses-6_T1w.long.sub-1_base	2.343	2.572	2.582	2.534	2.381	2.855	2.763	2.677	3.015	3.028	1.796	2.621	2.662	2.629	2.692	2.946	3.417	3.649	2.51	2.241	2.874	1.998	3.409	2.495	2.489	2.796	2.341	2.42	2.923	2.485	2.535	2.645	2.42	3.065	3.606	2.458	2.967	2.976	2.553	2.149	2.458	2.02	3.46	1.867	1.964	2.314	3.069	2.621	2.858	2.501	2.123	2.193	2.07	2.51	2.049	2.122	1.663	2.101	2.28	2.363	2.531	2.173	2.414	2.587	2.33	1.684	2.059	2.208	2.52	2.139	2.368	2.408	2.392	2.341	2.4993	1117224.0	1525148.075844
sub-1_ses-7_T1w.long.sub-1_base	2.322	2.64	2.519	2.517	2.376	2.798	2.682	2.607	3.022	2.966	1.802	2.617	2.664	2.567	2.697	2.947	3.471	3.624	2.508	2.261	2.921	1.968	3.422	2.541	2.484	2.778	2.367	2.387	2.865	2.424	2.531	2.756	2.415	3.052	3.628	2.475	2.953	3.006	2.524	2.175	2.427	2.017	3.404	1.821	1.939	2.231	3.027	2.7	2.874	2.511	2.145	2.137	2.098	2.456	1.964	2.056	1.685	2.089	2.291	2.368	2.512	2.024	2.476	2.647	2.318	1.69	2.03	2.143	2.469	2.146	2.304	2.401	2.396	2.369	2.4864	1108821.0	1525148.075844
sub-1_ses-8_T1w.long.sub-1_base	2.316	2.609	2.6	2.534	2.376	2.799	2.701	2.637	2.939	2.997	1.808	2.594	2.664	2.559	2.694	2.913	3.356	3.602	2.511	2.246	2.891	2.013	3.402	2.518	2.491	2.813	2.385	2.44	2.913	2.478	2.508	2.621	2.416	3.07	3.691	2.506	2.99	2.965	2.496	2.186	2.45	2.03	3.424	1.889	1.983	2.281	2.994	2.638	2.809	2.528	2.135	2.151	2.085	2.488	1.97	2.089	1.686	2.063	2.314	2.418	2.54	2.08	2.423	2.594	2.278	1.685	2.046	2.2	2.506	2.205	2.35	2.408	2.427	2.331	2.49503	1122685.0	1525148.075844
sub-1_ses-9_T1w.long.sub-1_base	2.384	2.631	2.573	2.552	2.417	2.79	2.71	2.669	3.013	3.073	1.811	2.608	2.668	2.578	2.72	2.95	3.41	3.542	2.516	2.229	2.932	2.033	3.366	2.515	2.478	2.821	2.388	2.44	2.949	2.504	2.479	2.682	2.397	3.065	3.646	2.515	2.949	2.973	2.489	2.251	2.522	2.048	3.486	1.878	1.967	2.366	2.951	2.618	2.895	2.53	2.162	2.187	2.098	2.489	2.131	2.128	1.735	2.099	2.329	2.44	2.542	2.195	2.477	2.598	2.317	1.675	2.064	2.219	2.506	2.163	2.376	2.461	2.45	2.314	2.51173	1117002.0	1525148.075844
sub-1_ses-10_T1w.long.sub-1_base	2.44	2.688	2.527	2.554	2.46	2.836	2.721	2.683	3.016	2.99	1.803	2.656	2.771	2.628	2.695	2.967	3.472	3.674	2.53	2.296	2.95	1.944	3.416	2.553	2.542	2.819	2.419	2.406	2.929	2.499	2.503	2.784	2.428	3.089	3.66	2.555	2.969	3.024	2.573	2.194	2.496	2.016	3.465	1.791	1.948	2.321	3.066	2.716	2.932	2.541	2.175	2.179	2.167	2.507	2.064	2.14	1.766	2.089	2.333	2.443	2.574	2.115	2.527	2.634	2.342	1.669	2.068	2.205	2.496	2.161	2.395	2.479	2.493	2.393	2.52473	1118910.0	1525148.075844
