rh.aparc.a2009s.volume	rh_G_and_S_frontomargin_volume	rh_G_and_S_occipital_inf_volume	rh_G_and_S_paracentral_volume	rh_G_and_S_subcentral_volume	rh_G_and_S_transv_frontopol_volume	rh_G_and_S_cingul-Ant_volume	rh_G_and_S_cingul-Mid-Ant_volume	rh_G_and_S_cingul-Mid-Post_volume	rh_G_cingul-Post-dorsal_volume	rh_G_cingul-Post-ventral_volume	rh_G_cuneus_volume	rh_G_front_inf-Opercular_volume	rh_G_front_inf-Orbital_volume	rh_G_front_inf-Triangul_volume	rh_G_front_middle_volume	rh_G_front_sup_volume	rh_G_Ins_lg_and_S_cent_ins_volume	rh_G_insular_short_volume	rh_G_occipital_middle_volume	rh_G_occipital_sup_volume	rh_G_oc-temp_lat-fusifor_volume	rh_G_oc-temp_med-Lingual_volume	rh_G_oc-temp_med-Parahip_volume	rh_G_orbital_volume	rh_G_pariet_inf-Angular_volume	rh_G_pariet_inf-Supramar_volume	rh_G_parietal_sup_volume	rh_G_postcentral_volume	rh_G_precentral_volume	rh_G_precuneus_volume	rh_G_rectus_volume	rh_G_subcallosal_volume	rh_G_temp_sup-G_T_transv_volume	rh_G_temp_sup-Lateral_volume	rh_G_temp_sup-Plan_polar_volume	rh_G_temp_sup-Plan_tempo_volume	rh_G_temporal_inf_volume	rh_G_temporal_middle_volume	rh_Lat_Fis-ant-Horizont_volume	rh_Lat_Fis-ant-Vertical_volume	rh_Lat_Fis-post_volume	rh_Pole_occipital_volume	rh_Pole_temporal_volume	rh_S_calcarine_volume	rh_S_central_volume	rh_S_cingul-Marginalis_volume	rh_S_circular_insula_ant_volume	rh_S_circular_insula_inf_volume	rh_S_circular_insula_sup_volume	rh_S_collat_transv_ant_volume	rh_S_collat_transv_post_volume	rh_S_front_inf_volume	rh_S_front_middle_volume	rh_S_front_sup_volume	rh_S_interm_prim-Jensen_volume	rh_S_intrapariet_and_P_trans_volume	rh_S_oc_middle_and_Lunatus_volume	rh_S_oc_sup_and_transversal_volume	rh_S_occipital_ant_volume	rh_S_oc-temp_lat_volume	rh_S_oc-temp_med_and_Lingual_volume	rh_S_orbital_lateral_volume	rh_S_orbital_med-olfact_volume	rh_S_orbital-H_Shaped_volume	rh_S_parieto_occipital_volume	rh_S_pericallosal_volume	rh_S_postcentral_volume	rh_S_precentral-inf-part_volume	rh_S_precentral-sup-part_volume	rh_S_suborbital_volume	rh_S_subparietal_volume	rh_S_temporal_inf_volume	rh_S_temporal_sup_volume	rh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w.long.sub-1_base	2097.0	2156.0	2129.0	3579.0	2425.0	5772.0	2816.0	2595.0	1784.0	838.0	2809.0	2958.0	873.0	2102.0	11502.0	15570.0	1605.0	1941.0	5088.0	2492.0	4394.0	4407.0	4661.0	5989.0	6514.0	5866.0	5481.0	4266.0	6402.0	5761.0	2184.0	1142.0	736.0	5012.0	2222.0	1366.0	6726.0	8787.0	623.0	462.0	1847.0	4720.0	5723.0	2538.0	3594.0	2114.0	1238.0	1779.0	2422.0	2040.0	505.0	2444.0	3577.0	3588.0	470.0	4816.0	1016.0	1873.0	1221.0	1681.0	2597.0	504.0	1562.0	2585.0	3428.0	1260.0	3959.0	2505.0	1739.0	636.0	1937.0	2034.0	8851.0	438.0	1112398.0	1525148.075844
sub-1_ses-2_T1w.long.sub-1_base	2071.0	2202.0	2183.0	3589.0	2405.0	5834.0	2824.0	2612.0	1805.0	810.0	2808.0	3008.0	868.0	2126.0	11541.0	15423.0	1604.0	1932.0	5108.0	2487.0	4455.0	4400.0	4534.0	6089.0	6533.0	5932.0	5542.0	4357.0	6520.0	5803.0	2221.0	1167.0	737.0	5068.0	2201.0	1378.0	6774.0	8876.0	619.0	439.0	1811.0	4781.0	5646.0	2519.0	3607.0	2127.0	1234.0	1755.0	2374.0	2040.0	507.0	2465.0	3570.0	3642.0	483.0	4760.0	1013.0	1836.0	1248.0	1716.0	2601.0	498.0	1525.0	2589.0	3364.0	1254.0	3969.0	2561.0	1782.0	653.0	1949.0	2135.0	9005.0	438.0	1113885.0	1525148.075844
sub-1_ses-3_T1w.long.sub-1_base	2121.0	2216.0	2242.0	3641.0	2420.0	5839.0	2840.0	2679.0	1816.0	815.0	2862.0	3034.0	890.0	2141.0	11833.0	15724.0	1581.0	1923.0	5144.0	2540.0	4408.0	4364.0	4537.0	6179.0	6632.0	6062.0	5617.0	4454.0	6764.0	5896.0	2290.0	1148.0	736.0	5087.0	2163.0	1407.0	6859.0	8882.0	618.0	453.0	1775.0	4788.0	5593.0	2563.0	3649.0	2179.0	1235.0	1747.0	2351.0	2028.0	511.0	2516.0	3636.0	3661.0	470.0	4901.0	1029.0	1853.0	1241.0	1716.0	2614.0	500.0	1479.0	2590.0	3375.0	1284.0	4048.0	2562.0	1780.0	670.0	1957.0	2087.0	8985.0	429.0	1120624.0	1525148.075844
sub-1_ses-4_T1w.long.sub-1_base	2136.0	2181.0	2245.0	3639.0	2408.0	5852.0	2858.0	2625.0	1818.0	804.0	2877.0	3075.0	897.0	2195.0	11853.0	15833.0	1610.0	1980.0	5173.0	2559.0	4456.0	4421.0	4681.0	6108.0	6653.0	5984.0	5956.0	4402.0	6663.0	5865.0	2293.0	1164.0	740.0	5035.0	2218.0	1410.0	6831.0	8945.0	628.0	463.0	1791.0	4802.0	5678.0	2504.0	3645.0	2167.0	1253.0	1777.0	2431.0	2037.0	516.0	2525.0	3662.0	3700.0	487.0	4594.0	1075.0	1872.0	1265.0	1694.0	2592.0	515.0	1552.0	2579.0	3416.0	1239.0	4084.0	2598.0	1794.0	660.0	1960.0	2093.0	9074.0	438.0	1122177.0	1525148.075844
sub-1_ses-5_T1w.long.sub-1_base	2146.0	2232.0	2183.0	3669.0	2458.0	5831.0	2826.0	2589.0	1805.0	806.0	2860.0	3043.0	886.0	2147.0	11688.0	15717.0	1620.0	2002.0	5099.0	2477.0	4389.0	4518.0	4672.0	6126.0	6503.0	5849.0	5497.0	4271.0	6532.0	5743.0	2244.0	1148.0	731.0	4924.0	2213.0	1356.0	6642.0	8767.0	624.0	466.0	1829.0	4844.0	5713.0	2628.0	3673.0	2107.0	1241.0	1775.0	2442.0	2030.0	510.0	2491.0	3616.0	3678.0	496.0	4855.0	1002.0	1858.0	1279.0	1703.0	2623.0	505.0	1516.0	2582.0	3360.0	1252.0	4071.0	2565.0	1766.0	659.0	1950.0	2090.0	8997.0	432.0	1111986.0	1525148.075844
sub-1_ses-6_T1w.long.sub-1_base	2138.0	2164.0	2225.0	3648.0	2445.0	5860.0	2870.0	2639.0	1824.0	806.0	2847.0	3021.0	888.0	2190.0	11771.0	15680.0	1626.0	1974.0	5128.0	2493.0	4374.0	4486.0	4696.0	6119.0	6636.0	5985.0	5914.0	4452.0	6689.0	5808.0	2265.0	1164.0	734.0	5051.0	2176.0	1370.0	6728.0	8869.0	630.0	442.0	1794.0	4746.0	5716.0	2588.0	3613.0	2196.0	1270.0	1755.0	2420.0	2018.0	497.0	2517.0	3554.0	3663.0	478.0	4567.0	1024.0	1879.0	1249.0	1699.0	2587.0	513.0	1498.0	2574.0	3391.0	1294.0	4024.0	2573.0	1810.0	640.0	1969.0	2132.0	8821.0	433.0	1117224.0	1525148.075844
sub-1_ses-7_T1w.long.sub-1_base	2128.0	2213.0	2153.0	3640.0	2426.0	5821.0	2788.0	2536.0	1814.0	790.0	2833.0	3015.0	877.0	2124.0	11691.0	15598.0	1668.0	1981.0	5121.0	2477.0	4432.0	4395.0	4639.0	6055.0	6534.0	5867.0	5515.0	4295.0	6457.0	5662.0	2235.0	1165.0	724.0	5026.0	2192.0	1367.0	6655.0	8751.0	629.0	448.0	1759.0	4806.0	5535.0	2506.0	3637.0	2067.0	1250.0	1756.0	2382.0	2008.0	516.0	2452.0	3606.0	3644.0	471.0	4778.0	1036.0	1837.0	1234.0	1673.0	2570.0	488.0	1521.0	2571.0	3390.0	1253.0	4038.0	2549.0	1756.0	655.0	1934.0	2058.0	8841.0	445.0	1108821.0	1525148.075844
sub-1_ses-8_T1w.long.sub-1_base	2118.0	2229.0	2237.0	3669.0	2483.0	5864.0	2829.0	2630.0	1800.0	819.0	2845.0	3031.0	893.0	2153.0	11845.0	15599.0	1593.0	1945.0	5220.0	2494.0	4407.0	4552.0	4701.0	6246.0	6732.0	6036.0	5653.0	4531.0	6721.0	5877.0	2315.0	1145.0	734.0	5115.0	2199.0	1399.0	6867.0	8881.0	627.0	449.0	1770.0	4830.0	5682.0	2613.0	3672.0	2137.0	1247.0	1769.0	2375.0	2050.0	508.0	2495.0	3613.0	3672.0	470.0	4871.0	1012.0	1835.0	1265.0	1725.0	2592.0	497.0	1520.0	2582.0	3314.0	1294.0	4046.0	2548.0	1791.0	675.0	1962.0	2143.0	9006.0	431.0	1122685.0	1525148.075844
sub-1_ses-9_T1w.long.sub-1_base	2143.0	2244.0	2223.0	3640.0	2451.0	5785.0	2827.0	2633.0	1825.0	839.0	2809.0	3019.0	899.0	2154.0	11850.0	15619.0	1612.0	1909.0	5161.0	2492.0	4489.0	4555.0	4574.0	6172.0	6623.0	6060.0	5658.0	4571.0	6795.0	5833.0	2250.0	1208.0	724.0	5109.0	2188.0	1382.0	6698.0	8900.0	618.0	458.0	1785.0	4824.0	5744.0	2592.0	3600.0	2210.0	1237.0	1738.0	2391.0	2030.0	508.0	2526.0	3588.0	3671.0	476.0	4889.0	1045.0	1853.0	1267.0	1709.0	2590.0	529.0	1498.0	2526.0	3383.0	1242.0	3989.0	2558.0	1785.0	651.0	1990.0	2135.0	8967.0	434.0	1117002.0	1525148.075844
sub-1_ses-10_T1w.long.sub-1_base	2145.0	2258.0	2193.0	3664.0	2442.0	5852.0	2811.0	2640.0	1863.0	822.0	2881.0	3033.0	914.0	2183.0	11621.0	15722.0	1623.0	1981.0	5171.0	2517.0	4509.0	4398.0	4661.0	6132.0	6681.0	5867.0	5634.0	4286.0	6468.0	5894.0	2206.0	1168.0	723.0	5060.0	2205.0	1388.0	6754.0	9013.0	625.0	462.0	1817.0	4758.0	5705.0	2472.0	3606.0	2158.0	1291.0	1761.0	2440.0	2006.0	508.0	2479.0	3596.0	3632.0	493.0	4921.0	1017.0	1831.0	1256.0	1715.0	2610.0	485.0	1555.0	2536.0	3386.0	1204.0	4068.0	2593.0	1751.0	679.0	1992.0	2093.0	9074.0	441.0	1118910.0	1525148.075844
