lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w	1014.0	452.0	2175.0	1664.0	494.0	3468.0	4915.0	3281.0	1169.0	5517.0	3096.0	3294.0	2149.0	3397.0	585.0	1399.0	2184.0	843.0	1495.0	1466.0	4154.0	988.0	4597.0	4280.0	867.0	6298.0	7776.0	5352.0	4122.0	3657.0	275.0	575.0	438.0	2365.0	89799.9	1309546.0	1689687.894476
sub-2_ses-2_T1w	1007.0	383.0	2177.0	1617.0	438.0	3369.0	4837.0	3273.0	1161.0	5509.0	3156.0	3328.0	2196.0	3445.0	601.0	1381.0	2214.0	795.0	1529.0	1477.0	4051.0	859.0	4470.0	4257.0	829.0	6313.0	7909.0	5291.0	4076.0	3662.0	301.0	585.0	448.0	2557.0	89503.4	1304229.0	1664244.346295
sub-2_ses-3_T1w	1071.0	403.0	2073.0	1610.0	486.0	3436.0	4915.0	3300.0	1185.0	5554.0	3051.0	3276.0	2085.0	3423.0	590.0	1366.0	2180.0	792.0	1533.0	1457.0	4060.0	886.0	4470.0	4204.0	780.0	6295.0	7691.0	5296.0	4051.0	3608.0	322.0	583.0	421.0	2405.0	88858.1	1298938.0	1689039.10689
sub-2_ses-4_T1w	1018.0	440.0	2121.0	1630.0	476.0	3458.0	4931.0	3322.0	1159.0	5504.0	3136.0	3360.0	2213.0	3356.0	567.0	1355.0	2204.0	810.0	1512.0	1541.0	4147.0	829.0	4535.0	4237.0	854.0	6458.0	7802.0	5263.0	4010.0	3683.0	299.0	604.0	423.0	2418.0	89673.1	1296845.0	1651817.124084
sub-2_ses-5_T1w	1076.0	349.0	2091.0	1577.0	425.0	3519.0	4893.0	3304.0	1205.0	5471.0	2973.0	3313.0	2047.0	3365.0	578.0	1368.0	2266.0	788.0	1518.0	1526.0	4126.0	941.0	4520.0	4271.0	753.0	6326.0	7918.0	5348.0	4070.0	3608.0	282.0	554.0	426.0	2465.0	89260.1	1308132.0	1655518.967365
sub-2_ses-6_T1w	1033.0	499.0	2125.0	1638.0	469.0	3438.0	4900.0	3237.0	1163.0	5492.0	3116.0	3396.0	2029.0	3370.0	584.0	1406.0	2269.0	803.0	1560.0	1537.0	4061.0	1008.0	4502.0	4293.0	894.0	6317.0	7960.0	5318.0	4096.0	3638.0	305.0	585.0	445.0	2599.0	90082.7	1313236.0	1639371.811942
sub-2_ses-7_T1w	1023.0	444.0	2113.0	1614.0	460.0	3505.0	4828.0	3330.0	1179.0	5486.0	3044.0	3444.0	2111.0	3345.0	582.0	1335.0	2155.0	803.0	1510.0	1516.0	4061.0	911.0	4534.0	4153.0	837.0	6297.0	7784.0	5256.0	3998.0	3609.0	308.0	597.0	428.0	2367.0	88970.3	1300536.0	1652410.892557
sub-2_ses-8_T1w	1019.0	384.0	2117.0	1652.0	425.0	3390.0	4866.0	3221.0	1143.0	5488.0	3035.0	3379.0	2036.0	3366.0	598.0	1356.0	2210.0	778.0	1523.0	1524.0	4116.0	899.0	4514.0	4359.0	793.0	6395.0	7745.0	5254.0	4151.0	3617.0	303.0	559.0	438.0	2582.0	89233.1	1311284.0	1655237.425703
sub-2_ses-9_T1w	1011.0	382.0	2210.0	1630.0	474.0	3417.0	4807.0	3212.0	1159.0	5668.0	3103.0	3338.0	2068.0	3355.0	583.0	1361.0	2215.0	821.0	1540.0	1530.0	4147.0	861.0	4590.0	4236.0	768.0	6303.0	7880.0	5371.0	4140.0	3681.0	314.0	568.0	412.0	2336.0	89491.5	1302824.0	1634720.060833
sub-2_ses-10_T1w	1033.0	451.0	2118.0	1630.0	485.0	3435.0	4911.0	3344.0	1199.0	5512.0	3106.0	3405.0	1980.0	3439.0	593.0	1341.0	2224.0	808.0	1535.0	1565.0	4097.0	902.0	4576.0	4262.0	806.0	6330.0	7835.0	5320.0	4021.0	3662.0	302.0	575.0	426.0	2742.0	89970.9	1309519.0	1625325.23382
