rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w	2660.0	2402.0	5838.0	3974.0	2391.0	11339.0	17114.0	13175.0	2278.0	13254.0	8458.0	8092.0	6988.0	12838.0	1875.0	4334.0	4549.0	3402.0	4487.0	2462.0	9777.0	3076.0	13238.0	11602.0	2547.0	18763.0	24908.0	16538.0	12569.0	11497.0	1804.0	2755.0	957.0	7730.0	1309546.0	1689687.894476
sub-2_ses-2_T1w	2745.0	2264.0	5373.0	3706.0	2584.0	11441.0	16230.0	13585.0	2282.0	12888.0	9005.0	8250.0	7072.0	12427.0	1911.0	4032.0	4451.0	3468.0	4327.0	2347.0	9253.0	2455.0	13235.0	11446.0	2558.0	18486.0	24283.0	15007.0	12398.0	10664.0	1662.0	2650.0	950.0	7726.0	1304229.0	1664244.346295
sub-2_ses-3_T1w	2617.0	2138.0	5392.0	4065.0	2247.0	11232.0	16649.0	12957.0	2291.0	13008.0	8989.0	7790.0	7222.0	12521.0	1831.0	4191.0	4427.0	3522.0	4502.0	2182.0	9423.0	2537.0	12794.0	11508.0	2548.0	18154.0	24293.0	15235.0	12246.0	10901.0	1781.0	2454.0	935.0	7162.0	1298938.0	1689039.10689
sub-2_ses-4_T1w	2815.0	2510.0	5606.0	4126.0	2358.0	11188.0	16489.0	13100.0	2373.0	12615.0	8874.0	8078.0	7029.0	12578.0	1901.0	4362.0	4333.0	3623.0	4539.0	2527.0	9499.0	3129.0	13003.0	11494.0	2607.0	18162.0	24413.0	15192.0	12101.0	10877.0	1628.0	2698.0	980.0	7742.0	1296845.0	1651817.124084
sub-2_ses-5_T1w	2757.0	2532.0	5886.0	3721.0	2216.0	11087.0	16940.0	13117.0	2311.0	12347.0	8771.0	8188.0	7132.0	12481.0	1943.0	4337.0	4521.0	3555.0	4435.0	2419.0	9782.0	3145.0	13282.0	11553.0	2629.0	18959.0	24792.0	15789.0	12266.0	10906.0	1671.0	2760.0	995.0	7868.0	1308132.0	1655518.967365
sub-2_ses-6_T1w	2788.0	2247.0	5527.0	4186.0	2663.0	11069.0	17377.0	13533.0	2345.0	13024.0	8853.0	8213.0	7836.0	12883.0	1907.0	4173.0	4511.0	3536.0	4395.0	2574.0	9650.0	2709.0	13256.0	11683.0	2636.0	18553.0	24824.0	15534.0	12438.0	10775.0	1500.0	2571.0	984.0	8070.0	1313236.0	1639371.811942
sub-2_ses-7_T1w	2886.0	2348.0	5618.0	3940.0	2396.0	11695.0	16681.0	13712.0	2348.0	12526.0	9670.0	8299.0	6927.0	12724.0	1958.0	4185.0	4509.0	3404.0	4408.0	2420.0	9458.0	2601.0	13129.0	11462.0	2701.0	18652.0	24937.0	14996.0	12249.0	11030.0	1782.0	2416.0	994.0	7156.0	1300536.0	1652410.892557
sub-2_ses-8_T1w	2754.0	2114.0	5497.0	3879.0	2464.0	11292.0	17246.0	13113.0	2266.0	12649.0	9391.0	8371.0	7461.0	12741.0	1890.0	4232.0	4588.0	3471.0	4334.0	2403.0	9748.0	2647.0	13431.0	11629.0	2609.0	18996.0	24821.0	15660.0	12255.0	10742.0	1720.0	2636.0	1021.0	6912.0	1311284.0	1655237.425703
sub-2_ses-9_T1w	2792.0	2551.0	5531.0	3905.0	2320.0	11274.0	16930.0	13242.0	2391.0	12678.0	8780.0	8435.0	7049.0	12434.0	1972.0	4350.0	4488.0	3462.0	4256.0	2433.0	9287.0	3219.0	13086.0	11574.0	2607.0	18537.0	24635.0	14998.0	12118.0	10956.0	1690.0	2881.0	1014.0	7730.0	1302824.0	1634720.060833
sub-2_ses-10_T1w	2801.0	2285.0	5622.0	4009.0	2292.0	11251.0	17108.0	13537.0	2433.0	12342.0	8760.0	8199.0	7110.0	12609.0	2067.0	4226.0	4486.0	3565.0	4327.0	2348.0	9493.0	2685.0	13079.0	11462.0	2589.0	18873.0	25219.0	15468.0	12157.0	11113.0	1522.0	2236.0	996.0	7757.0	1309519.0	1625325.23382
