rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w	2550.0	6016.0	4732.0	1966.0	9787.0	17626.0	15082.0	2257.0	13195.0	10640.0	7991.0	5958.0	14342.0	2000.0	4575.0	5124.0	2617.0	4324.0	2431.0	10726.0	3140.0	12805.0	12491.0	3019.0	13113.0	31750.0	13928.0	17721.0	10344.0	961.0	6463.0	1309546.0	1689687.894476
sub-2_ses-2_T1w	2340.0	5594.0	4411.0	2044.0	9647.0	16460.0	15661.0	2173.0	12729.0	11117.0	8147.0	6162.0	14013.0	2033.0	4331.0	5082.0	2513.0	4185.0	2322.0	10050.0	2614.0	12790.0	12123.0	2980.0	12962.0	30925.0	12818.0	17443.0	9925.0	974.0	6593.0	1304229.0	1664244.346295
sub-2_ses-3_T1w	2208.0	5673.0	4745.0	1794.0	9632.0	17053.0	14760.0	2230.0	12781.0	10790.0	7636.0	6318.0	13968.0	1959.0	4426.0	4865.0	2519.0	4470.0	2164.0	10253.0	2713.0	12440.0	12238.0	2936.0	12661.0	30938.0	12931.0	17119.0	10045.0	928.0	6552.0	1298938.0	1689039.10689
sub-2_ses-4_T1w	2618.0	5710.0	4775.0	1751.0	9606.0	16951.0	15021.0	2314.0	12391.0	11094.0	8000.0	6075.0	14127.0	2006.0	4555.0	4704.0	2663.0	4513.0	2497.0	10447.0	3305.0	12754.0	12281.0	3004.0	12581.0	31120.0	12778.0	17362.0	9962.0	983.0	6601.0	1296845.0	1651817.124084
sub-2_ses-5_T1w	2670.0	6010.0	4430.0	1839.0	9567.0	17297.0	15030.0	2300.0	12115.0	11046.0	8146.0	6093.0	14090.0	1988.0	4597.0	5143.0	2539.0	4210.0	2375.0	10643.0	3226.0	12978.0	12378.0	3065.0	13312.0	31758.0	13357.0	17346.0	9892.0	981.0	6675.0	1308132.0	1655518.967365
sub-2_ses-6_T1w	2320.0	5802.0	4965.0	2040.0	9660.0	17843.0	15359.0	2302.0	12800.0	10903.0	8063.0	6668.0	14497.0	2055.0	4582.0	5007.0	2631.0	4289.0	2511.0	10440.0	2900.0	12860.0	12359.0	3097.0	13070.0	31550.0	13201.0	17549.0	9780.0	971.0	6749.0	1313236.0	1639371.811942
sub-2_ses-7_T1w	2482.0	5728.0	4604.0	1982.0	9705.0	17174.0	15772.0	2296.0	12461.0	10936.0	8190.0	6196.0	14413.0	2071.0	4456.0	5092.0	2535.0	4254.0	2375.0	10369.0	2723.0	12744.0	12163.0	3088.0	12813.0	32057.0	12724.0	17258.0	9910.0	1005.0	6638.0	1300536.0	1652410.892557
sub-2_ses-8_T1w	2168.0	5733.0	4619.0	1879.0	9412.0	17580.0	15320.0	2233.0	12493.0	10981.0	8166.0	6454.0	14288.0	2049.0	4444.0	4788.0	2603.0	4470.0	2357.0	10547.0	2799.0	12979.0	12301.0	3066.0	13007.0	32050.0	13377.0	17302.0	10023.0	1005.0	6489.0	1311284.0	1655237.425703
sub-2_ses-9_T1w	2649.0	5799.0	4590.0	1979.0	9793.0	17356.0	14890.0	2325.0	12578.0	10965.0	8337.0	6077.0	14153.0	2002.0	4582.0	4927.0	2511.0	4231.0	2392.0	10128.0	3316.0	12575.0	12244.0	3078.0	13026.0	31439.0	12823.0	17262.0	10099.0	999.0	6480.0	1302824.0	1634720.060833
sub-2_ses-10_T1w	2437.0	5878.0	4718.0	1866.0	9681.0	17379.0	15307.0	2405.0	12224.0	10826.0	8058.0	6200.0	14292.0	2132.0	4424.0	5113.0	2654.0	4128.0	2298.0	10237.0	2795.0	12679.0	12299.0	2996.0	13348.0	31817.0	13143.0	17043.0	10083.0	1009.0	6558.0	1309519.0	1625325.23382
sub-2_ses-11_T1w	2451.0	5844.0	4681.0	1686.0	9450.0	17353.0	14914.0	2267.0	12410.0	10680.0	8125.0	6165.0	14150.0	1937.0	4441.0	5008.0	2419.0	4244.0	2386.0	10647.0	2760.0	12856.0	12269.0	2964.0	12738.0	31853.0	13258.0	16854.0	10035.0	961.0	6567.0	1305764.0	1661932.733146
sub-2_ses-12_T1w	2600.0	5927.0	4913.0	1902.0	9521.0	16995.0	15181.0	2341.0	12447.0	10661.0	7938.0	6085.0	13991.0	1941.0	4268.0	4805.0	2660.0	4458.0	1959.0	10030.0	3025.0	12363.0	11821.0	3036.0	13118.0	31221.0	12964.0	16905.0	10066.0	954.0	6628.0	1304926.0	1693626.741318
sub-2_ses-13_T1w	2644.0	5579.0	4704.0	1827.0	9516.0	17247.0	15231.0	2247.0	12305.0	10883.0	7870.0	6147.0	14061.0	1965.0	4536.0	4987.0	2346.0	4271.0	2407.0	10576.0	3193.0	13066.0	12204.0	2900.0	13000.0	31615.0	13214.0	17420.0	10122.0	956.0	6508.0	1305001.0	1639480.031811
sub-2_ses-14_T1w	2575.0	5554.0	4791.0	1879.0	9540.0	17083.0	15211.0	2322.0	12354.0	10846.0	8025.0	6192.0	14076.0	2036.0	4534.0	4910.0	2588.0	4333.0	2294.0	10438.0	3174.0	13005.0	12093.0	2952.0	13055.0	31016.0	13146.0	17003.0	9863.0	972.0	6543.0	1304361.0	1625419.966756
sub-2_ses-15_T1w	2220.0	5877.0	4629.0	1966.0	9484.0	16547.0	15001.0	2252.0	12066.0	10812.0	7815.0	5974.0	13955.0	1928.0	4379.0	5069.0	2606.0	4225.0	2435.0	10138.0	2736.0	12558.0	12110.0	2876.0	12506.0	30908.0	12867.0	17198.0	10336.0	984.0	6481.0	1296933.0	1640429.623848
sub-2_ses-16_T1w	2613.0	5734.0	4682.0	1697.0	9573.0	17415.0	14761.0	2287.0	12535.0	10777.0	7804.0	6088.0	14067.0	1955.0	4614.0	4987.0	2447.0	4203.0	2268.0	10432.0	3164.0	12779.0	12255.0	2983.0	12982.0	31311.0	13143.0	17278.0	10117.0	991.0	6560.0	1300914.0	1622170.608952
sub-2_ses-17_T1w	2647.0	5818.0	4342.0	1984.0	9218.0	16795.0	15140.0	2235.0	11819.0	10584.0	7765.0	6004.0	13737.0	2010.0	4337.0	4797.0	2583.0	4353.0	2328.0	10343.0	3228.0	12621.0	11888.0	2969.0	13004.0	31367.0	12827.0	16824.0	9981.0	999.0	6544.0	1297984.0	1659628.37542
sub-2_ses-18_T1w	2649.0	5797.0	4357.0	1784.0	9718.0	17288.0	14816.0	2376.0	12056.0	10543.0	7943.0	6140.0	14041.0	2034.0	4528.0	4836.0	2510.0	4465.0	2271.0	10398.0	3205.0	12826.0	12364.0	2973.0	13027.0	31390.0	13218.0	16523.0	10042.0	988.0	6554.0	1306144.0	1645580.299923
sub-2_ses-19_T1w	2166.0	5625.0	4829.0	1841.0	9396.0	16847.0	15383.0	2201.0	12018.0	10724.0	7878.0	5978.0	13789.0	1998.0	4464.0	4937.0	2444.0	4191.0	2325.0	10198.0	2679.0	12718.0	12014.0	2939.0	12853.0	30786.0	12847.0	17025.0	9847.0	959.0	6536.0	1300103.0	1626632.099584
sub-2_ses-20_T1w	2426.0	5764.0	4347.0	1927.0	9825.0	18061.0	14896.0	2365.0	12237.0	10783.0	7963.0	6177.0	14429.0	2179.0	4561.0	5107.0	2505.0	4136.0	2217.0	10466.0	2750.0	13038.0	12400.0	2906.0	13323.0	31949.0	13524.0	17260.0	10111.0	992.0	6542.0	1309587.0	1623514.177817
sub-2_ses-21_T1w	2235.0	5844.0	4487.0	1908.0	9587.0	17296.0	15191.0	2268.0	12380.0	10858.0	7666.0	6336.0	14189.0	1960.0	4409.0	4987.0	2473.0	4188.0	2077.0	10300.0	2766.0	12691.0	12008.0	2992.0	12936.0	31418.0	12680.0	17226.0	9746.0	1000.0	6621.0	1308746.0	1649143.032261
sub-2_ses-22_T1w	2629.0	5780.0	4663.0	1741.0	9843.0	17355.0	15035.0	2198.0	12677.0	10782.0	7839.0	6092.0	14143.0	2013.0	4356.0	4797.0	2439.0	4303.0	2213.0	10367.0	3221.0	12384.0	12187.0	3046.0	12600.0	30853.0	13158.0	17213.0	9980.0	1007.0	6508.0	1310753.0	1633420.416629
sub-2_ses-23_T1w	2307.0	5746.0	4581.0	1785.0	9437.0	16808.0	15306.0	2282.0	12274.0	10582.0	8049.0	6143.0	13821.0	1935.0	4617.0	5004.0	2437.0	4156.0	2383.0	10394.0	2752.0	12708.0	12128.0	2952.0	12997.0	31713.0	12968.0	17013.0	9784.0	955.0	6615.0	1311205.0	1634763.232587
