lh.aparc.a2009s.thickness	lh_G_and_S_frontomargin_thickness	lh_G_and_S_occipital_inf_thickness	lh_G_and_S_paracentral_thickness	lh_G_and_S_subcentral_thickness	lh_G_and_S_transv_frontopol_thickness	lh_G_and_S_cingul-Ant_thickness	lh_G_and_S_cingul-Mid-Ant_thickness	lh_G_and_S_cingul-Mid-Post_thickness	lh_G_cingul-Post-dorsal_thickness	lh_G_cingul-Post-ventral_thickness	lh_G_cuneus_thickness	lh_G_front_inf-Opercular_thickness	lh_G_front_inf-Orbital_thickness	lh_G_front_inf-Triangul_thickness	lh_G_front_middle_thickness	lh_G_front_sup_thickness	lh_G_Ins_lg_and_S_cent_ins_thickness	lh_G_insular_short_thickness	lh_G_occipital_middle_thickness	lh_G_occipital_sup_thickness	lh_G_oc-temp_lat-fusifor_thickness	lh_G_oc-temp_med-Lingual_thickness	lh_G_oc-temp_med-Parahip_thickness	lh_G_orbital_thickness	lh_G_pariet_inf-Angular_thickness	lh_G_pariet_inf-Supramar_thickness	lh_G_parietal_sup_thickness	lh_G_postcentral_thickness	lh_G_precentral_thickness	lh_G_precuneus_thickness	lh_G_rectus_thickness	lh_G_subcallosal_thickness	lh_G_temp_sup-G_T_transv_thickness	lh_G_temp_sup-Lateral_thickness	lh_G_temp_sup-Plan_polar_thickness	lh_G_temp_sup-Plan_tempo_thickness	lh_G_temporal_inf_thickness	lh_G_temporal_middle_thickness	lh_Lat_Fis-ant-Horizont_thickness	lh_Lat_Fis-ant-Vertical_thickness	lh_Lat_Fis-post_thickness	lh_Pole_occipital_thickness	lh_Pole_temporal_thickness	lh_S_calcarine_thickness	lh_S_central_thickness	lh_S_cingul-Marginalis_thickness	lh_S_circular_insula_ant_thickness	lh_S_circular_insula_inf_thickness	lh_S_circular_insula_sup_thickness	lh_S_collat_transv_ant_thickness	lh_S_collat_transv_post_thickness	lh_S_front_inf_thickness	lh_S_front_middle_thickness	lh_S_front_sup_thickness	lh_S_interm_prim-Jensen_thickness	lh_S_intrapariet_and_P_trans_thickness	lh_S_oc_middle_and_Lunatus_thickness	lh_S_oc_sup_and_transversal_thickness	lh_S_occipital_ant_thickness	lh_S_oc-temp_lat_thickness	lh_S_oc-temp_med_and_Lingual_thickness	lh_S_orbital_lateral_thickness	lh_S_orbital_med-olfact_thickness	lh_S_orbital-H_Shaped_thickness	lh_S_parieto_occipital_thickness	lh_S_pericallosal_thickness	lh_S_postcentral_thickness	lh_S_precentral-inf-part_thickness	lh_S_precentral-sup-part_thickness	lh_S_suborbital_thickness	lh_S_subparietal_thickness	lh_S_temporal_inf_thickness	lh_S_temporal_sup_thickness	lh_S_temporal_transverse_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w.long.sub-2_base	2.499	2.475	2.412	2.677	2.737	2.837	2.658	2.833	2.94	3.036	2.033	2.841	2.837	2.877	2.765	2.946	3.372	3.773	2.699	2.292	3.18	2.194	3.286	2.758	2.623	2.955	2.512	2.443	3.06	2.595	2.642	2.679	2.8	3.427	3.471	2.778	3.13	3.263	2.167	2.851	2.698	2.242	3.62	2.146	2.059	2.272	2.887	3.035	2.78	2.735	2.282	2.62	2.365	2.683	2.057	2.145	2.216	2.165	2.388	2.769	2.573	2.339	2.44	2.688	2.342	1.712	2.368	2.693	2.867	2.774	2.381	2.61	2.588	2.868	2.65575	1308498.0	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	2.607	2.519	2.46	2.72	2.769	2.866	2.652	2.675	2.94	3.154	1.995	2.876	2.848	2.921	2.828	2.924	3.325	3.718	2.694	2.269	3.215	2.177	3.436	2.847	2.613	3.014	2.476	2.416	3.051	2.593	2.785	2.682	2.849	3.463	3.552	2.852	3.203	3.273	2.142	2.925	2.802	2.199	3.678	2.17	2.123	2.247	3.0	3.043	2.811	2.877	2.266	2.607	2.386	2.79	2.212	2.14	2.237	2.16	2.441	2.791	2.597	2.267	2.451	2.775	2.39	1.66	2.424	2.69	2.87	2.798	2.36	2.649	2.659	2.872	2.6789	1300941.0	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	2.493	2.548	2.411	2.73	2.714	2.776	2.601	2.635	2.928	3.003	2.076	2.836	2.798	2.877	2.768	2.86	3.278	3.648	2.714	2.295	3.177	2.259	3.393	2.776	2.623	2.971	2.49	2.424	3.081	2.576	2.789	2.566	2.886	3.476	3.58	2.79	3.239	3.312	2.193	2.862	2.754	2.261	3.633	2.197	2.074	2.209	2.925	3.053	2.771	2.841	2.316	2.577	2.38	2.661	2.218	2.159	2.294	2.24	2.419	2.723	2.59	2.134	2.423	2.747	2.411	1.705	2.372	2.664	2.823	2.795	2.306	2.714	2.642	2.887	2.66349	1307371.0	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	2.535	2.584	2.419	2.729	2.63	2.818	2.676	2.713	2.99	3.112	1.984	2.884	2.799	2.927	2.789	2.919	3.285	3.642	2.694	2.265	3.227	2.178	3.368	2.702	2.602	3.016	2.457	2.397	3.027	2.611	2.683	2.598	2.881	3.518	3.694	2.907	3.197	3.309	2.137	2.908	2.739	2.112	3.622	2.165	2.09	2.256	2.927	3.059	2.763	2.888	2.308	2.571	2.407	2.711	2.113	2.172	2.284	2.231	2.513	2.795	2.586	2.159	2.383	2.8	2.455	1.763	2.399	2.706	2.863	2.768	2.336	2.674	2.702	2.913	2.67169	1304397.0	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	2.657	2.469	2.472	2.754	2.789	2.866	2.724	2.785	2.946	3.114	2.096	2.888	2.853	2.94	2.813	2.967	3.366	3.709	2.679	2.308	3.207	2.262	3.409	2.829	2.659	3.018	2.526	2.498	3.089	2.613	2.761	2.503	2.911	3.493	3.605	2.841	3.238	3.328	2.333	2.915	2.706	2.193	3.679	2.182	2.14	2.3	2.949	3.043	2.766	2.801	2.224	2.669	2.467	2.73	2.273	2.192	2.218	2.192	2.312	2.782	2.578	2.238	2.401	2.846	2.402	1.675	2.442	2.782	2.873	2.768	2.377	2.74	2.647	2.983	2.69937	1311780.0	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	2.591	2.469	2.433	2.716	2.789	2.831	2.631	2.734	2.977	3.067	2.078	2.845	2.802	2.873	2.798	2.942	3.332	3.717	2.71	2.291	3.139	2.218	3.315	2.816	2.639	2.995	2.473	2.479	3.083	2.604	2.709	2.656	2.84	3.499	3.542	2.804	3.207	3.305	2.298	2.82	2.726	2.17	3.714	2.188	2.105	2.23	3.009	3.023	2.746	2.804	2.278	2.6	2.381	2.701	2.283	2.164	2.218	2.22	2.334	2.701	2.578	2.184	2.506	2.758	2.378	1.679	2.399	2.698	2.798	2.822	2.379	2.687	2.666	2.907	2.67397	1308491.0	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	2.518	2.549	2.433	2.722	2.726	2.825	2.616	2.693	2.988	3.062	2.007	2.841	2.831	2.878	2.786	2.904	3.342	3.664	2.687	2.276	3.17	2.194	3.317	2.764	2.587	2.966	2.451	2.494	3.101	2.583	2.657	2.618	2.859	3.489	3.55	2.859	3.196	3.318	2.116	2.864	2.712	2.188	3.606	2.159	2.135	2.201	2.948	3.085	2.76	2.854	2.282	2.581	2.384	2.71	2.097	2.157	2.28	2.233	2.46	2.755	2.566	2.238	2.427	2.714	2.415	1.59	2.353	2.666	2.81	2.743	2.309	2.714	2.673	2.888	2.66448	1299086.0	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	2.677	2.487	2.46	2.748	2.857	2.845	2.697	2.773	3.009	3.228	2.016	2.876	2.895	2.917	2.807	2.957	3.4	3.728	2.745	2.293	3.198	2.173	3.351	2.864	2.661	2.987	2.511	2.438	3.115	2.649	2.788	2.679	2.872	3.48	3.542	2.867	3.242	3.337	2.315	2.922	2.74	2.235	3.721	2.184	2.091	2.302	2.993	3.048	2.815	2.895	2.275	2.647	2.45	2.783	2.213	2.202	2.288	2.247	2.383	2.794	2.567	2.308	2.429	2.844	2.452	1.703	2.417	2.746	2.938	2.81	2.385	2.686	2.687	2.928	2.70328	1318054.0	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	2.503	2.507	2.445	2.717	2.689	2.777	2.648	2.711	2.953	3.163	2.012	2.846	2.732	2.893	2.776	2.926	3.338	3.66	2.682	2.27	3.137	2.114	3.333	2.714	2.665	2.983	2.508	2.476	3.1	2.591	2.688	2.649	2.846	3.442	3.498	2.754	3.157	3.237	2.142	2.861	2.642	2.125	3.579	2.146	2.087	2.245	2.892	3.001	2.69	2.845	2.278	2.561	2.395	2.74	2.242	2.168	2.237	2.184	2.434	2.754	2.581	2.15	2.404	2.74	2.428	1.632	2.372	2.706	2.899	2.675	2.323	2.645	2.631	2.838	2.65198	1313615.0	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	2.589	2.526	2.446	2.766	2.744	2.847	2.691	2.735	2.954	3.098	2.05	2.89	2.836	2.94	2.858	2.938	3.338	3.752	2.71	2.288	3.167	2.174	3.32	2.83	2.64	2.989	2.498	2.49	3.091	2.618	2.765	2.627	2.911	3.527	3.342	2.829	3.186	3.29	2.118	2.888	2.684	2.149	3.529	2.177	2.156	2.264	2.948	3.086	2.758	2.755	2.269	2.63	2.456	2.749	2.204	2.182	2.242	2.221	2.357	2.719	2.562	2.213	2.51	2.856	2.4	1.714	2.417	2.736	2.815	2.798	2.416	2.63	2.635	2.949	2.68228	1312394.0	1658297.590527
