lh.aparc.a2009s.volume	lh_G_and_S_frontomargin_volume	lh_G_and_S_occipital_inf_volume	lh_G_and_S_paracentral_volume	lh_G_and_S_subcentral_volume	lh_G_and_S_transv_frontopol_volume	lh_G_and_S_cingul-Ant_volume	lh_G_and_S_cingul-Mid-Ant_volume	lh_G_and_S_cingul-Mid-Post_volume	lh_G_cingul-Post-dorsal_volume	lh_G_cingul-Post-ventral_volume	lh_G_cuneus_volume	lh_G_front_inf-Opercular_volume	lh_G_front_inf-Orbital_volume	lh_G_front_inf-Triangul_volume	lh_G_front_middle_volume	lh_G_front_sup_volume	lh_G_Ins_lg_and_S_cent_ins_volume	lh_G_insular_short_volume	lh_G_occipital_middle_volume	lh_G_occipital_sup_volume	lh_G_oc-temp_lat-fusifor_volume	lh_G_oc-temp_med-Lingual_volume	lh_G_oc-temp_med-Parahip_volume	lh_G_orbital_volume	lh_G_pariet_inf-Angular_volume	lh_G_pariet_inf-Supramar_volume	lh_G_parietal_sup_volume	lh_G_postcentral_volume	lh_G_precentral_volume	lh_G_precuneus_volume	lh_G_rectus_volume	lh_G_subcallosal_volume	lh_G_temp_sup-G_T_transv_volume	lh_G_temp_sup-Lateral_volume	lh_G_temp_sup-Plan_polar_volume	lh_G_temp_sup-Plan_tempo_volume	lh_G_temporal_inf_volume	lh_G_temporal_middle_volume	lh_Lat_Fis-ant-Horizont_volume	lh_Lat_Fis-ant-Vertical_volume	lh_Lat_Fis-post_volume	lh_Pole_occipital_volume	lh_Pole_temporal_volume	lh_S_calcarine_volume	lh_S_central_volume	lh_S_cingul-Marginalis_volume	lh_S_circular_insula_ant_volume	lh_S_circular_insula_inf_volume	lh_S_circular_insula_sup_volume	lh_S_collat_transv_ant_volume	lh_S_collat_transv_post_volume	lh_S_front_inf_volume	lh_S_front_middle_volume	lh_S_front_sup_volume	lh_S_interm_prim-Jensen_volume	lh_S_intrapariet_and_P_trans_volume	lh_S_oc_middle_and_Lunatus_volume	lh_S_oc_sup_and_transversal_volume	lh_S_occipital_ant_volume	lh_S_oc-temp_lat_volume	lh_S_oc-temp_med_and_Lingual_volume	lh_S_orbital_lateral_volume	lh_S_orbital_med-olfact_volume	lh_S_orbital-H_Shaped_volume	lh_S_parieto_occipital_volume	lh_S_pericallosal_volume	lh_S_postcentral_volume	lh_S_precentral-inf-part_volume	lh_S_precentral-sup-part_volume	lh_S_suborbital_volume	lh_S_subparietal_volume	lh_S_temporal_inf_volume	lh_S_temporal_sup_volume	lh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w.long.sub-2_base	2932.0	3992.0	3374.0	3323.0	2110.0	5943.0	3579.0	2491.0	1884.0	962.0	3639.0	3719.0	1313.0	3978.0	11347.0	18860.0	1608.0	2860.0	6608.0	3022.0	5681.0	6106.0	3635.0	7080.0	6775.0	6678.0	6597.0	5337.0	6970.0	7168.0	2885.0	1337.0	1130.0	6984.0	1918.0	2031.0	6669.0	9090.0	403.0	643.0	1625.0	3911.0	6410.0	4131.0	3514.0	1496.0	832.0	2650.0	2745.0	2006.0	858.0	6097.0	2247.0	4091.0	388.0	3712.0	1966.0	2467.0	702.0	1908.0	3315.0	687.0	1174.0	3200.0	3053.0	1031.0	3994.0	3382.0	1665.0	1195.0	1919.0	2834.0	10217.0	594.0	1308498.0	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	3043.0	3982.0	3377.0	3336.0	2101.0	6005.0	3582.0	2412.0	1879.0	985.0	3517.0	3723.0	1298.0	4040.0	11543.0	18682.0	1547.0	2824.0	6550.0	2916.0	5777.0	6000.0	3795.0	7268.0	6464.0	6637.0	6204.0	5023.0	6546.0	7014.0	2970.0	1376.0	1153.0	7021.0	1954.0	2055.0	6919.0	9150.0	362.0	639.0	1722.0	3825.0	6536.0	4134.0	3734.0	1466.0	851.0	2726.0	2807.0	2063.0	839.0	6151.0	2263.0	4270.0	450.0	3713.0	1948.0	2447.0	701.0	1895.0	3358.0	695.0	1146.0	3341.0	3047.0	997.0	4120.0	3396.0	1674.0	1198.0	1887.0	2799.0	10558.0	595.0	1300941.0	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	2889.0	4021.0	3302.0	3351.0	1995.0	5860.0	3515.0	2352.0	1879.0	930.0	3648.0	3653.0	1298.0	4015.0	11196.0	18152.0	1499.0	2739.0	6575.0	2950.0	5750.0	6291.0	3697.0	7070.0	6487.0	6558.0	6211.0	5139.0	6551.0	6999.0	2953.0	1278.0	1169.0	6996.0	1935.0	2003.0	6893.0	9101.0	387.0	646.0	1696.0	3867.0	6607.0	4155.0	3666.0	1432.0	846.0	2666.0	2743.0	2043.0	852.0	6022.0	2215.0	4042.0	456.0	3713.0	1997.0	2519.0	720.0	1857.0	3340.0	668.0	1136.0	3356.0	3071.0	1030.0	4037.0	3386.0	1654.0	1202.0	1824.0	2884.0	10405.0	593.0	1307371.0	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	2989.0	4126.0	3326.0	3365.0	2029.0	5954.0	3593.0	2325.0	1888.0	999.0	3557.0	3711.0	1328.0	4074.0	11520.0	18809.0	1529.0	2753.0	6570.0	2897.0	5883.0	6106.0	3633.0	6997.0	6416.0	6648.0	6079.0	4884.0	6589.0	7108.0	2944.0	1337.0	1168.0	6998.0	1955.0	2087.0	7046.0	9091.0	397.0	678.0	1677.0	3847.0	6666.0	4126.0	3684.0	1471.0	827.0	2681.0	2705.0	2103.0	854.0	6073.0	2270.0	4196.0	433.0	3736.0	2013.0	2506.0	752.0	1923.0	3331.0	683.0	1137.0	3368.0	3117.0	975.0	4055.0	3403.0	1691.0	1198.0	1872.0	2852.0	10692.0	599.0	1304397.0	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	3077.0	3994.0	3405.0	3434.0	2081.0	6020.0	3560.0	2322.0	1861.0	965.0	3678.0	3781.0	1317.0	4128.0	11593.0	18916.0	1525.0	2823.0	6567.0	2995.0	5777.0	6166.0	3720.0	7122.0	6706.0	6769.0	6389.0	5342.0	6924.0	7134.0	2994.0	1298.0	1157.0	7072.0	1906.0	2090.0	6912.0	9098.0	386.0	664.0	1607.0	3859.0	6727.0	4178.0	3721.0	1525.0	821.0	2685.0	2729.0	2029.0	842.0	6223.0	2317.0	4199.0	419.0	3805.0	1956.0	2490.0	669.0	1899.0	3327.0	677.0	1104.0	3360.0	3091.0	889.0	4151.0	3476.0	1657.0	1192.0	1923.0	2927.0	10485.0	627.0	1311780.0	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	3025.0	3984.0	3333.0	3361.0	2069.0	5909.0	3588.0	2425.0	1897.0	961.0	3679.0	3713.0	1329.0	4055.0	11603.0	18907.0	1540.0	2821.0	6663.0	2972.0	5691.0	6080.0	3577.0	7205.0	6549.0	6715.0	6194.0	5285.0	6848.0	7136.0	2981.0	1465.0	1143.0	7125.0	1914.0	2030.0	6928.0	9190.0	417.0	651.0	1641.0	3813.0	6603.0	4231.0	3646.0	1460.0	871.0	2647.0	2700.0	2076.0	852.0	6166.0	2266.0	4154.0	453.0	3759.0	1957.0	2507.0	678.0	1870.0	3305.0	660.0	1197.0	3346.0	3042.0	1089.0	4072.0	3376.0	1653.0	1193.0	1907.0	2832.0	10472.0	627.0	1308491.0	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	2990.0	4063.0	3297.0	3324.0	2049.0	5777.0	3522.0	2395.0	1888.0	975.0	3569.0	3675.0	1298.0	4038.0	11399.0	18520.0	1530.0	2719.0	6506.0	2887.0	5706.0	6101.0	3786.0	7063.0	6404.0	6534.0	6009.0	5196.0	6705.0	6996.0	2929.0	1358.0	1154.0	7088.0	1917.0	2061.0	6959.0	9143.0	348.0	650.0	1671.0	3842.0	6489.0	4109.0	3741.0	1400.0	857.0	2706.0	2767.0	2074.0	844.0	6023.0	2234.0	4193.0	447.0	3698.0	1969.0	2492.0	720.0	1883.0	3324.0	689.0	1153.0	3251.0	3093.0	904.0	4026.0	3372.0	1633.0	1189.0	1852.0	2882.0	10548.0	611.0	1299086.0	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	3057.0	3955.0	3374.0	3371.0	2134.0	6000.0	3572.0	2295.0	1933.0	991.0	3573.0	3861.0	1334.0	4182.0	11590.0	19035.0	1531.0	2789.0	6658.0	2990.0	5762.0	6035.0	3665.0	7167.0	6653.0	6706.0	6257.0	5251.0	6894.0	7222.0	3032.0	1335.0	1173.0	7100.0	1960.0	2064.0	6931.0	9235.0	383.0	635.0	1645.0	3921.0	6668.0	4182.0	3616.0	1494.0	872.0	2664.0	2751.0	2057.0	850.0	6233.0	2287.0	4297.0	426.0	3826.0	1965.0	2527.0	707.0	1902.0	3361.0	699.0	1142.0	3394.0	3167.0	876.0	4079.0	3458.0	1707.0	1212.0	1913.0	2843.0	10582.0	608.0	1318054.0	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	2995.0	4026.0	3432.0	3471.0	2058.0	5897.0	3608.0	2439.0	1880.0	977.0	3628.0	3767.0	1339.0	4260.0	11716.0	19173.0	1591.0	2787.0	6566.0	2962.0	5687.0	5952.0	3708.0	7008.0	6698.0	6876.0	6266.0	5375.0	6937.0	7199.0	2950.0	1307.0	1150.0	7274.0	2025.0	2019.0	6891.0	9286.0	368.0	695.0	1572.0	3828.0	6406.0	4125.0	3690.0	1458.0	837.0	2653.0	2633.0	2100.0	853.0	6100.0	2278.0	4351.0	435.0	3811.0	1959.0	2490.0	706.0	1922.0	3365.0	641.0	1141.0	3286.0	3097.0	986.0	4086.0	3429.0	1722.0	1156.0	1854.0	2838.0	10350.0	606.0	1313615.0	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	3033.0	4053.0	3409.0	3411.0	2051.0	5962.0	3652.0	2446.0	1880.0	967.0	3709.0	3775.0	1308.0	4187.0	11797.0	18991.0	1508.0	2818.0	6616.0	2981.0	5849.0	6093.0	3696.0	7298.0	6633.0	6682.0	6270.0	5340.0	6919.0	7193.0	3049.0	1477.0	1163.0	7150.0	1881.0	2050.0	7008.0	9159.0	385.0	676.0	1627.0	3898.0	6385.0	4173.0	3725.0	1475.0	854.0	2708.0	2696.0	1973.0	861.0	6184.0	2327.0	4334.0	439.0	3764.0	1989.0	2508.0	685.0	1873.0	3296.0	676.0	1157.0	3405.0	3086.0	1015.0	4109.0	3474.0	1674.0	1196.0	1899.0	2844.0	10462.0	614.0	1312394.0	1658297.590527
