rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w.long.sub-2_base	1047.0	866.0	1930.0	1693.0	429.0	3278.0	5857.0	3680.0	870.0	4683.0	2999.0	3410.0	2371.0	3499.0	573.0	1613.0	1419.0	977.0	1413.0	1675.0	3847.0	1035.0	4549.0	4410.0	748.0	6758.0	7732.0	6272.0	3553.0	3721.0	463.0	500.0	304.0	2619.0	90793.5	1308498.0	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	1055.0	854.0	1876.0	1651.0	432.0	3268.0	5833.0	3674.0	863.0	4647.0	2926.0	3384.0	2381.0	3470.0	560.0	1590.0	1429.0	990.0	1413.0	1649.0	3731.0	959.0	4527.0	4345.0	742.0	6771.0	7727.0	6124.0	3600.0	3674.0	495.0	480.0	304.0	2386.0	89813.1	1300941.0	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	1053.0	864.0	1895.0	1751.0	426.0	3294.0	5864.0	3654.0	886.0	4723.0	3023.0	3467.0	2345.0	3478.0	575.0	1601.0	1443.0	1007.0	1429.0	1700.0	3801.0	973.0	4541.0	4390.0	794.0	6766.0	7664.0	6175.0	3569.0	3682.0	479.0	515.0	303.0	2595.0	90723.2	1307371.0	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	1059.0	883.0	1971.0	1749.0	425.0	3288.0	5867.0	3737.0	873.0	4730.0	3032.0	3548.0	2434.0	3526.0	578.0	1621.0	1462.0	1019.0	1446.0	1708.0	3851.0	1065.0	4619.0	4402.0	765.0	6948.0	7751.0	6220.0	3595.0	3734.0	496.0	520.0	306.0	2608.0	91834.2	1304397.0	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	1051.0	865.0	1941.0	1662.0	418.0	3282.0	5888.0	3697.0	868.0	4672.0	2955.0	3413.0	2379.0	3490.0	571.0	1637.0	1443.0	1011.0	1438.0	1676.0	3827.0	988.0	4633.0	4378.0	759.0	6888.0	7731.0	6201.0	3600.0	3729.0	495.0	486.0	306.0	2414.0	90788.2	1311780.0	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	1059.0	869.0	1921.0	1668.0	434.0	3297.0	5861.0	3701.0	897.0	4718.0	2973.0	3398.0	2414.0	3526.0	566.0	1627.0	1436.0	1007.0	1432.0	1675.0	3787.0	1067.0	4597.0	4376.0	782.0	6878.0	7756.0	6186.0	3575.0	3719.0	501.0	529.0	302.0	2583.0	91117.1	1308491.0	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	1066.0	916.0	1911.0	1678.0	446.0	3306.0	5861.0	3696.0	876.0	4705.0	2965.0	3428.0	2416.0	3493.0	584.0	1582.0	1425.0	1007.0	1449.0	1668.0	3773.0	1137.0	4561.0	4351.0	807.0	6837.0	7692.0	6145.0	3576.0	3719.0	506.0	523.0	305.0	2616.0	91024.9	1299086.0	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	1052.0	850.0	1924.0	1664.0	425.0	3283.0	5834.0	3710.0	868.0	4644.0	2915.0	3443.0	2379.0	3484.0	575.0	1602.0	1445.0	994.0	1426.0	1684.0	3775.0	964.0	4548.0	4361.0	764.0	6728.0	7718.0	6120.0	3587.0	3676.0	486.0	477.0	302.0	2416.0	90121.0	1318054.0	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	1063.0	895.0	1970.0	1733.0	455.0	3385.0	5919.0	3740.0	901.0	4726.0	3016.0	3555.0	2423.0	3502.0	580.0	1660.0	1439.0	1015.0	1449.0	1717.0	3836.0	1161.0	4584.0	4393.0	800.0	6960.0	7831.0	6144.0	3591.0	3727.0	501.0	501.0	302.0	2615.0	92088.5	1313615.0	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	1061.0	859.0	1932.0	1737.0	441.0	3310.0	5869.0	3683.0	886.0	4725.0	2953.0	3479.0	2420.0	3518.0	562.0	1636.0	1449.0	993.0	1433.0	1682.0	3773.0	986.0	4561.0	4380.0	760.0	6946.0	7782.0	6183.0	3592.0	3695.0	500.0	515.0	302.0	2614.0	91217.3	1312394.0	1658297.590527
