rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w.long.sub-2_base	2.588	2.433	2.674	2.037	3.167	2.93	2.61	3.044	2.414	2.411	2.752	2.242	2.758	2.893	2.781	2.568	2.765	2.737	2.62	1.866	2.334	2.559	2.747	2.58	2.662	2.448	2.86	2.409	3.012	2.764	2.767	3.789	2.676	3.113	2.64647	1308498.0	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	2.61	2.464	2.672	2.01	3.372	2.933	2.599	3.107	2.399	2.376	2.854	2.223	2.784	2.958	2.802	2.494	2.741	2.771	2.662	1.852	2.318	2.584	2.702	2.562	2.699	2.4	2.868	2.36	3.03	2.746	2.692	3.857	2.701	3.251	2.64561	1300941.0	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	2.588	2.453	2.707	2.034	3.308	2.936	2.633	3.101	2.42	2.406	2.792	2.199	2.858	2.945	2.737	2.588	2.764	2.774	2.656	1.856	2.302	2.62	2.734	2.614	2.617	2.441	2.886	2.412	3.049	2.774	2.729	3.682	2.719	3.155	2.66115	1307371.0	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	2.546	2.409	2.589	1.957	3.284	2.932	2.557	3.046	2.407	2.371	2.78	2.148	2.781	2.922	2.816	2.5	2.672	2.743	2.6	1.799	2.26	2.571	2.648	2.56	2.679	2.385	2.875	2.324	3.008	2.711	2.535	3.802	2.666	3.183	2.61321	1304397.0	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	2.545	2.481	2.758	2.042	3.407	2.921	2.587	3.09	2.434	2.365	2.83	2.24	2.833	2.948	2.784	2.549	2.8	2.834	2.729	1.871	2.335	2.627	2.739	2.626	2.694	2.52	2.927	2.409	3.058	2.748	2.622	3.804	2.709	3.214	2.67287	1311780.0	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	2.569	2.41	2.699	2.058	3.28	2.925	2.597	3.076	2.379	2.383	2.8	2.251	2.753	2.927	2.842	2.515	2.737	2.759	2.644	1.901	2.325	2.517	2.694	2.581	2.641	2.445	2.884	2.382	3.023	2.72	2.647	3.704	2.698	3.148	2.64415	1308491.0	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	2.589	2.414	2.682	2.029	3.247	2.932	2.582	3.103	2.39	2.375	2.771	2.213	2.77	2.942	2.796	2.498	2.734	2.722	2.579	1.83	2.269	2.466	2.708	2.568	2.633	2.387	2.855	2.345	3.024	2.717	2.525	3.596	2.733	3.159	2.62564	1299086.0	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	2.619	2.463	2.671	2.057	3.388	2.963	2.643	3.098	2.409	2.449	2.812	2.262	2.824	2.985	2.853	2.593	2.78	2.819	2.649	1.913	2.341	2.625	2.739	2.624	2.703	2.502	2.925	2.43	3.087	2.787	2.671	3.98	2.729	3.249	2.68882	1318054.0	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	2.62	2.484	2.66	1.981	3.269	2.921	2.628	3.114	2.417	2.462	2.762	2.183	2.788	2.97	2.798	2.507	2.791	2.786	2.633	1.841	2.253	2.53	2.733	2.633	2.656	2.451	2.921	2.386	3.076	2.75	2.608	3.784	2.686	3.114	2.65709	1313615.0	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	2.604	2.464	2.7	2.034	3.217	2.92	2.618	3.107	2.426	2.409	2.819	2.219	2.812	2.927	2.785	2.507	2.772	2.845	2.674	1.862	2.331	2.582	2.739	2.58	2.724	2.485	2.904	2.4	3.015	2.755	2.633	3.755	2.707	3.151	2.66092	1312394.0	1658297.590527
