rh.aparc.DKTatlas.thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w.long.sub-2_base	2.445	2.682	2.073	3.134	2.875	2.622	3.095	2.414	2.381	2.707	2.252	2.789	2.845	2.788	2.583	2.771	2.646	2.536	1.862	2.347	2.566	2.753	2.578	2.587	2.459	2.777	2.419	3.032	2.745	2.675	3.281	2.64647	1308498.0	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	2.475	2.668	2.05	3.347	2.882	2.612	3.149	2.398	2.343	2.796	2.231	2.838	2.9	2.814	2.511	2.768	2.731	2.558	1.848	2.334	2.587	2.708	2.556	2.606	2.376	2.785	2.369	3.057	2.732	2.687	3.385	2.64561	1300941.0	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	2.466	2.701	2.069	3.298	2.887	2.647	3.143	2.418	2.374	2.737	2.211	2.882	2.886	2.75	2.604	2.771	2.722	2.58	1.851	2.316	2.621	2.742	2.613	2.573	2.446	2.801	2.42	3.048	2.764	2.71	3.332	2.66115	1307371.0	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	2.42	2.589	1.992	3.255	2.887	2.569	3.094	2.412	2.339	2.73	2.154	2.816	2.851	2.824	2.516	2.683	2.72	2.524	1.796	2.28	2.575	2.659	2.555	2.598	2.364	2.777	2.329	3.02	2.707	2.67	3.362	2.61321	1304397.0	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	2.498	2.75	2.08	3.383	2.879	2.6	3.129	2.438	2.337	2.784	2.25	2.86	2.882	2.787	2.563	2.811	2.812	2.651	1.861	2.347	2.63	2.743	2.621	2.634	2.514	2.845	2.419	3.056	2.737	2.714	3.355	2.67287	1311780.0	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	2.422	2.701	2.095	3.259	2.876	2.612	3.114	2.381	2.358	2.75	2.259	2.782	2.865	2.852	2.533	2.754	2.679	2.561	1.895	2.329	2.519	2.704	2.576	2.564	2.427	2.798	2.393	3.027	2.711	2.688	3.332	2.64415	1308491.0	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	2.412	2.686	2.07	3.233	2.881	2.594	3.146	2.389	2.347	2.701	2.223	2.814	2.882	2.803	2.515	2.748	2.705	2.483	1.822	2.28	2.478	2.715	2.558	2.582	2.38	2.76	2.351	3.011	2.711	2.732	3.348	2.62564	1299086.0	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	2.468	2.672	2.099	3.364	2.906	2.659	3.152	2.408	2.417	2.788	2.269	2.857	2.921	2.859	2.611	2.79	2.737	2.573	1.913	2.355	2.63	2.748	2.618	2.653	2.499	2.838	2.441	3.103	2.777	2.727	3.37	2.68882	1318054.0	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	2.45	2.658	2.031	3.241	2.874	2.643	3.151	2.421	2.431	2.728	2.188	2.799	2.92	2.811	2.521	2.787	2.7	2.56	1.842	2.262	2.57	2.738	2.622	2.602	2.467	2.818	2.4	3.07	2.734	2.689	3.303	2.65709	1313615.0	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	2.468	2.703	2.072	3.172	2.877	2.634	3.143	2.425	2.38	2.77	2.227	2.834	2.873	2.799	2.524	2.779	2.767	2.6	1.857	2.339	2.59	2.744	2.576	2.637	2.49	2.818	2.411	3.029	2.741	2.706	3.329	2.66092	1312394.0	1658297.590527
