Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol
sub-3_ses-1_T1w	6369.0	147.5	13711.6	55187.9	7876.2	3492.4	4585.9	1742.0	1116.1	1748.9	22076.6	3738.2	1414.9	967.0	529.3	4255.5	16.5	501.3	6655.8	204.7	13383.6	55284.3	7529.9	3388.8	4640.4	1869.2	4178.6	1975.2	632.0	4128.4	13.8	539.4	0.0	1963.1	0.0	0.0	0.0	0.0	0.0	144.3	1080.1	733.4	759.7	437.8	651.0	1134416.0	1116879.0	242636.118401	233905.223081	476541.341482	225839.5	221028.5	446868.0	57814.0	645052.341482	997448.0	979911.0	1658197.0	0.724041	1.058345	50.0	51.0	101.0	1566783.593869
sub-3_ses-2_T1w	6478.4	139.5	12812.5	56447.4	7995.8	3491.8	4695.0	1752.6	1060.3	1788.2	22686.5	3682.9	1670.6	901.7	429.5	3665.2	18.3	458.9	6747.0	207.4	13147.7	56968.9	7700.6	3556.9	4837.8	2017.0	4044.1	1805.8	635.5	3753.7	25.2	360.8	0.0	819.1	0.0	0.0	0.0	0.0	0.0	121.8	1084.3	846.6	825.7	472.5	609.2	1155337.0	1137783.0	250262.032691	245685.212424	495947.245115	224758.0	222340.0	447098.0	57271.0	666796.245115	1016905.0	999351.0	1588481.0	0.73791	1.014557	18.0	9.0	27.0	1565688.685682
sub-3_ses-3_T1w	6811.7	112.8	13282.3	56658.4	7538.4	3526.2	4760.9	1887.4	1083.0	1810.1	21430.5	3548.4	1580.5	941.4	361.7	4149.3	29.7	481.4	7036.5	316.8	13088.8	56073.5	7038.5	3544.6	4814.4	1887.0	4037.7	1990.5	595.6	3932.7	23.8	406.9	0.0	750.6	0.0	0.0	0.0	0.0	0.0	144.7	1067.4	575.7	587.3	454.6	656.6	1167695.0	1149373.0	250282.809769	246160.377877	496443.187646	230259.0	228493.0	458752.0	57141.0	666678.187646	1029389.0	1011067.0	1613579.0	0.753323	1.04098	28.0	21.0	49.0	1550058.179852
sub-3_ses-4_T1w	6639.2	158.4	13802.8	56579.3	7595.8	3605.9	4759.3	1867.2	1037.6	1706.0	21135.7	3411.8	1454.3	954.6	406.8	3956.0	28.7	448.2	6769.9	189.0	14682.0	57388.0	7061.3	3716.4	5073.7	1893.3	3835.9	1843.0	539.8	3900.3	27.0	357.4	0.0	709.8	0.0	0.0	0.0	0.0	0.0	158.9	1079.2	853.0	841.5	473.9	616.4	1167127.0	1149541.0	251714.790893	247545.387086	499260.177979	226760.5	225970.5	452731.0	56992.0	670431.177979	1025489.0	1007903.0	1618229.0	0.74988	1.039713	26.0	18.0	44.0	1556418.483233
sub-3_ses-5_T1w	6628.8	106.5	13128.3	56015.6	7084.6	3344.0	4757.7	1807.4	1042.1	1762.5	21366.2	3516.7	1602.1	931.7	472.0	3959.9	41.1	496.7	6809.8	321.8	13264.3	56091.2	6772.8	3434.5	4786.9	1963.7	3820.4	1595.8	648.3	3812.5	25.3	451.2	0.0	725.9	0.0	0.0	0.0	0.0	0.0	120.6	1089.0	680.8	733.4	472.1	611.0	1166800.0	1148913.0	247758.583838	246910.656609	494669.240447	231500.5	231466.5	462967.0	54977.0	662072.240447	1029267.0	1011380.0	1618419.0	0.752982	1.044429	12.0	12.0	24.0	1549572.411905
sub-3_ses-6_T1w	6588.8	150.9	13600.4	56564.7	7366.1	3524.5	4808.2	1691.5	1102.1	1767.5	21471.2	3701.5	1574.9	1055.4	407.8	4300.4	22.0	507.3	6891.6	268.6	13369.7	55885.9	7142.1	3463.4	4556.4	1765.8	3922.0	1699.6	625.7	3895.8	21.3	373.5	0.0	646.7	0.0	0.0	0.0	0.0	0.0	137.9	1079.2	868.6	796.8	492.9	653.0	1163769.0	1145720.0	246564.270877	243907.754142	490472.025019	231307.5	230779.5	462087.0	56363.0	659491.025019	1025346.0	1007297.0	1611165.0	0.749238	1.037272	18.0	10.0	28.0	1553271.016738
sub-3_ses-7_T1w	6470.0	117.1	13378.1	56632.4	7791.3	3537.4	4692.9	1997.5	1061.8	1649.5	22442.8	3649.6	1457.6	898.9	366.6	3933.7	33.7	407.4	6561.7	209.9	12524.0	56958.4	7673.8	3520.3	4780.9	1884.7	4048.8	1775.9	544.2	3762.2	24.5	477.4	0.0	1560.3	0.0	0.0	0.0	0.0	0.0	112.6	1106.3	834.3	816.1	441.5	654.9	1160651.0	1143555.0	235882.743145	233584.208214	469466.951358	240917.5	238213.5	479131.0	57337.0	640878.951358	1021839.0	1004743.0	1616362.0	0.741532	1.032682	49.0	25.0	74.0	1565207.164871
sub-3_ses-8_T1w	6884.2	179.6	13764.3	56264.8	7304.8	3510.2	4735.9	1790.7	1116.0	1771.6	21868.8	3487.9	1445.0	1015.4	340.2	3989.3	42.6	484.7	6998.1	191.3	12875.3	56228.8	6978.8	3451.5	4567.9	1834.1	3941.7	1844.0	604.0	3876.5	29.2	433.5	0.0	635.2	0.0	0.0	0.0	0.0	0.0	127.4	1107.7	842.3	766.9	483.2	635.9	1162332.0	1143933.0	247353.700473	243782.15165	491135.852123	231086.0	229012.0	460098.0	55365.0	659805.852123	1023681.0	1005282.0	1647347.0	0.74537	1.056396	16.0	13.0	29.0	1559403.122972
sub-3_ses-9_T1w	6383.8	122.5	14090.9	55770.0	7894.7	3550.8	4668.6	1757.7	1088.8	1794.5	21622.4	3523.1	1573.3	999.9	407.4	4038.5	33.5	477.1	6836.8	200.8	13760.9	56471.0	6984.2	3450.7	4697.0	1823.5	3741.9	1710.2	583.6	4229.3	26.4	391.8	0.0	686.3	0.0	0.0	0.0	0.0	0.0	171.4	1103.0	822.3	742.2	455.3	673.6	1171885.0	1154182.0	246222.950051	244248.014584	490470.964635	234846.0	234812.0	469658.0	56309.0	659425.964635	1032616.0	1014913.0	1627925.0	0.74928	1.040864	19.0	13.0	32.0	1564013.863215
sub-3_ses-10_T1w	6808.7	173.7	13343.8	56790.3	7129.9	3417.0	4900.0	1836.3	1114.8	1750.4	21787.1	3602.5	1521.2	952.2	420.6	4043.0	44.0	510.3	7069.8	313.3	12757.4	56353.0	7056.1	3414.8	4873.6	1947.6	3998.2	1896.3	641.1	3831.4	22.3	461.1	0.0	651.3	0.0	0.0	0.0	0.0	0.0	118.0	1046.3	540.8	595.0	454.5	629.1	1161634.0	1143125.0	252118.264313	247941.539884	500059.804197	226103.5	223529.5	449633.0	56380.0	670007.804197	1023341.0	1004832.0	1613234.0	0.748407	1.03936	17.0	13.0	30.0	1552142.127839
