lh.aparc.a2009s.area	lh_G_and_S_frontomargin_area	lh_G_and_S_occipital_inf_area	lh_G_and_S_paracentral_area	lh_G_and_S_subcentral_area	lh_G_and_S_transv_frontopol_area	lh_G_and_S_cingul-Ant_area	lh_G_and_S_cingul-Mid-Ant_area	lh_G_and_S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg_and_S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet_and_P_trans_area	lh_S_oc_middle_and_Lunatus_area	lh_S_oc_sup_and_transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med_and_Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	876.0	1143.0	1054.0	1049.0	469.0	1636.0	1069.0	895.0	387.0	203.0	1273.0	908.0	271.0	517.0	3292.0	5111.0	381.0	495.0	1511.0	1039.0	1447.0	2153.0	886.0	1630.0	1865.0	2227.0	2293.0	1817.0	1767.0	1745.0	674.0	394.0	301.0	1526.0	522.0	844.0	2207.0	2268.0	105.0	183.0	738.0	1549.0	1352.0	1530.0	2304.0	791.0	452.0	948.0	1031.0	816.0	380.0	1109.0	1072.0	2394.0	174.0	2063.0	665.0	970.0	534.0	584.0	1624.0	297.0	419.0	987.0	1303.0	479.0	2361.0	1176.0	985.0	423.0	575.0	1116.0	4852.0	227.0	88720.5	1116879.0	1566783.593869
sub-3_ses-2_T1w	988.0	1255.0	953.0	980.0	548.0	1774.0	982.0	914.0	369.0	188.0	1452.0	856.0	357.0	449.0	3292.0	4747.0	517.0	484.0	1659.0	1041.0	1511.0	2141.0	829.0	1725.0	1821.0	2102.0	2006.0	1639.0	1555.0	1837.0	683.0	370.0	299.0	1444.0	503.0	818.0	2128.0	2241.0	123.0	157.0	699.0	1582.0	1345.0	1468.0	2165.0	885.0	416.0	1009.0	1021.0	870.0	381.0	1233.0	1032.0	2084.0	213.0	1914.0	653.0	993.0	490.0	601.0	1680.0	278.0	396.0	977.0	1410.0	511.0	2265.0	1137.0	904.0	415.0	596.0	1246.0	4581.0	214.0	87401.5	1137783.0	1565688.685682
sub-3_ses-3_T1w	965.0	1129.0	1016.0	1049.0	534.0	1776.0	1079.0	1025.0	390.0	203.0	1421.0	846.0	268.0	514.0	3434.0	4838.0	468.0	469.0	1682.0	1032.0	1555.0	2217.0	898.0	1753.0	1935.0	2048.0	2034.0	1627.0	1595.0	1821.0	680.0	418.0	325.0	1407.0	532.0	819.0	2481.0	2112.0	152.0	179.0	714.0	1563.0	1236.0	1644.0	2166.0	895.0	412.0	979.0	1093.0	843.0	366.0	1094.0	1019.0	2186.0	185.0	1920.0	639.0	1027.0	507.0	544.0	1660.0	293.0	440.0	1104.0	1420.0	616.0	2313.0	1151.0	917.0	514.0	640.0	1356.0	4719.0	203.0	89103.6	1149373.0	1550058.179852
sub-3_ses-4_T1w	980.0	1305.0	1082.0	1079.0	517.0	1809.0	1049.0	909.0	379.0	249.0	1414.0	811.0	252.0	500.0	3352.0	5033.0	504.0	486.0	1594.0	1030.0	1468.0	2203.0	838.0	1750.0	1886.0	2041.0	2032.0	1677.0	1588.0	1803.0	670.0	456.0	303.0	1428.0	523.0	846.0	2350.0	2274.0	135.0	180.0	684.0	1522.0	1381.0	1562.0	2188.0	890.0	433.0	991.0	1088.0	857.0	305.0	1119.0	1086.0	2159.0	210.0	1891.0	650.0	1016.0	516.0	530.0	1600.0	334.0	418.0	1004.0	1373.0	542.0	2350.0	1167.0	960.0	493.0	645.0	1309.0	4631.0	198.0	88887.9	1149541.0	1556418.483233
sub-3_ses-5_T1w	983.0	1143.0	1004.0	1055.0	569.0	1765.0	1079.0	1042.0	380.0	197.0	1389.0	847.0	280.0	518.0	3268.0	5042.0	468.0	515.0	1615.0	1019.0	1579.0	2211.0	861.0	1641.0	1785.0	2027.0	2120.0	1757.0	1620.0	1774.0	663.0	328.0	301.0	1446.0	504.0	860.0	2289.0	2214.0	118.0	159.0	713.0	1598.0	1276.0	1611.0	2213.0	909.0	440.0	972.0	1076.0	897.0	402.0	1173.0	1063.0	2159.0	216.0	1968.0	699.0	1052.0	461.0	578.0	1687.0	316.0	460.0	1065.0	1364.0	629.0	2216.0	1154.0	963.0	507.0	642.0	1310.0	4699.0	235.0	89159.7	1148913.0	1549572.411905
sub-3_ses-6_T1w	935.0	1109.0	982.0	1022.0	584.0	1713.0	1058.0	1023.0	397.0	192.0	1395.0	859.0	325.0	459.0	3335.0	4947.0	459.0	493.0	1623.0	1068.0	1521.0	2144.0	909.0	1777.0	1807.0	2032.0	2038.0	1711.0	1707.0	1864.0	718.0	459.0	302.0	1415.0	442.0	869.0	2279.0	2177.0	121.0	184.0	734.0	1535.0	1280.0	1601.0	2223.0	903.0	422.0	964.0	1125.0	857.0	430.0	1162.0	1057.0	2186.0	215.0	1991.0	693.0	1068.0	515.0	522.0	1749.0	313.0	415.0	988.0	1454.0	519.0	2331.0	1117.0	948.0	429.0	648.0	1226.0	4801.0	203.0	89079.3	1145720.0	1553271.016738
sub-3_ses-7_T1w	949.0	1299.0	1108.0	1223.0	532.0	1713.0	1131.0	1060.0	410.0	240.0	1453.0	832.0	370.0	498.0	3407.0	5330.0	430.0	547.0	1556.0	1043.0	1526.0	2334.0	1025.0	1813.0	2023.0	2162.0	2261.0	1770.0	1807.0	2020.0	631.0	428.0	317.0	1561.0	395.0	865.0	2169.0	2310.0	149.0	201.0	721.0	1596.0	1218.0	1458.0	2207.0	898.0	407.0	993.0	1150.0	777.0	315.0	1238.0	1155.0	2416.0	166.0	2068.0	686.0	902.0	557.0	525.0	1602.0	273.0	405.0	1094.0	1461.0	591.0	2301.0	1205.0	1015.0	402.0	629.0	1052.0	4644.0	216.0	91239.9	1143555.0	1565207.164871
sub-3_ses-8_T1w	939.0	1094.0	1012.0	1031.0	549.0	1713.0	1095.0	949.0	384.0	223.0	1381.0	818.0	292.0	525.0	3365.0	5072.0	504.0	500.0	1595.0	1043.0	1582.0	2202.0	993.0	1712.0	1876.0	2048.0	2030.0	1696.0	1620.0	1838.0	653.0	485.0	313.0	1364.0	494.0	859.0	2390.0	2301.0	116.0	180.0	738.0	1484.0	1297.0	1599.0	2187.0	898.0	429.0	993.0	1145.0	949.0	365.0	1259.0	1099.0	2251.0	199.0	1970.0	661.0	1097.0	497.0	519.0	1690.0	286.0	402.0	1094.0	1418.0	551.0	2314.0	1153.0	980.0	455.0	638.0	1176.0	4787.0	193.0	89612.0	1143933.0	1559403.122972
sub-3_ses-9_T1w	880.0	1202.0	1004.0	1052.0	547.0	1755.0	1070.0	936.0	359.0	215.0	1504.0	890.0	333.0	466.0	3274.0	5041.0	450.0	507.0	1714.0	1067.0	1503.0	2229.0	805.0	1736.0	1833.0	1996.0	1955.0	1663.0	1566.0	1826.0	720.0	427.0	258.0	1466.0	623.0	849.0	2345.0	2231.0	117.0	164.0	669.0	1549.0	1361.0	1570.0	2179.0	976.0	393.0	934.0	1080.0	829.0	345.0	1190.0	1066.0	2229.0	227.0	2027.0	598.0	1064.0	497.0	476.0	1623.0	309.0	396.0	1019.0	1449.0	552.0	2325.0	1153.0	940.0	403.0	660.0	1203.0	4745.0	209.0	88823.6	1154182.0	1564013.863215
sub-3_ses-10_T1w	946.0	1123.0	1002.0	1041.0	530.0	1759.0	1077.0	957.0	404.0	174.0	1350.0	869.0	238.0	520.0	3220.0	5050.0	450.0	447.0	1617.0	1041.0	1521.0	2130.0	802.0	1652.0	1786.0	2048.0	2092.0	1669.0	1603.0	1805.0	609.0	449.0	268.0	1429.0	494.0	812.0	2136.0	2224.0	153.0	174.0	729.0	1543.0	1343.0	1512.0	2174.0	863.0	434.0	978.0	1104.0	864.0	348.0	1215.0	1090.0	2225.0	202.0	2037.0	589.0	1017.0	526.0	598.0	1690.0	260.0	468.0	1018.0	1406.0	621.0	2217.0	1125.0	968.0	453.0	671.0	1242.0	4571.0	197.0	87968.6	1143125.0	1552142.127839
