lh.aparc.DKTatlas.area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	1134.0	2539.0	1880.0	401.0	3193.0	5093.0	3955.0	858.0	5262.0	2871.0	3114.0	1586.0	5074.0	810.0	1718.0	1307.0	631.0	1199.0	1203.0	5277.0	1065.0	5113.0	3397.0	1108.0	4107.0	8391.0	4646.0	5618.0	4004.0	418.0	1749.0	88720.5	1116879.0	1566783.593869
sub-3_ses-2_T1w	1126.0	2427.0	2094.0	428.0	3346.0	4886.0	3981.0	898.0	5348.0	2944.0	3092.0	1612.0	5081.0	755.0	1627.0	1246.0	664.0	1226.0	1285.0	4888.0	1004.0	4684.0	3545.0	1137.0	4166.0	8103.0	4287.0	5441.0	3834.0	404.0	1842.0	87401.5	1137783.0	1565688.685682
sub-3_ses-3_T1w	1234.0	2534.0	2046.0	483.0	3340.0	4946.0	4201.0	943.0	5326.0	3135.0	3162.0	1641.0	5129.0	758.0	1652.0	1258.0	671.0	1200.0	1367.0	4964.0	1136.0	4790.0	3649.0	1228.0	4035.0	8397.0	4369.0	5459.0	3825.0	417.0	1809.0	89103.6	1149373.0	1550058.179852
sub-3_ses-4_T1w	1261.0	2543.0	2093.0	423.0	3373.0	4866.0	4137.0	890.0	5357.0	3077.0	3113.0	1669.0	5137.0	745.0	1740.0	1227.0	671.0	1244.0	1271.0	5030.0	1003.0	4824.0	3594.0	1223.0	4136.0	8306.0	4379.0	5510.0	3797.0	418.0	1832.0	88887.9	1149541.0	1556418.483233
sub-3_ses-5_T1w	1250.0	2537.0	2013.0	456.0	3339.0	4834.0	4133.0	948.0	5393.0	2993.0	3162.0	1651.0	5180.0	778.0	1710.0	1267.0	660.0	1210.0	1308.0	5124.0	1116.0	4850.0	3596.0	1204.0	4102.0	8442.0	4409.0	5525.0	3724.0	408.0	1839.0	89159.7	1148913.0	1549572.411905
sub-3_ses-6_T1w	1252.0	2511.0	2074.0	454.0	3392.0	4961.0	4020.0	906.0	5320.0	2992.0	3117.0	1643.0	5098.0	824.0	1729.0	1261.0	689.0	1229.0	1294.0	5016.0	1042.0	4897.0	3691.0	1128.0	4175.0	8409.0	4462.0	5453.0	3769.0	427.0	1842.0	89079.3	1145720.0	1553271.016738
sub-3_ses-7_T1w	1311.0	2637.0	2056.0	493.0	3188.0	4942.0	3854.0	963.0	5385.0	3127.0	3295.0	1525.0	5071.0	819.0	1874.0	1295.0	729.0	1272.0	1231.0	5223.0	1108.0	5153.0	3834.0	1123.0	4267.0	8913.0	4756.0	5507.0	3931.0	444.0	1910.0	91239.9	1143555.0	1565207.164871
sub-3_ses-8_T1w	1230.0	2670.0	2073.0	499.0	3412.0	4918.0	4118.0	942.0	5206.0	3117.0	3151.0	1635.0	5283.0	824.0	1748.0	1280.0	644.0	1224.0	1318.0	5001.0	1048.0	4872.0	3628.0	1187.0	4175.0	8443.0	4434.0	5447.0	3804.0	415.0	1867.0	89612.0	1143933.0	1559403.122972
sub-3_ses-9_T1w	1234.0	2572.0	2164.0	373.0	3255.0	5012.0	4095.0	877.0	5313.0	2992.0	3160.0	1644.0	5137.0	716.0	1748.0	1244.0	669.0	1192.0	1346.0	4954.0	1025.0	4706.0	3713.0	1209.0	4104.0	8376.0	4406.0	5619.0	3809.0	380.0	1779.0	88823.6	1154182.0	1564013.863215
sub-3_ses-10_T1w	1243.0	2547.0	1988.0	400.0	3262.0	4778.0	3989.0	901.0	5212.0	2960.0	3089.0	1653.0	5104.0	762.0	1689.0	1259.0	649.0	1245.0	1262.0	4952.0	1103.0	4814.0	3621.0	1201.0	4080.0	8371.0	4470.0	5416.0	3783.0	395.0	1772.0	87968.6	1143125.0	1552142.127839
