lh.aparc.a2009s.volume	lh_G_and_S_frontomargin_volume	lh_G_and_S_occipital_inf_volume	lh_G_and_S_paracentral_volume	lh_G_and_S_subcentral_volume	lh_G_and_S_transv_frontopol_volume	lh_G_and_S_cingul-Ant_volume	lh_G_and_S_cingul-Mid-Ant_volume	lh_G_and_S_cingul-Mid-Post_volume	lh_G_cingul-Post-dorsal_volume	lh_G_cingul-Post-ventral_volume	lh_G_cuneus_volume	lh_G_front_inf-Opercular_volume	lh_G_front_inf-Orbital_volume	lh_G_front_inf-Triangul_volume	lh_G_front_middle_volume	lh_G_front_sup_volume	lh_G_Ins_lg_and_S_cent_ins_volume	lh_G_insular_short_volume	lh_G_occipital_middle_volume	lh_G_occipital_sup_volume	lh_G_oc-temp_lat-fusifor_volume	lh_G_oc-temp_med-Lingual_volume	lh_G_oc-temp_med-Parahip_volume	lh_G_orbital_volume	lh_G_pariet_inf-Angular_volume	lh_G_pariet_inf-Supramar_volume	lh_G_parietal_sup_volume	lh_G_postcentral_volume	lh_G_precentral_volume	lh_G_precuneus_volume	lh_G_rectus_volume	lh_G_subcallosal_volume	lh_G_temp_sup-G_T_transv_volume	lh_G_temp_sup-Lateral_volume	lh_G_temp_sup-Plan_polar_volume	lh_G_temp_sup-Plan_tempo_volume	lh_G_temporal_inf_volume	lh_G_temporal_middle_volume	lh_Lat_Fis-ant-Horizont_volume	lh_Lat_Fis-ant-Vertical_volume	lh_Lat_Fis-post_volume	lh_Pole_occipital_volume	lh_Pole_temporal_volume	lh_S_calcarine_volume	lh_S_central_volume	lh_S_cingul-Marginalis_volume	lh_S_circular_insula_ant_volume	lh_S_circular_insula_inf_volume	lh_S_circular_insula_sup_volume	lh_S_collat_transv_ant_volume	lh_S_collat_transv_post_volume	lh_S_front_inf_volume	lh_S_front_middle_volume	lh_S_front_sup_volume	lh_S_interm_prim-Jensen_volume	lh_S_intrapariet_and_P_trans_volume	lh_S_oc_middle_and_Lunatus_volume	lh_S_oc_sup_and_transversal_volume	lh_S_occipital_ant_volume	lh_S_oc-temp_lat_volume	lh_S_oc-temp_med_and_Lingual_volume	lh_S_orbital_lateral_volume	lh_S_orbital_med-olfact_volume	lh_S_orbital-H_Shaped_volume	lh_S_parieto_occipital_volume	lh_S_pericallosal_volume	lh_S_postcentral_volume	lh_S_precentral-inf-part_volume	lh_S_precentral-sup-part_volume	lh_S_suborbital_volume	lh_S_subparietal_volume	lh_S_temporal_inf_volume	lh_S_temporal_sup_volume	lh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	2502.0	3378.0	2839.0	3385.0	1767.0	4637.0	2974.0	2172.0	1360.0	679.0	2541.0	3234.0	1195.0	1957.0	10955.0	17678.0	1419.0	2274.0	3739.0	2678.0	5194.0	5490.0	3250.0	6082.0	5244.0	6199.0	6022.0	4326.0	6227.0	5513.0	2258.0	978.0	956.0	6714.0	2165.0	2383.0	8888.0	8598.0	193.0	322.0	1583.0	3387.0	4782.0	2725.0	3888.0	1633.0	1080.0	2040.0	2245.0	2119.0	794.0	2356.0	2138.0	5820.0	392.0	3918.0	1225.0	1709.0	947.0	1340.0	3341.0	588.0	1040.0	2493.0	2529.0	995.0	4522.0	2553.0	2237.0	848.0	1072.0	2315.0	11432.0	570.0	1116879.0	1566783.593869
sub-3_ses-2_T1w	2902.0	3610.0	2836.0	3282.0	1895.0	5269.0	2732.0	2258.0	1453.0	630.0	2620.0	3232.0	1348.0	1632.0	10969.0	17118.0	1537.0	2346.0	4775.0	2782.0	5669.0	5629.0	3372.0	6505.0	5830.0	6875.0	6410.0	4529.0	6587.0	5743.0	2434.0	874.0	960.0	6792.0	2239.0	2300.0	8853.0	9238.0	234.0	286.0	1519.0	3433.0	6070.0	2514.0	3875.0	1834.0	872.0	2202.0	2232.0	2422.0	765.0	2571.0	2143.0	4968.0	478.0	3721.0	1161.0	1872.0	810.0	1319.0	3636.0	451.0	934.0	2754.0	2886.0	1082.0	4434.0	2497.0	2017.0	826.0	1167.0	2624.0	10859.0	509.0	1137783.0	1565688.685682
sub-3_ses-3_T1w	2663.0	3422.0	3032.0	3446.0	1781.0	4646.0	2845.0	2689.0	1496.0	692.0	2550.0	3213.0	1092.0	1842.0	11441.0	16807.0	1427.0	2196.0	4981.0	2661.0	5964.0	5382.0	3410.0	6360.0	6095.0	6813.0	6328.0	4370.0	6576.0	5704.0	2296.0	1001.0	989.0	6644.0	2190.0	2294.0	10321.0	8650.0	325.0	328.0	1564.0	3062.0	5207.0	2629.0	3679.0	1898.0	865.0	2072.0	2444.0	2222.0	762.0	2235.0	1949.0	5324.0	385.0	3609.0	1149.0	1818.0	899.0	1250.0	3692.0	496.0	950.0	2912.0	2957.0	1212.0	4482.0	2554.0	2002.0	1045.0	1242.0	2915.0	11310.0	469.0	1149373.0	1550058.179852
sub-3_ses-4_T1w	2888.0	3738.0	3095.0	3433.0	1800.0	5070.0	2845.0	2216.0	1398.0	886.0	2594.0	3165.0	976.0	1840.0	11144.0	17278.0	1358.0	2149.0	4627.0	2834.0	5566.0	5410.0	3177.0	6680.0	5952.0	6841.0	6427.0	4497.0	6662.0	5495.0	2311.0	1192.0	1036.0	7099.0	2388.0	2458.0	9223.0	9147.0	268.0	320.0	1500.0	3421.0	5615.0	2684.0	3855.0	1846.0	951.0	2132.0	2516.0	2233.0	524.0	2285.0	2223.0	5304.0	458.0	3624.0	1255.0	1880.0	880.0	1196.0	3505.0	611.0	866.0	2683.0	2808.0	1166.0	4420.0	2631.0	2120.0	1036.0	1238.0	2818.0	11011.0	476.0	1149541.0	1556418.483233
sub-3_ses-5_T1w	2624.0	3477.0	3038.0	3448.0	1968.0	4588.0	2865.0	2652.0	1460.0	643.0	2420.0	3232.0	1170.0	1796.0	11036.0	17282.0	1442.0	2163.0	4706.0	2707.0	5856.0	5299.0	3474.0	6335.0	5832.0	6794.0	6485.0	4706.0	6637.0	5577.0	2154.0	873.0	992.0	6628.0	2128.0	2371.0	9171.0	8760.0	223.0	283.0	1521.0	3094.0	5207.0	2704.0	3813.0	1882.0	899.0	2121.0	2374.0	2282.0	729.0	2425.0	2179.0	5080.0	439.0	3710.0	1227.0	1849.0	759.0	1155.0	3623.0	589.0	993.0	2615.0	2691.0	1225.0	4220.0	2460.0	2103.0	974.0	1225.0	2642.0	10778.0	540.0	1148913.0	1549572.411905
sub-3_ses-6_T1w	2544.0	3288.0	2819.0	3284.0	1854.0	4742.0	2788.0	2558.0	1436.0	618.0	2412.0	3253.0	1221.0	1631.0	10834.0	16974.0	1415.0	2060.0	4684.0	2593.0	5475.0	5324.0	3484.0	6542.0	5993.0	6895.0	6308.0	4599.0	6784.0	5811.0	2400.0	1124.0	980.0	6506.0	1850.0	2412.0	8777.0	8819.0	231.0	334.0	1580.0	3042.0	5071.0	2640.0	3802.0	1836.0	890.0	2047.0	2539.0	2301.0	838.0	2311.0	2046.0	5119.0	464.0	3776.0	1186.0	1829.0	884.0	1108.0	3669.0	531.0	866.0	2800.0	2934.0	1070.0	4353.0	2489.0	2187.0	861.0	1237.0	2540.0	11331.0	456.0	1145720.0	1553271.016738
sub-3_ses-7_T1w	2632.0	4078.0	2511.0	3441.0	1882.0	4811.0	2819.0	2569.0	1353.0	705.0	2448.0	2812.0	1150.0	1670.0	10245.0	16406.0	1182.0	1912.0	3751.0	2412.0	5869.0	5137.0	3695.0	6393.0	5381.0	6497.0	5849.0	4368.0	6220.0	5198.0	2324.0	885.0	897.0	7086.0	1473.0	2147.0	8348.0	8298.0	267.0	362.0	1407.0	3340.0	5073.0	2337.0	3527.0	1777.0	782.0	2017.0	2359.0	2011.0	562.0	2417.0	2053.0	5579.0	347.0	3721.0	1222.0	1473.0	925.0	1340.0	3280.0	439.0	1008.0	2596.0	2725.0	1193.0	4121.0	2410.0	2141.0	839.0	1104.0	2048.0	10297.0	439.0	1143555.0	1565207.164871
sub-3_ses-8_T1w	2498.0	3274.0	2929.0	3411.0	1863.0	4386.0	2883.0	2287.0	1386.0	674.0	2404.0	3088.0	1179.0	1792.0	11120.0	17070.0	1441.0	2135.0	4775.0	2780.0	5837.0	5540.0	3692.0	6418.0	6060.0	6733.0	6297.0	4632.0	6642.0	5677.0	2380.0	1289.0	993.0	6362.0	1998.0	2359.0	9214.0	8724.0	220.0	308.0	1577.0	3084.0	5455.0	2495.0	3789.0	1842.0	915.0	2135.0	2474.0	2405.0	697.0	2549.0	2137.0	5489.0	394.0	3677.0	1150.0	1968.0	845.0	1043.0	3578.0	469.0	838.0	2773.0	2837.0	1181.0	4302.0	2485.0	2063.0	769.0	1160.0	2376.0	10948.0	442.0	1143933.0	1559403.122972
sub-3_ses-9_T1w	2405.0	3521.0	2855.0	3496.0	1995.0	4626.0	2960.0	2223.0	1451.0	691.0	2512.0	3263.0	1248.0	1538.0	10897.0	17524.0	1425.0	2147.0	4825.0	2672.0	5274.0	5133.0	3193.0	6445.0	5916.0	6423.0	6087.0	4567.0	6514.0	5433.0	2337.0	1041.0	866.0	6676.0	2402.0	2339.0	9206.0	9057.0	206.0	283.0	1421.0	3268.0	5802.0	2541.0	3621.0	2039.0	830.0	1930.0	2288.0	2167.0	702.0	2397.0	2077.0	5307.0	479.0	3846.0	1004.0	1936.0	863.0	1039.0	3533.0	567.0	959.0	2623.0	2854.0	1178.0	4457.0	2494.0	2072.0	674.0	1291.0	2435.0	11307.0	467.0	1154182.0	1564013.863215
sub-3_ses-10_T1w	2495.0	3535.0	3028.0	3458.0	1740.0	4771.0	3061.0	2490.0	1504.0	569.0	2471.0	3318.0	1084.0	1806.0	10896.0	17993.0	1507.0	2144.0	4869.0	2845.0	5763.0	5484.0	3262.0	6559.0	5962.0	6933.0	6587.0	4645.0	6837.0	5719.0	2142.0	1230.0	951.0	6711.0	2225.0	2330.0	9075.0	8876.0	323.0	319.0	1620.0	3466.0	5990.0	2556.0	3721.0	1776.0	930.0	2194.0	2461.0	2266.0	678.0	2377.0	2243.0	5536.0	446.0	3998.0	1012.0	1830.0	881.0	1319.0	3727.0	426.0	1026.0	2743.0	2946.0	1260.0	4232.0	2494.0	2182.0	826.0	1324.0	2588.0	10835.0	465.0	1143125.0	1552142.127839
