rh.aparc.a2009s.area	rh_G_and_S_frontomargin_area	rh_G_and_S_occipital_inf_area	rh_G_and_S_paracentral_area	rh_G_and_S_subcentral_area	rh_G_and_S_transv_frontopol_area	rh_G_and_S_cingul-Ant_area	rh_G_and_S_cingul-Mid-Ant_area	rh_G_and_S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg_and_S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet_and_P_trans_area	rh_S_oc_middle_and_Lunatus_area	rh_S_oc_sup_and_transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med_and_Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	720.0	808.0	853.0	1031.0	853.0	2332.0	1019.0	1026.0	274.0	209.0	1465.0	903.0	337.0	395.0	3036.0	4479.0	373.0	391.0	1366.0	1186.0	1480.0	2216.0	964.0	1883.0	2344.0	1889.0	1857.0	1315.0	1565.0	1594.0	635.0	381.0	269.0	1289.0	508.0	701.0	1748.0	2244.0	195.0	83.0	1018.0	2180.0	1290.0	1622.0	1695.0	927.0	402.0	783.0	681.0	760.0	294.0	1272.0	1569.0	1501.0	347.0	2514.0	409.0	983.0	406.0	687.0	1304.0	236.0	491.0	987.0	1573.0	873.0	2056.0	1198.0	784.0	209.0	693.0	901.0	4366.0	191.0	85411.8	1116879.0	1566783.593869
sub-3_ses-2_T1w	810.0	808.0	800.0	1157.0	1029.0	2342.0	982.0	986.0	298.0	200.0	1522.0	853.0	417.0	417.0	3130.0	4338.0	372.0	540.0	1453.0	1226.0	1272.0	2165.0	792.0	2207.0	2288.0	1704.0	1603.0	1166.0	1342.0	1502.0	686.0	388.0	225.0	1342.0	605.0	682.0	1921.0	1935.0	206.0	145.0	973.0	2371.0	1372.0	1610.0	1696.0	875.0	395.0	801.0	728.0	806.0	440.0	1381.0	1824.0	1612.0	427.0	2761.0	499.0	1012.0	411.0	591.0	1429.0	283.0	466.0	1010.0	1754.0	778.0	2103.0	1213.0	722.0	139.0	627.0	1163.0	4824.0	155.0	87106.4	1137783.0	1565688.685682
sub-3_ses-3_T1w	864.0	902.0	812.0	1055.0	1160.0	2593.0	1190.0	1170.0	359.0	193.0	1541.0	998.0	352.0	426.0	3392.0	5004.0	354.0	586.0	1511.0	1185.0	1575.0	2232.0	885.0	2191.0	1905.0	1412.0	889.0	1333.0	2036.0	1417.0	712.0	336.0	232.0	1370.0	631.0	636.0	2043.0	2158.0	234.0	93.0	833.0	2380.0	1379.0	1670.0	2183.0	838.0	431.0	811.0	734.0	871.0	245.0	1439.0	2069.0	2580.0	80.0	1609.0	481.0	1008.0	460.0	633.0	1400.0	324.0	529.0	1013.0	1749.0	976.0	1116.0	1396.0	972.0	221.0	618.0	1125.0	4494.0	166.0	88801.0	1149373.0	1550058.179852
sub-3_ses-4_T1w	828.0	823.0	892.0	1145.0	995.0	2510.0	1026.0	1088.0	369.0	203.0	1522.0	894.0	369.0	389.0	3200.0	4310.0	379.0	423.0	1512.0	1182.0	1392.0	2277.0	1114.0	2105.0	2296.0	1761.0	1690.0	1214.0	1421.0	1597.0	638.0	363.0	245.0	1392.0	614.0	715.0	2050.0	2114.0	227.0	131.0	918.0	2308.0	1385.0	1662.0	1598.0	844.0	449.0	777.0	784.0	879.0	426.0	1394.0	1809.0	1586.0	454.0	2685.0	507.0	1045.0	455.0	673.0	1445.0	268.0	538.0	1005.0	1737.0	884.0	2162.0	1268.0	706.0	277.0	542.0	1116.0	4952.0	161.0	89113.7	1149541.0	1556418.483233
sub-3_ses-5_T1w	840.0	895.0	979.0	1061.0	1066.0	2523.0	1022.0	1155.0	363.0	175.0	1589.0	943.0	360.0	409.0	3425.0	4711.0	367.0	466.0	1434.0	1193.0	1448.0	2194.0	1113.0	2109.0	2209.0	1299.0	977.0	1107.0	3169.0	1411.0	624.0	323.0	254.0	1374.0	682.0	673.0	2081.0	2102.0	219.0	114.0	809.0	2417.0	1420.0	1637.0	2139.0	933.0	420.0	827.0	801.0	953.0	318.0	1349.0	1780.0	1587.0	217.0	1710.0	508.0	997.0	455.0	636.0	1436.0	324.0	533.0	1038.0	1773.0	913.0	848.0	1659.0	1678.0	255.0	599.0	1161.0	4752.0	161.0	89501.6	1148913.0	1549572.411905
sub-3_ses-6_T1w	792.0	801.0	817.0	1141.0	1065.0	2466.0	1047.0	1105.0	351.0	226.0	1530.0	840.0	371.0	413.0	3204.0	4486.0	402.0	452.0	1467.0	1221.0	1341.0	2100.0	941.0	2084.0	2446.0	1670.0	1666.0	1229.0	1386.0	1424.0	729.0	389.0	231.0	1371.0	664.0	679.0	2002.0	2090.0	225.0	130.0	934.0	2420.0	1383.0	1588.0	1679.0	919.0	443.0	780.0	799.0	859.0	301.0	1412.0	1849.0	1601.0	400.0	2626.0	505.0	1043.0	403.0	635.0	1459.0	360.0	442.0	1005.0	1720.0	740.0	2085.0	1275.0	778.0	168.0	643.0	1083.0	4859.0	157.0	88349.2	1145720.0	1553271.016738
sub-3_ses-7_T1w	808.0	823.0	898.0	1118.0	1139.0	2627.0	1178.0	1115.0	344.0	203.0	1598.0	985.0	407.0	451.0	3726.0	5025.0	374.0	531.0	1659.0	1226.0	1595.0	2251.0	1018.0	2307.0	1966.0	1568.0	1153.0	1379.0	2191.0	1514.0	727.0	331.0	247.0	1353.0	572.0	633.0	2157.0	2211.0	223.0	119.0	877.0	2487.0	1460.0	1647.0	2196.0	864.0	473.0	814.0	807.0	847.0	312.0	1470.0	1891.0	2285.0	104.0	1628.0	480.0	1030.0	468.0	684.0	1377.0	266.0	501.0	1034.0	1736.0	822.0	1189.0	1501.0	1058.0	263.0	689.0	1208.0	4818.0	167.0	91201.7	1143555.0	1565207.164871
sub-3_ses-8_T1w	859.0	859.0	891.0	1064.0	1072.0	2496.0	1183.0	1134.0	347.0	182.0	1577.0	993.0	339.0	432.0	3747.0	5099.0	387.0	488.0	1444.0	1177.0	1455.0	2177.0	1078.0	2211.0	2042.0	1341.0	985.0	1196.0	2399.0	1400.0	647.0	320.0	193.0	1296.0	690.0	628.0	1990.0	2071.0	213.0	118.0	886.0	2327.0	1386.0	1594.0	2076.0	900.0	445.0	855.0	765.0	905.0	351.0	1332.0	1822.0	2251.0	178.0	1604.0	480.0	1031.0	458.0	658.0	1473.0	361.0	544.0	1041.0	1761.0	779.0	970.0	1414.0	1263.0	185.0	611.0	1091.0	4694.0	162.0	88875.6	1143933.0	1559403.122972
sub-3_ses-9_T1w	837.0	956.0	827.0	1065.0	1112.0	2702.0	1123.0	1091.0	352.0	188.0	1618.0	1026.0	377.0	431.0	3751.0	4937.0	373.0	547.0	1487.0	1233.0	1417.0	2256.0	933.0	2098.0	1717.0	1450.0	920.0	1317.0	2014.0	1467.0	733.0	371.0	225.0	1361.0	701.0	623.0	2024.0	2062.0	253.0	98.0	798.0	2422.0	1497.0	1671.0	2181.0	877.0	415.0	774.0	770.0	856.0	417.0	1494.0	1920.0	2379.0	164.0	1707.0	521.0	1034.0	448.0	679.0	1435.0	316.0	561.0	1002.0	1841.0	846.0	1116.0	1330.0	986.0	181.0	658.0	1133.0	4655.0	158.0	89315.6	1154182.0	1564013.863215
sub-3_ses-10_T1w	866.0	908.0	799.0	1053.0	1124.0	2473.0	1032.0	1090.0	351.0	196.0	1494.0	885.0	362.0	414.0	2987.0	4377.0	347.0	452.0	1422.0	1182.0	1194.0	2204.0	1042.0	2041.0	2440.0	1888.0	1702.0	1236.0	1368.0	1529.0	632.0	359.0	218.0	1337.0	593.0	696.0	2037.0	2069.0	199.0	125.0	951.0	2390.0	1394.0	1564.0	1645.0	878.0	410.0	800.0	780.0	875.0	337.0	1359.0	2103.0	1574.0	367.0	2604.0	510.0	984.0	457.0	599.0	1427.0	288.0	483.0	999.0	1711.0	941.0	2026.0	1215.0	702.0	261.0	600.0	1162.0	4578.0	147.0	87845.6	1143125.0	1552142.127839
