rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	1007.0	814.0	1956.0	1573.0	517.0	3249.0	5774.0	3189.0	850.0	4343.0	2682.0	3414.0	2219.0	3514.0	600.0	1654.0	1220.0	884.0	1114.0	1515.0	3886.0	1033.0	4437.0	3638.0	703.0	6129.0	6791.0	5804.0	3800.0	4043.0	328.0	507.0	344.0	1884.0	85411.8	1116879.0	1566783.593869
sub-3_ses-2_T1w	998.0	790.0	1957.0	1652.0	370.0	3178.0	6271.0	3623.0	771.0	4585.0	2877.0	3533.0	2257.0	3488.0	578.0	1603.0	1290.0	990.0	1228.0	1515.0	3665.0	891.0	4187.0	3667.0	722.0	6825.0	6704.0	5660.0	3667.0	4188.0	324.0	568.0	324.0	2162.0	87106.4	1137783.0	1565688.685682
sub-3_ses-3_T1w	994.0	919.0	2763.0	1730.0	482.0	3341.0	5222.0	3746.0	798.0	4663.0	2905.0	3514.0	2506.0	3688.0	594.0	1313.0	1285.0	1035.0	1334.0	1582.0	3719.0	1179.0	5543.0	3672.0	780.0	7240.0	8391.0	3861.0	3823.0	3005.0	337.0	534.0	313.0	1988.0	88801.0	1149373.0	1550058.179852
sub-3_ses-4_T1w	1052.0	838.0	1953.0	1647.0	473.0	3332.0	6373.0	3784.0	828.0	4637.0	2884.0	3603.0	2378.0	3666.0	636.0	1654.0	1328.0	1020.0	1172.0	1539.0	3791.0	969.0	4247.0	3662.0	752.0	6834.0	6857.0	5816.0	3868.0	4233.0	340.0	549.0	310.0	2090.0	89113.7	1149541.0	1556418.483233
sub-3_ses-5_T1w	1023.0	901.0	2562.0	1746.0	558.0	3404.0	5775.0	3758.0	775.0	4705.0	2700.0	3486.0	2330.0	3680.0	576.0	1793.0	1334.0	1040.0	1191.0	1602.0	3311.0	1039.0	7594.0	3687.0	752.0	6833.0	7096.0	3925.0	3927.0	2937.0	358.0	569.0	320.0	2216.0	89501.6	1148913.0	1549572.411905
sub-3_ses-6_T1w	1016.0	819.0	1936.0	1655.0	497.0	3225.0	6345.0	3703.0	802.0	4562.0	2687.0	3417.0	2408.0	3608.0	610.0	1611.0	1354.0	1006.0	1219.0	1533.0	3805.0	991.0	4332.0	3646.0	734.0	6944.0	7118.0	5664.0	3808.0	4070.0	320.0	574.0	310.0	2019.0	88349.2	1145720.0	1553271.016738
sub-3_ses-7_T1w	1018.0	821.0	2958.0	1707.0	520.0	3446.0	5583.0	3813.0	800.0	4873.0	3017.0	3603.0	2362.0	3875.0	609.0	1416.0	1333.0	1034.0	1362.0	1558.0	3877.0	997.0	5795.0	3811.0	765.0	7051.0	8575.0	4283.0	3801.0	3193.0	395.0	543.0	332.0	2075.0	91201.7	1143555.0	1565207.164871
sub-3_ses-8_T1w	993.0	792.0	2912.0	1724.0	560.0	3480.0	5438.0	3675.0	803.0	4611.0	2778.0	3463.0	2388.0	3640.0	626.0	1552.0	1367.0	1002.0	1269.0	1542.0	3518.0	931.0	5896.0	3697.0	762.0	6913.0	8407.0	3874.0	3716.0	3036.0	358.0	575.0	314.0	2261.0	88875.6	1143933.0	1559403.122972
sub-3_ses-9_T1w	955.0	844.0	2730.0	1768.0	472.0	3484.0	5214.0	3811.0	766.0	4766.0	2747.0	3569.0	2371.0	3700.0	586.0	1340.0	1251.0	1061.0	1354.0	1637.0	3798.0	987.0	5472.0	3825.0	785.0	7288.0	8476.0	3994.0	3819.0	3001.0	351.0	654.0	302.0	2138.0	89315.6	1154182.0	1564013.863215
sub-3_ses-10_T1w	966.0	837.0	2049.0	1619.0	541.0	3309.0	6250.0	3701.0	806.0	4644.0	2621.0	3504.0	2368.0	3541.0	576.0	1665.0	1286.0	957.0	1238.0	1477.0	3717.0	1146.0	4146.0	3644.0	718.0	6932.0	6778.0	5605.0	3761.0	4157.0	338.0	565.0	304.0	2081.0	87845.6	1143125.0	1552142.127839
sub-3_ses-11_T1w	953.0	795.0	2532.0	1690.0	452.0	3308.0	5257.0	3728.0	780.0	4720.0	3061.0	3469.0	2383.0	3635.0	580.0	1379.0	1223.0	1043.0	1421.0	1523.0	3657.0	964.0	5411.0	3714.0	799.0	7370.0	8507.0	3899.0	3684.0	2997.0	379.0	633.0	322.0	2005.0	88272.9	1143816.0	1556615.66054
sub-3_ses-12_T1w	1010.0	832.0	1993.0	1640.0	488.0	3343.0	6328.0	3744.0	774.0	4641.0	2728.0	3544.0	2440.0	3647.0	632.0	1602.0	1302.0	970.0	1240.0	1524.0	3737.0	1006.0	4217.0	3647.0	703.0	6862.0	6909.0	5750.0	3786.0	4162.0	330.0	586.0	313.0	2032.0	88463.5	1147335.0	1557155.262507
sub-3_ses-13_T1w	993.0	817.0	1988.0	1689.0	481.0	3438.0	6378.0	3928.0	809.0	4681.0	2632.0	3598.0	2378.0	3683.0	595.0	1681.0	1319.0	978.0	1265.0	1554.0	3702.0	916.0	4203.0	3743.0	773.0	6991.0	6919.0	5663.0	3797.0	4194.0	308.0	582.0	330.0	2281.0	89285.7	1155226.0	1552505.754145
sub-3_ses-14_T1w	1000.0	898.0	2010.0	1687.0	623.0	3429.0	6341.0	3951.0	869.0	4718.0	2713.0	3676.0	2389.0	3652.0	639.0	1572.0	1334.0	1001.0	1236.0	1634.0	3757.0	998.0	4242.0	3675.0	748.0	7050.0	7123.0	5683.0	3810.0	4140.0	316.0	493.0	324.0	2336.0	90070.2	1148386.0	1559657.916874
sub-3_ses-15_T1w	988.0	905.0	2533.0	1735.0	457.0	3359.0	5197.0	3796.0	763.0	4609.0	2918.0	3469.0	2363.0	3698.0	594.0	1359.0	1266.0	1037.0	1313.0	1555.0	3673.0	1156.0	5499.0	3668.0	811.0	7242.0	8533.0	3861.0	3728.0	2974.0	351.0	561.0	309.0	1996.0	88275.7	1145403.0	1557874.917975
sub-3_ses-16_T1w	994.0	844.0	2861.0	1691.0	552.0	3305.0	5234.0	3727.0	793.0	4687.0	2834.0	3476.0	2362.0	3622.0	580.0	1343.0	1303.0	1008.0	1240.0	1518.0	3758.0	950.0	5559.0	3663.0	775.0	7052.0	8471.0	3835.0	3702.0	2982.0	372.0	507.0	322.0	2008.0	87930.1	1146480.0	1557581.512763
sub-3_ses-17_T1w	987.0	821.0	2698.0	1765.0	510.0	3317.0	5162.0	3829.0	822.0	4762.0	2664.0	3601.0	2379.0	3776.0	607.0	1317.0	1311.0	1027.0	1336.0	1603.0	3713.0	986.0	5516.0	3691.0	781.0	7248.0	8725.0	4035.0	3724.0	3060.0	401.0	567.0	317.0	2257.0	89312.2	1150153.0	1566287.287992
sub-3_ses-18_T1w	1010.0	878.0	2688.0	1753.0	523.0	3396.0	5496.0	3812.0	756.0	4768.0	2788.0	3523.0	2504.0	3762.0	603.0	1316.0	1242.0	1071.0	1412.0	1630.0	3709.0	1079.0	5454.0	3792.0	828.0	7530.0	8465.0	3983.0	3727.0	2995.0	370.0	579.0	306.0	2226.0	89973.5	1150172.0	1559468.599437
sub-3_ses-19_T1w	1024.0	852.0	2456.0	1708.0	460.0	3384.0	5578.0	3724.0	829.0	4683.0	2915.0	3498.0	2412.0	3694.0	594.0	1670.0	1335.0	1063.0	1221.0	1550.0	3362.0	1086.0	6993.0	3754.0	719.0	6852.0	7377.0	3948.0	3789.0	2859.0	355.0	582.0	327.0	2056.0	88707.7	1137924.0	1561238.395628
sub-3_ses-20_T1w	996.0	811.0	1979.0	1616.0	537.0	3336.0	6266.0	3760.0	817.0	4541.0	2749.0	3463.0	2380.0	3556.0	619.0	1608.0	1262.0	949.0	1206.0	1561.0	3771.0	944.0	4128.0	3704.0	725.0	6895.0	6824.0	5597.0	3699.0	4170.0	298.0	507.0	330.0	2013.0	87617.0	1145430.0	1558023.593065
sub-3_ses-21_T1w	973.0	850.0	2010.0	1644.0	568.0	3413.0	6263.0	3769.0	782.0	4606.0	2663.0	3501.0	2414.0	3594.0	584.0	1768.0	1249.0	1037.0	1244.0	1587.0	3828.0	1014.0	4250.0	3740.0	766.0	6854.0	6949.0	5780.0	3844.0	4213.0	325.0	477.0	321.0	2192.0	89073.1	1150130.0	1555962.498274
sub-3_ses-22_T1w	1030.0	848.0	2462.0	1650.0	504.0	3335.0	5578.0	3732.0	782.0	4637.0	2836.0	3458.0	2322.0	3697.0	603.0	1552.0	1341.0	993.0	1204.0	1519.0	3358.0	1093.0	7292.0	3632.0	740.0	6543.0	7238.0	4021.0	3691.0	2903.0	351.0	590.0	322.0	2046.0	87902.0	1143960.0	1553961.373657
sub-3_ses-23_T1w	985.0	821.0	2876.0	1665.0	514.0	3326.0	5520.0	3789.0	765.0	4572.0	2881.0	3480.0	2394.0	3641.0	590.0	1467.0	1235.0	984.0	1182.0	1551.0	3497.0	943.0	5721.0	3700.0	726.0	6910.0	8220.0	3850.0	3708.0	2965.0	337.0	564.0	309.0	1995.0	87684.4	1145418.0	1548673.25921
sub-3_ses-24_T1w	975.0	818.0	1927.0	1656.0	510.0	3269.0	6211.0	3793.0	781.0	4507.0	3094.0	3443.0	2265.0	3643.0	581.0	1662.0	1268.0	986.0	1322.0	1539.0	3758.0	965.0	4088.0	3685.0	762.0	6876.0	6937.0	5592.0	3954.0	4076.0	323.0	633.0	311.0	2007.0	88217.1	1138196.0	1549056.699551
sub-3_ses-25_T1w	1002.0	824.0	2547.0	1649.0	534.0	3315.0	5547.0	3645.0	771.0	4463.0	2710.0	3343.0	2250.0	3623.0	591.0	1701.0	1354.0	970.0	1189.0	1431.0	3394.0	957.0	7357.0	3696.0	724.0	6533.0	7009.0	3925.0	3691.0	2914.0	336.0	551.0	321.0	2266.0	87132.5	1132580.0	1558454.777582
