rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	870.0	2083.0	1938.0	477.0	2940.0	5728.0	3538.0	845.0	4396.0	2979.0	3362.0	1634.0	4266.0	641.0	1701.0	1341.0	732.0	1076.0	1497.0	4307.0	1138.0	4256.0	3744.0	894.0	4273.0	9064.0	4868.0	4891.0	3891.0	342.0	1699.0	85411.8	1116879.0	1566783.593869
sub-3_ses-2_T1w	836.0	2082.0	2040.0	374.0	2797.0	6279.0	3878.0	764.0	4682.0	3224.0	3460.0	1703.0	4192.0	630.0	1617.0	1434.0	795.0	1301.0	1497.0	4114.0	1001.0	3995.0	3755.0	909.0	4730.0	9172.0	4695.0	5018.0	3999.0	310.0	1825.0	87106.4	1137783.0	1565688.685682
sub-3_ses-3_T1w	999.0	2926.0	2111.0	422.0	3013.0	5108.0	4124.0	791.0	4738.0	3240.0	3441.0	1850.0	4400.0	633.0	1397.0	1435.0	864.0	1331.0	1581.0	3967.0	1240.0	5388.0	3705.0	981.0	5084.0	10919.0	3048.0	4998.0	2944.0	317.0	1807.0	88801.0	1149373.0	1550058.179852
sub-3_ses-4_T1w	892.0	2093.0	2024.0	449.0	3013.0	6385.0	4092.0	807.0	4747.0	3242.0	3554.0	1769.0	4427.0	661.0	1647.0	1445.0	803.0	1223.0	1531.0	4234.0	1094.0	4069.0	3761.0	960.0	4779.0	9309.0	4884.0	5092.0	3954.0	314.0	1857.0	89113.7	1149541.0	1556418.483233
sub-3_ses-5_T1w	957.0	2629.0	2131.0	486.0	3055.0	5662.0	4124.0	770.0	4748.0	3255.0	3465.0	1745.0	4403.0	628.0	1849.0	1446.0	821.0	1306.0	1580.0	3524.0	1164.0	7253.0	3691.0	960.0	4807.0	9675.0	3157.0	5228.0	2880.0	316.0	1788.0	89501.6	1148913.0	1549572.411905
sub-3_ses-6_T1w	869.0	2043.0	2006.0	445.0	2928.0	6328.0	4013.0	779.0	4641.0	3049.0	3350.0	1754.0	4352.0	659.0	1656.0	1453.0	795.0	1301.0	1514.0	4219.0	1085.0	4165.0	3750.0	913.0	4923.0	9523.0	4718.0	5110.0	3864.0	302.0	1843.0	88349.2	1145720.0	1553271.016738
sub-3_ses-7_T1w	870.0	3117.0	2155.0	459.0	3105.0	5438.0	4186.0	779.0	4919.0	3308.0	3520.0	1778.0	4680.0	652.0	1511.0	1495.0	860.0	1365.0	1542.0	4102.0	1098.0	5636.0	3831.0	967.0	4923.0	11064.0	3414.0	5023.0	3138.0	338.0	1926.0	91201.7	1143555.0	1565207.164871
sub-3_ses-8_T1w	849.0	3075.0	2098.0	552.0	3125.0	5303.0	4041.0	790.0	4715.0	3334.0	3412.0	1773.0	4314.0	676.0	1672.0	1525.0	802.0	1286.0	1514.0	3738.0	1017.0	5713.0	3689.0	974.0	4860.0	10751.0	3132.0	4912.0	3034.0	318.0	1880.0	88875.6	1143933.0	1559403.122972
sub-3_ses-9_T1w	904.0	2890.0	2177.0	431.0	3144.0	5083.0	4187.0	756.0	4860.0	3193.0	3499.0	1750.0	4418.0	637.0	1423.0	1479.0	822.0	1368.0	1614.0	4046.0	1054.0	5241.0	3849.0	976.0	5100.0	11058.0	3139.0	5118.0	2957.0	309.0	1837.0	89315.6	1154182.0	1564013.863215
sub-3_ses-10_T1w	892.0	2091.0	2025.0	449.0	2947.0	6202.0	4083.0	796.0	4738.0	3077.0	3440.0	1757.0	4219.0	617.0	1694.0	1450.0	762.0	1229.0	1450.0	4175.0	1238.0	3951.0	3701.0	934.0	4893.0	9284.0	4685.0	5038.0	3939.0	303.0	1787.0	87845.6	1143125.0	1552142.127839
sub-3_ses-11_T1w	844.0	2658.0	2073.0	433.0	2967.0	5127.0	4084.0	761.0	4793.0	3391.0	3411.0	1776.0	4353.0	630.0	1451.0	1397.0	833.0	1400.0	1488.0	3909.0	1059.0	5250.0	3718.0	1012.0	5173.0	11140.0	3135.0	4982.0	2929.0	314.0	1781.0	88272.9	1143816.0	1556615.66054
sub-3_ses-12_T1w	878.0	2091.0	2022.0	439.0	3022.0	6301.0	4085.0	769.0	4721.0	3147.0	3432.0	1722.0	4411.0	673.0	1609.0	1426.0	771.0	1307.0	1540.0	4175.0	1119.0	4033.0	3735.0	902.0	4825.0	9365.0	4785.0	5032.0	3978.0	310.0	1839.0	88463.5	1147335.0	1557155.262507
