rh.aparc.a2009s.volume	rh_G_and_S_frontomargin_volume	rh_G_and_S_occipital_inf_volume	rh_G_and_S_paracentral_volume	rh_G_and_S_subcentral_volume	rh_G_and_S_transv_frontopol_volume	rh_G_and_S_cingul-Ant_volume	rh_G_and_S_cingul-Mid-Ant_volume	rh_G_and_S_cingul-Mid-Post_volume	rh_G_cingul-Post-dorsal_volume	rh_G_cingul-Post-ventral_volume	rh_G_cuneus_volume	rh_G_front_inf-Opercular_volume	rh_G_front_inf-Orbital_volume	rh_G_front_inf-Triangul_volume	rh_G_front_middle_volume	rh_G_front_sup_volume	rh_G_Ins_lg_and_S_cent_ins_volume	rh_G_insular_short_volume	rh_G_occipital_middle_volume	rh_G_occipital_sup_volume	rh_G_oc-temp_lat-fusifor_volume	rh_G_oc-temp_med-Lingual_volume	rh_G_oc-temp_med-Parahip_volume	rh_G_orbital_volume	rh_G_pariet_inf-Angular_volume	rh_G_pariet_inf-Supramar_volume	rh_G_parietal_sup_volume	rh_G_postcentral_volume	rh_G_precentral_volume	rh_G_precuneus_volume	rh_G_rectus_volume	rh_G_subcallosal_volume	rh_G_temp_sup-G_T_transv_volume	rh_G_temp_sup-Lateral_volume	rh_G_temp_sup-Plan_polar_volume	rh_G_temp_sup-Plan_tempo_volume	rh_G_temporal_inf_volume	rh_G_temporal_middle_volume	rh_Lat_Fis-ant-Horizont_volume	rh_Lat_Fis-ant-Vertical_volume	rh_Lat_Fis-post_volume	rh_Pole_occipital_volume	rh_Pole_temporal_volume	rh_S_calcarine_volume	rh_S_central_volume	rh_S_cingul-Marginalis_volume	rh_S_circular_insula_ant_volume	rh_S_circular_insula_inf_volume	rh_S_circular_insula_sup_volume	rh_S_collat_transv_ant_volume	rh_S_collat_transv_post_volume	rh_S_front_inf_volume	rh_S_front_middle_volume	rh_S_front_sup_volume	rh_S_interm_prim-Jensen_volume	rh_S_intrapariet_and_P_trans_volume	rh_S_oc_middle_and_Lunatus_volume	rh_S_oc_sup_and_transversal_volume	rh_S_occipital_ant_volume	rh_S_oc-temp_lat_volume	rh_S_oc-temp_med_and_Lingual_volume	rh_S_orbital_lateral_volume	rh_S_orbital_med-olfact_volume	rh_S_orbital-H_Shaped_volume	rh_S_parieto_occipital_volume	rh_S_pericallosal_volume	rh_S_postcentral_volume	rh_S_precentral-inf-part_volume	rh_S_precentral-sup-part_volume	rh_S_suborbital_volume	rh_S_subparietal_volume	rh_S_temporal_inf_volume	rh_S_temporal_sup_volume	rh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	1836.0	2547.0	2384.0	3385.0	2926.0	6555.0	3109.0	2428.0	994.0	739.0	2943.0	3025.0	1847.0	1428.0	11613.0	16611.0	1325.0	2083.0	4243.0	3013.0	5782.0	4545.0	4432.0	6331.0	8129.0	6340.0	5214.0	3155.0	4966.0	4100.0	1922.0	970.0	736.0	4806.0	1896.0	1768.0	7115.0	7598.0	360.0	175.0	2080.0	4306.0	5201.0	2784.0	2748.0	1885.0	852.0	1765.0	1572.0	1771.0	550.0	2701.0	3206.0	3339.0	695.0	5249.0	758.0	1820.0	1075.0	1492.0	2802.0	501.0	1039.0	2359.0	2925.0	1264.0	3724.0	2825.0	1563.0	557.0	1466.0	1833.0	9732.0	429.0	1116879.0	1566783.593869
sub-3_ses-2_T1w	2174.0	2527.0	2570.0	4016.0	3265.0	6270.0	3013.0	2342.0	1209.0	720.0	2873.0	2853.0	1831.0	1368.0	10648.0	15673.0	1246.0	2226.0	4889.0	2815.0	5589.0	4748.0	4138.0	7268.0	8786.0	5816.0	5359.0	3229.0	5459.0	4447.0	2273.0	963.0	764.0	5774.0	2107.0	1818.0	8434.0	7958.0	389.0	340.0	2017.0	4803.0	6087.0	2534.0	2712.0	1968.0	810.0	1777.0	1627.0	1967.0	903.0	2903.0	3652.0	3393.0	905.0	6006.0	921.0	1957.0	935.0	1360.0	3304.0	469.0	941.0	2724.0	3533.0	1110.0	4025.0	2573.0	1370.0	317.0	1626.0	2383.0	11303.0	390.0	1137783.0	1565688.685682
sub-3_ses-3_T1w	2234.0	2726.0	2353.0	3532.0	3631.0	7114.0	3507.0	2884.0	1377.0	669.0	2851.0	3394.0	1661.0	1403.0	10976.0	18147.0	1310.0	2322.0	4997.0	2794.0	6141.0	4660.0	3993.0	7326.0	7191.0	4685.0	2604.0	4393.0	5132.0	4123.0	1964.0	864.0	762.0	5659.0	2471.0	1879.0	8646.0	8352.0	428.0	201.0	1779.0	4622.0	6003.0	2704.0	3766.0	1746.0	898.0	1720.0	1622.0	2140.0	409.0	2843.0	4413.0	6398.0	186.0	3485.0	848.0	1974.0	1044.0	1487.0	3031.0	542.0	1102.0	2857.0	3530.0	1355.0	2444.0	3441.0	1342.0	544.0	1493.0	2181.0	10198.0	412.0	1149373.0	1550058.179852
sub-3_ses-4_T1w	2194.0	2572.0	2630.0	3864.0	3253.0	6940.0	3089.0	2649.0	1406.0	763.0	3000.0	2957.0	1780.0	1284.0	10856.0	15415.0	1356.0	1885.0	4958.0	2806.0	5400.0	4697.0	4586.0	7211.0	8507.0	5981.0	5479.0	3170.0	5512.0	4410.0	2011.0	911.0	838.0	5649.0	2302.0	1857.0	8592.0	8227.0	445.0	270.0	1931.0	4486.0	6510.0	2885.0	2531.0	1882.0	923.0	1621.0	1722.0	2156.0	866.0	2803.0	3552.0	3376.0	965.0	5577.0	862.0	2061.0	1019.0	1512.0	3229.0	437.0	1049.0	2850.0	3516.0	1208.0	4008.0	2781.0	1419.0	703.0	1331.0	2175.0	11224.0	383.0	1149541.0	1556418.483233
sub-3_ses-5_T1w	2209.0	2702.0	2747.0	3461.0	3429.0	6819.0	2992.0	2833.0	1380.0	670.0	2916.0	3235.0	1696.0	1287.0	11659.0	16830.0	1343.0	2095.0	4727.0	2674.0	5518.0	4615.0	4966.0	7363.0	8273.0	4379.0	2905.0	3578.0	7589.0	4126.0	2019.0	823.0	801.0	5690.0	2677.0	1867.0	8212.0	7993.0	405.0	229.0	1639.0	4476.0	5811.0	2665.0	3746.0	1928.0	853.0	1761.0	1822.0	2572.0	553.0	2603.0	3540.0	3401.0	495.0	3506.0	871.0	1985.0	994.0	1443.0	3054.0	527.0	1047.0	2674.0	3489.0	1312.0	2024.0	3927.0	4568.0	692.0	1438.0	2320.0	10741.0	380.0	1148913.0	1549572.411905
sub-3_ses-6_T1w	2225.0	2407.0	2162.0	3872.0	3491.0	6735.0	3015.0	2599.0	1327.0	799.0	2721.0	2881.0	1575.0	1305.0	10866.0	15842.0	1408.0	1999.0	4782.0	2792.0	5085.0	4660.0	4413.0	6954.0	9215.0	5654.0	5405.0	3298.0	5336.0	4072.0	2227.0	956.0	724.0	5603.0	2355.0	1741.0	8581.0	7924.0	414.0	289.0	1939.0	4633.0	6120.0	2591.0	2594.0	1974.0	890.0	1592.0	1740.0	2229.0	536.0	2799.0	3614.0	3385.0	851.0	5658.0	866.0	1988.0	925.0	1483.0	3199.0	604.0	889.0	2753.0	3555.0	1043.0	3717.0	2853.0	1515.0	433.0	1496.0	2052.0	11118.0	336.0	1145720.0	1553271.016738
sub-3_ses-7_T1w	1869.0	2568.0	2112.0	3053.0	3898.0	7403.0	3059.0	2446.0	1275.0	715.0	3020.0	3174.0	1786.0	1286.0	12237.0	16317.0	1123.0	1924.0	4748.0	2447.0	5449.0	4658.0	4615.0	7288.0	6098.0	4746.0	2757.0	4141.0	5196.0	3508.0	2144.0	804.0	706.0	4721.0	2139.0	1686.0	7318.0	7483.0	417.0	245.0	1691.0	4305.0	5838.0	2661.0	3773.0	1719.0	932.0	1592.0	1726.0	1993.0	527.0	2808.0	4046.0	4880.0	218.0	3230.0	755.0	1766.0	1053.0	1770.0	2856.0	473.0	1160.0	2657.0	3051.0	1129.0	2423.0	3612.0	1491.0	737.0	1561.0	2260.0	10469.0	388.0	1143555.0	1565207.164871
sub-3_ses-8_T1w	2257.0	2485.0	2511.0	3571.0	3378.0	6474.0	3465.0	2607.0	1371.0	676.0	2973.0	3222.0	1540.0	1344.0	12460.0	18037.0	1277.0	2037.0	4738.0	2728.0	5552.0	4703.0	5039.0	7098.0	7808.0	4298.0	2886.0	3947.0	6210.0	4024.0	2088.0	807.0	641.0	5279.0	2405.0	1710.0	8159.0	8052.0	422.0	253.0	1787.0	4657.0	6229.0	2664.0	3515.0	1833.0	931.0	1755.0	1642.0	2273.0	619.0	2628.0	3478.0	5291.0	411.0	3256.0	806.0	1988.0	987.0	1520.0	3198.0	597.0	1062.0	2757.0	3607.0	1156.0	2132.0	3179.0	2242.0	391.0	1432.0	2170.0	10551.0	351.0	1143933.0	1559403.122972
sub-3_ses-9_T1w	2385.0	2950.0	2316.0	3464.0	3380.0	7529.0	3200.0	2497.0	1284.0	691.0	2952.0	3446.0	1670.0	1355.0	12297.0	17868.0	1337.0	2179.0	4712.0	2780.0	5124.0	4359.0	3836.0	7143.0	6298.0	4849.0	2585.0	4370.0	5319.0	3884.0	2261.0	986.0	809.0	5548.0	2537.0	1839.0	8583.0	7846.0	467.0	207.0	1625.0	4212.0	6587.0	2606.0	3892.0	1847.0	811.0	1591.0	1685.0	2133.0	861.0	2928.0	4017.0	5536.0	376.0	3833.0	956.0	1964.0	969.0	1588.0	3048.0	551.0	1234.0	2698.0	3595.0	1149.0	2527.0	3327.0	1364.0	515.0	1459.0	2257.0	10787.0	379.0	1154182.0	1564013.863215
sub-3_ses-10_T1w	2382.0	2609.0	2539.0	3553.0	3580.0	6823.0	3071.0	2853.0	1379.0	727.0	3087.0	2991.0	1676.0	1361.0	10057.0	15948.0	1350.0	2159.0	4772.0	2800.0	4950.0	4939.0	4964.0	7321.0	9338.0	6547.0	5546.0	3375.0	5846.0	4367.0	2191.0	937.0	770.0	5466.0	2236.0	1816.0	8469.0	7758.0	344.0	258.0	1999.0	5181.0	6376.0	2657.0	2638.0	1956.0	841.0	1744.0	1766.0	2193.0	641.0	2711.0	4425.0	3330.0	736.0	5477.0	859.0	1965.0	1004.0	1308.0	3142.0	458.0	994.0	2663.0	3475.0	1252.0	3851.0	2641.0	1387.0	633.0	1498.0	2304.0	10295.0	338.0	1143125.0	1552142.127839
