lh.aparc.a2009s.area	lh_G_and_S_frontomargin_area	lh_G_and_S_occipital_inf_area	lh_G_and_S_paracentral_area	lh_G_and_S_subcentral_area	lh_G_and_S_transv_frontopol_area	lh_G_and_S_cingul-Ant_area	lh_G_and_S_cingul-Mid-Ant_area	lh_G_and_S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg_and_S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet_and_P_trans_area	lh_S_oc_middle_and_Lunatus_area	lh_S_oc_sup_and_transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med_and_Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w.long.sub-3_base	1054.0	1253.0	1034.0	1063.0	621.0	1917.0	1027.0	1014.0	409.0	199.0	1498.0	850.0	275.0	503.0	3229.0	5007.0	518.0	536.0	1914.0	1170.0	1396.0	2057.0	922.0	1731.0	2122.0	2198.0	2395.0	1967.0	1865.0	1759.0	607.0	559.0	320.0	1377.0	570.0	854.0	2459.0	2235.0	126.0	172.0	730.0	1516.0	1355.0	1796.0	2393.0	949.0	429.0	1039.0	1108.0	926.0	387.0	1298.0	1119.0	2309.0	256.0	2101.0	690.0	1142.0	487.0	526.0	1824.0	337.0	487.0	1135.0	1523.0	571.0	2369.0	1216.0	1051.0	443.0	654.0	1395.0	4901.0	231.0	93473.8	1132380.0	1555417.948757
sub-3_ses-2_T1w.long.sub-3_base	1031.0	1296.0	936.0	1012.0	595.0	1877.0	1042.0	985.0	382.0	198.0	1357.0	771.0	272.0	497.0	3153.0	4877.0	503.0	499.0	1684.0	1051.0	1411.0	2117.0	878.0	1629.0	1804.0	1986.0	2010.0	1527.0	1488.0	1822.0	571.0	541.0	295.0	1276.0	550.0	847.0	2456.0	2120.0	129.0	171.0	742.0	1509.0	1269.0	1683.0	2311.0	914.0	438.0	1034.0	1128.0	903.0	414.0	1331.0	1084.0	2244.0	269.0	2031.0	667.0	1064.0	510.0	543.0	1812.0	353.0	514.0	1154.0	1490.0	579.0	2343.0	1210.0	992.0	410.0	645.0	1385.0	4889.0	223.0	89735.4	1139081.0	1555417.948757
sub-3_ses-3_T1w.long.sub-3_base	1031.0	1262.0	961.0	1037.0	588.0	1925.0	1075.0	1007.0	385.0	197.0	1368.0	779.0	275.0	521.0	3159.0	4855.0	523.0	483.0	1693.0	1065.0	1360.0	2036.0	857.0	1782.0	1861.0	2030.0	2079.0	1672.0	1648.0	1808.0	651.0	537.0	292.0	1351.0	553.0	856.0	2390.0	2228.0	124.0	176.0	737.0	1582.0	1333.0	1690.0	2292.0	938.0	426.0	1015.0	1124.0	906.0	409.0	1302.0	1086.0	2226.0	258.0	2022.0	679.0	1085.0	510.0	561.0	1827.0	343.0	487.0	1132.0	1505.0	570.0	2311.0	1190.0	1006.0	423.0	655.0	1389.0	4816.0	219.0	90533.1	1144594.0	1555417.948757
sub-3_ses-4_T1w.long.sub-3_base	1050.0	1309.0	998.0	1021.0	621.0	1945.0	1079.0	1001.0	375.0	202.0	1405.0	802.0	304.0	499.0	3272.0	5028.0	566.0	524.0	1686.0	1065.0	1430.0	2110.0	861.0	1722.0	1868.0	2024.0	2068.0	1715.0	1634.0	1871.0	622.0	535.0	309.0	1300.0	555.0	845.0	2546.0	2235.0	132.0	178.0	744.0	1542.0	1283.0	1712.0	2334.0	937.0	430.0	1003.0	1136.0	926.0	401.0	1315.0	1102.0	2242.0	263.0	2042.0	676.0	1092.0	508.0	544.0	1839.0	355.0	494.0	1157.0	1495.0	577.0	2323.0	1197.0	1018.0	421.0	653.0	1388.0	4858.0	221.0	91539.6	1146359.0	1555417.948757
sub-3_ses-5_T1w.long.sub-3_base	1049.0	1299.0	953.0	1055.0	601.0	1945.0	1071.0	1016.0	371.0	201.0	1346.0	811.0	301.0	521.0	3315.0	4970.0	509.0	569.0	1675.0	1026.0	1418.0	2074.0	853.0	1712.0	1836.0	2038.0	2052.0	1612.0	1617.0	1808.0	619.0	540.0	293.0	1355.0	549.0	848.0	2464.0	2214.0	125.0	170.0	729.0	1510.0	1336.0	1725.0	2352.0	946.0	433.0	998.0	1120.0	918.0	407.0	1306.0	1105.0	2264.0	256.0	2034.0	681.0	1093.0	515.0	561.0	1825.0	340.0	493.0	1154.0	1494.0	596.0	2337.0	1184.0	1010.0	430.0	656.0	1398.0	4831.0	224.0	91063.7	1148343.0	1555417.948757
sub-3_ses-6_T1w.long.sub-3_base	1055.0	1259.0	981.0	1016.0	598.0	1926.0	1078.0	1021.0	387.0	193.0	1367.0	795.0	300.0	531.0	3226.0	4975.0	515.0	517.0	1695.0	1069.0	1433.0	2025.0	902.0	1737.0	1834.0	2046.0	2097.0	1678.0	1580.0	1813.0	606.0	563.0	295.0	1324.0	540.0	848.0	2378.0	2222.0	125.0	175.0	739.0	1533.0	1313.0	1710.0	2366.0	946.0	440.0	1010.0	1150.0	924.0	403.0	1293.0	1117.0	2267.0	255.0	2014.0	682.0	1094.0	508.0	547.0	1810.0	365.0	500.0	1126.0	1502.0	576.0	2332.0	1196.0	1009.0	416.0	656.0	1402.0	4836.0	224.0	90985.5	1136717.0	1555417.948757
sub-3_ses-7_T1w.long.sub-3_base	1123.0	1325.0	1137.0	1117.0	637.0	1910.0	1060.0	1017.0	404.0	217.0	1438.0	835.0	330.0	569.0	3425.0	5454.0	479.0	578.0	1755.0	1144.0	1319.0	2210.0	920.0	1905.0	2078.0	2187.0	2404.0	1866.0	1895.0	2042.0	646.0	509.0	344.0	1418.0	584.0	878.0	2348.0	2389.0	141.0	192.0	758.0	1653.0	1335.0	1735.0	2380.0	952.0	434.0	1003.0	1134.0	917.0	410.0	1319.0	1098.0	2274.0	254.0	2073.0	690.0	1126.0	517.0	554.0	1903.0	359.0	495.0	1189.0	1548.0	585.0	2341.0	1195.0	1006.0	415.0	666.0	1383.0	4892.0	228.0	95045.4	1128608.0	1555417.948757
sub-3_ses-8_T1w.long.sub-3_base	1093.0	1282.0	978.0	1059.0	620.0	1973.0	1083.0	1022.0	387.0	202.0	1447.0	820.0	288.0	529.0	3276.0	5100.0	502.0	558.0	1742.0	1061.0	1439.0	2168.0	888.0	1802.0	1854.0	2070.0	2071.0	1648.0	1557.0	1868.0	604.0	546.0	305.0	1349.0	555.0	861.0	2498.0	2266.0	132.0	173.0	728.0	1547.0	1358.0	1727.0	2320.0	942.0	424.0	996.0	1129.0	945.0	397.0	1327.0	1118.0	2242.0	263.0	2023.0	631.0	1084.0	507.0	565.0	1824.0	353.0	481.0	1175.0	1512.0	603.0	2313.0	1191.0	1035.0	432.0	659.0	1408.0	4848.0	221.0	92002.4	1146081.0	1555417.948757
sub-3_ses-9_T1w.long.sub-3_base	1026.0	1299.0	988.0	1026.0	596.0	1927.0	1062.0	1031.0	366.0	207.0	1443.0	807.0	307.0	500.0	3266.0	4923.0	511.0	524.0	1698.0	1044.0	1440.0	2148.0	856.0	1668.0	1841.0	2039.0	2042.0	1668.0	1624.0	1877.0	594.0	545.0	321.0	1322.0	563.0	838.0	2442.0	2177.0	120.0	173.0	721.0	1564.0	1276.0	1700.0	2305.0	932.0	421.0	1015.0	1087.0	906.0	397.0	1306.0	1106.0	2263.0	259.0	2024.0	668.0	1070.0	502.0	540.0	1827.0	330.0	482.0	1119.0	1483.0	569.0	2317.0	1180.0	1004.0	424.0	656.0	1366.0	4783.0	215.0	90664.8	1153562.0	1555417.948757
sub-3_ses-10_T1w.long.sub-3_base	1053.0	1274.0	966.0	1028.0	611.0	1943.0	1067.0	1029.0	387.0	203.0	1387.0	807.0	301.0	517.0	3262.0	4955.0	520.0	508.0	1702.0	1045.0	1419.0	2097.0	860.0	1688.0	1856.0	2052.0	2043.0	1596.0	1548.0	1817.0	623.0	537.0	288.0	1303.0	536.0	851.0	2433.0	2212.0	129.0	172.0	718.0	1564.0	1348.0	1690.0	2306.0	943.0	436.0	1001.0	1116.0	915.0	399.0	1299.0	1109.0	2258.0	257.0	2023.0	662.0	1100.0	509.0	542.0	1820.0	340.0	495.0	1163.0	1510.0	590.0	2321.0	1197.0	1030.0	433.0	661.0	1385.0	4824.0	213.0	90798.3	1146189.0	1555417.948757
