lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w.long.sub-3_base	1164.0	603.0	2402.0	1737.0	487.0	3696.0	5581.0	4275.0	954.0	5617.0	2769.0	3000.0	2062.0	3946.0	738.0	1533.0	1357.0	733.0	1039.0	1520.0	4841.0	872.0	5361.0	3701.0	973.0	6013.0	8094.0	5976.0	4372.0	4522.0	249.0	469.0	430.0	2387.0	93473.8	1132380.0	1555417.948757
sub-3_ses-2_T1w.long.sub-3_base	1190.0	627.0	2420.0	1587.0	449.0	3653.0	5115.0	4226.0	909.0	5529.0	2757.0	3053.0	1957.0	3828.0	727.0	1435.0	1304.0	703.0	1067.0	1367.0	4279.0	859.0	4812.0	3739.0	992.0	5841.0	7934.0	5404.0	4189.0	4291.0	245.0	496.0	402.0	2349.0	89735.4	1139081.0	1555417.948757
sub-3_ses-3_T1w.long.sub-3_base	1173.0	630.0	2411.0	1590.0	458.0	3637.0	5124.0	4223.0	906.0	5635.0	2875.0	2966.0	2042.0	3907.0	705.0	1474.0	1298.0	718.0	1069.0	1370.0	4486.0	878.0	4941.0	3759.0	1004.0	5772.0	7970.0	5474.0	4318.0	4297.0	244.0	478.0	382.0	2320.0	90533.1	1144594.0	1555417.948757
sub-3_ses-4_T1w.long.sub-3_base	1174.0	633.0	2420.0	1639.0	484.0	3751.0	5179.0	4314.0	899.0	5588.0	2832.0	3062.0	2044.0	3943.0	720.0	1492.0	1329.0	733.0	1075.0	1376.0	4526.0	869.0	4987.0	3810.0	1027.0	5979.0	8146.0	5477.0	4232.0	4312.0	245.0	446.0	406.0	2393.0	91539.6	1146359.0	1555417.948757
sub-3_ses-5_T1w.long.sub-3_base	1173.0	645.0	2470.0	1587.0	468.0	3702.0	5143.0	4312.0	905.0	5524.0	2782.0	3032.0	2027.0	3904.0	707.0	1467.0	1324.0	735.0	1086.0	1367.0	4423.0	874.0	4990.0	3748.0	1016.0	5981.0	8112.0	5457.0	4307.0	4305.0	250.0	461.0	395.0	2385.0	91063.7	1148343.0	1555417.948757
sub-3_ses-6_T1w.long.sub-3_base	1177.0	637.0	2384.0	1598.0	512.0	3734.0	5128.0	4186.0	902.0	5553.0	2802.0	2961.0	2018.0	3904.0	708.0	1504.0	1320.0	759.0	1105.0	1383.0	4499.0	891.0	4963.0	3766.0	989.0	5949.0	8116.0	5499.0	4256.0	4319.0	254.0	461.0	404.0	2342.0	90985.5	1136717.0	1555417.948757
sub-3_ses-7_T1w.long.sub-3_base	1179.0	636.0	2437.0	1636.0	515.0	3577.0	5409.0	4214.0	932.0	5823.0	3022.0	3164.0	2008.0	4060.0	752.0	1675.0	1342.0	758.0	1185.0	1433.0	4808.0	909.0	5357.0	4023.0	939.0	6183.0	8567.0	5977.0	4455.0	4497.0	276.0	493.0	446.0	2360.0	95045.4	1128608.0	1555417.948757
sub-3_ses-8_T1w.long.sub-3_base	1179.0	634.0	2473.0	1668.0	490.0	3753.0	5138.0	4343.0	923.0	5580.0	2884.0	3097.0	2033.0	3976.0	725.0	1496.0	1336.0	732.0	1097.0	1420.0	4469.0	895.0	4938.0	3830.0	1048.0	6031.0	8206.0	5468.0	4303.0	4347.0	254.0	474.0	413.0	2348.0	92002.4	1146081.0	1555417.948757
sub-3_ses-9_T1w.long.sub-3_base	1168.0	625.0	2455.0	1657.0	451.0	3674.0	5072.0	4189.0	895.0	5630.0	2705.0	3073.0	2005.0	3867.0	721.0	1500.0	1308.0	725.0	1065.0	1390.0	4458.0	884.0	4940.0	3815.0	1005.0	5914.0	8038.0	5401.0	4263.0	4312.0	249.0	483.0	415.0	2313.0	90664.8	1153562.0	1555417.948757
sub-3_ses-10_T1w.long.sub-3_base	1178.0	633.0	2444.0	1622.0	463.0	3669.0	5126.0	4257.0	912.0	5583.0	2776.0	3027.0	2057.0	3898.0	705.0	1487.0	1321.0	722.0	1089.0	1366.0	4391.0	898.0	4903.0	3774.0	1018.0	5964.0	8058.0	5430.0	4253.0	4327.0	257.0	492.0	385.0	2314.0	90798.3	1146189.0	1555417.948757
sub-3_ses-11_T1w.long.sub-3_base	1172.0	622.0	2478.0	1646.0	496.0	3714.0	5153.0	4337.0	908.0	5703.0	2877.0	3078.0	2061.0	3883.0	722.0	1500.0	1338.0	720.0	1091.0	1401.0	4544.0	872.0	5034.0	3868.0	1044.0	5997.0	8152.0	5553.0	4271.0	4334.0	243.0	478.0	403.0	2375.0	92068.8	1149288.0	1555417.948757
sub-3_ses-12_T1w.long.sub-3_base	1169.0	638.0	2434.0	1598.0	509.0	3791.0	5146.0	4301.0	903.0	5615.0	2855.0	3077.0	1996.0	3856.0	701.0	1472.0	1296.0	701.0	1088.0	1383.0	4421.0	879.0	4890.0	3764.0	1028.0	5894.0	8047.0	5400.0	4241.0	4283.0	248.0	476.0	402.0	2349.0	90849.8	1147242.0	1555417.948757
sub-3_ses-13_T1w.long.sub-3_base	1164.0	644.0	2467.0	1680.0	477.0	3646.0	5076.0	4275.0	925.0	5560.0	2777.0	3072.0	1981.0	3885.0	691.0	1463.0	1336.0	704.0	1065.0	1431.0	4348.0	872.0	4879.0	3754.0	1015.0	5881.0	8037.0	5383.0	4266.0	4272.0	248.0	446.0	401.0	2330.0	90450.7	1154074.0	1555417.948757
sub-3_ses-14_T1w.long.sub-3_base	1188.0	634.0	2424.0	1648.0	474.0	3659.0	5060.0	4244.0	908.0	5549.0	2853.0	3050.0	1987.0	3861.0	716.0	1487.0	1323.0	734.0	1092.0	1389.0	4425.0	879.0	4921.0	3771.0	997.0	5921.0	8020.0	5411.0	4177.0	4299.0	242.0	434.0	397.0	2284.0	90457.8	1145656.0	1555417.948757
sub-3_ses-15_T1w.long.sub-3_base	1181.0	634.0	2436.0	1645.0	440.0	3663.0	5105.0	4166.0	894.0	5504.0	2713.0	3041.0	1995.0	3829.0	711.0	1477.0	1302.0	710.0	1070.0	1382.0	4373.0	868.0	4889.0	3791.0	981.0	5864.0	7947.0	5440.0	4179.0	4281.0	251.0	423.0	395.0	2343.0	89924.4	1149797.0	1555417.948757
sub-3_ses-16_T1w.long.sub-3_base	1164.0	633.0	2452.0	1614.0	496.0	3786.0	5100.0	4323.0	905.0	5592.0	2854.0	3067.0	2034.0	3905.0	718.0	1496.0	1325.0	738.0	1078.0	1377.0	4439.0	872.0	4929.0	3760.0	1017.0	5985.0	8038.0	5430.0	4276.0	4314.0	260.0	487.0	412.0	2291.0	91165.7	1151208.0	1555417.948757
sub-3_ses-17_T1w.long.sub-3_base	1178.0	651.0	2461.0	1677.0	488.0	3703.0	5216.0	4383.0	923.0	5586.0	2859.0	3092.0	2026.0	3931.0	711.0	1520.0	1326.0	726.0	1079.0	1385.0	4676.0	899.0	5022.0	3791.0	997.0	5949.0	8104.0	5515.0	4273.0	4333.0	253.0	469.0	438.0	2372.0	92008.9	1154340.0	1555417.948757
sub-3_ses-18_T1w.long.sub-3_base	1168.0	640.0	2437.0	1672.0	552.0	3772.0	5137.0	4290.0	897.0	5674.0	2840.0	3061.0	2056.0	3906.0	707.0	1531.0	1302.0	697.0	1085.0	1384.0	4490.0	886.0	4998.0	3793.0	1000.0	6011.0	8105.0	5498.0	4231.0	4347.0	242.0	518.0	403.0	2303.0	91635.6	1150908.0	1555417.948757
sub-3_ses-19_T1w.long.sub-3_base	1172.0	643.0	2460.0	1628.0	459.0	3680.0	5111.0	4300.0	889.0	5557.0	2845.0	3008.0	2057.0	3850.0	715.0	1459.0	1312.0	728.0	1076.0	1386.0	4398.0	874.0	4894.0	3786.0	1017.0	5941.0	8081.0	5405.0	4245.0	4283.0	253.0	471.0	392.0	2292.0	90667.1	1148949.0	1555417.948757
sub-3_ses-20_T1w.long.sub-3_base	1175.0	649.0	2456.0	1686.0	506.0	3721.0	5107.0	4289.0	904.0	5564.0	2856.0	3103.0	2047.0	3907.0	721.0	1504.0	1325.0	726.0	1064.0	1386.0	4433.0	884.0	4906.0	3784.0	1045.0	5905.0	8002.0	5420.0	4301.0	4310.0	253.0	456.0	418.0	2370.0	91183.2	1152661.0	1555417.948757
sub-3_ses-21_T1w.long.sub-3_base	1171.0	630.0	2483.0	1607.0	519.0	3704.0	5091.0	4249.0	894.0	5532.0	2788.0	2994.0	2017.0	3869.0	713.0	1486.0	1323.0	720.0	1087.0	1370.0	4566.0	861.0	4961.0	3793.0	1015.0	5882.0	7991.0	5521.0	4255.0	4287.0	254.0	445.0	399.0	2345.0	90821.8	1139829.0	1555417.948757
sub-3_ses-22_T1w.long.sub-3_base	1157.0	642.0	2493.0	1616.0	476.0	3668.0	5089.0	4291.0	897.0	5522.0	2838.0	3011.0	1982.0	3882.0	714.0	1464.0	1366.0	705.0	1107.0	1388.0	4580.0	873.0	5095.0	3779.0	993.0	5853.0	8022.0	5522.0	4209.0	4329.0	240.0	453.0	437.0	2291.0	90981.7	1140081.0	1555417.948757
sub-3_ses-23_T1w.long.sub-3_base	1166.0	631.0	2404.0	1645.0	481.0	3731.0	5052.0	4299.0	914.0	5533.0	2816.0	3045.0	2026.0	3887.0	708.0	1459.0	1329.0	702.0	1069.0	1385.0	4376.0	887.0	4882.0	3725.0	1018.0	5868.0	7982.0	5427.0	4254.0	4275.0	247.0	449.0	397.0	2368.0	90436.1	1142463.0	1555417.948757
sub-3_ses-24_T1w.long.sub-3_base	1172.0	643.0	2432.0	1592.0	475.0	3729.0	5134.0	4256.0	907.0	5553.0	2939.0	2992.0	2056.0	3823.0	716.0	1471.0	1307.0	718.0	1079.0	1374.0	4400.0	894.0	4940.0	3769.0	999.0	5930.0	7955.0	5394.0	4273.0	4285.0	248.0	497.0	390.0	2331.0	90673.9	1139831.0	1555417.948757
sub-3_ses-25_T1w.long.sub-3_base	1167.0	633.0	2447.0	1610.0	484.0	3744.0	5102.0	4298.0	905.0	5513.0	2810.0	3082.0	2026.0	3884.0	712.0	1521.0	1338.0	721.0	1080.0	1383.0	4505.0	891.0	4967.0	3758.0	992.0	5884.0	8026.0	5406.0	4262.0	4294.0	243.0	463.0	403.0	2286.0	90840.5	1139511.0	1555417.948757
