lh.aparc.DKTatlas.area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w.long.sub-3_base	1216.0	2549.0	2242.0	427.0	3389.0	5589.0	4407.0	955.0	5465.0	3207.0	3090.0	1749.0	5286.0	771.0	1791.0	1293.0	670.0	1224.0	1509.0	5487.0	1067.0	5293.0	3645.0	1248.0	4381.0	8594.0	4936.0	5572.0	4072.0	428.0	1924.0	93473.8	1132380.0	1555417.948757
sub-3_ses-2_T1w.long.sub-3_base	1250.0	2567.0	2070.0	388.0	3420.0	5053.0	4248.0	916.0	5394.0	3156.0	3145.0	1649.0	5221.0	761.0	1683.0	1233.0	648.0	1252.0	1355.0	4900.0	1031.0	4752.0	3666.0	1248.0	4251.0	8412.0	4474.0	5406.0	3864.0	400.0	1919.0	89735.4	1139081.0	1555417.948757
sub-3_ses-3_T1w.long.sub-3_base	1257.0	2560.0	2083.0	395.0	3349.0	5069.0	4310.0	922.0	5496.0	3263.0	3052.0	1723.0	5274.0	744.0	1727.0	1233.0	668.0	1254.0	1359.0	5090.0	1053.0	4888.0	3686.0	1278.0	4191.0	8424.0	4525.0	5520.0	3879.0	379.0	1882.0	90533.1	1144594.0	1555417.948757
sub-3_ses-4_T1w.long.sub-3_base	1271.0	2580.0	2124.0	407.0	3465.0	5140.0	4415.0	911.0	5445.0	3262.0	3146.0	1721.0	5305.0	758.0	1750.0	1251.0	693.0	1260.0	1365.0	5142.0	1043.0	4930.0	3740.0	1298.0	4329.0	8632.0	4521.0	5418.0	3889.0	399.0	1928.0	91539.6	1146359.0	1555417.948757
sub-3_ses-5_T1w.long.sub-3_base	1275.0	2615.0	2063.0	398.0	3437.0	5069.0	4386.0	913.0	5390.0	3200.0	3106.0	1705.0	5289.0	742.0	1720.0	1258.0	684.0	1245.0	1365.0	5038.0	1055.0	4935.0	3678.0	1290.0	4368.0	8607.0	4522.0	5475.0	3887.0	394.0	1955.0	91063.7	1148343.0	1555417.948757
sub-3_ses-6_T1w.long.sub-3_base	1285.0	2531.0	2085.0	428.0	3445.0	5070.0	4298.0	909.0	5424.0	3201.0	3043.0	1689.0	5282.0	759.0	1768.0	1255.0	699.0	1284.0	1371.0	5113.0	1067.0	4902.0	3704.0	1254.0	4350.0	8583.0	4533.0	5435.0	3901.0	401.0	1916.0	90985.5	1136717.0	1555417.948757
sub-3_ses-7_T1w.long.sub-3_base	1287.0	2591.0	2147.0	441.0	3293.0	5389.0	4313.0	942.0	5660.0	3417.0	3255.0	1693.0	5449.0	795.0	1947.0	1276.0	763.0	1338.0	1427.0	5433.0	1096.0	5290.0	3976.0	1211.0	4486.0	9063.0	4964.0	5663.0	4054.0	448.0	1940.0	95045.4	1128608.0	1555417.948757
sub-3_ses-8_T1w.long.sub-3_base	1280.0	2633.0	2158.0	426.0	3503.0	5092.0	4390.0	936.0	5422.0	3289.0	3181.0	1711.0	5381.0	757.0	1747.0	1265.0	678.0	1272.0	1415.0	5072.0	1074.0	4871.0	3750.0	1317.0	4368.0	8708.0	4521.0	5505.0	3922.0	410.0	1947.0	92002.4	1146081.0	1555417.948757
sub-3_ses-9_T1w.long.sub-3_base	1266.0	2609.0	2133.0	399.0	3462.0	5026.0	4204.0	902.0	5471.0	3096.0	3163.0	1691.0	5237.0	746.0	1766.0	1244.0	666.0	1233.0	1379.0	5056.0	1074.0	4886.0	3739.0	1276.0	4330.0	8471.0	4480.0	5468.0	3883.0	412.0	1897.0	90664.8	1153562.0	1555417.948757
sub-3_ses-10_T1w.long.sub-3_base	1277.0	2586.0	2097.0	408.0	3419.0	5080.0	4304.0	920.0	5420.0	3179.0	3117.0	1753.0	5292.0	732.0	1737.0	1253.0	666.0	1257.0	1365.0	4995.0	1083.0	4849.0	3698.0	1279.0	4348.0	8557.0	4504.0	5459.0	3897.0	388.0	1883.0	90798.3	1146189.0	1555417.948757
