lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w.long.sub-3_base	2.843	2.713	1.801	3.11	2.697	2.254	2.761	2.467	2.006	2.577	2.115	2.398	2.652	2.349	2.409	2.663	2.659	2.543	1.738	2.135	2.574	2.605	2.348	2.802	2.519	2.654	2.244	2.878	2.503	2.588	3.103	2.47678	1132380.0	1555417.948757
sub-3_ses-2_T1w.long.sub-3_base	2.758	2.559	1.838	3.262	2.769	2.359	2.863	2.532	2.052	2.664	2.171	2.415	2.644	2.603	2.592	2.623	2.678	2.416	1.773	2.214	2.576	2.76	2.346	2.73	2.448	2.601	2.293	2.965	2.512	2.71	3.038	2.51079	1139081.0	1555417.948757
sub-3_ses-3_T1w.long.sub-3_base	2.782	2.638	1.863	3.417	2.845	2.407	2.837	2.558	2.041	2.568	2.218	2.362	2.629	2.717	2.555	2.684	2.659	2.354	1.759	2.19	2.612	2.761	2.4	2.682	2.461	2.613	2.312	2.908	2.547	2.798	3.08	2.5175	1144594.0	1555417.948757
sub-3_ses-4_T1w.long.sub-3_base	2.777	2.633	1.823	3.206	2.75	2.399	2.829	2.571	2.072	2.562	2.124	2.393	2.647	2.586	2.616	2.697	2.576	2.381	1.73	2.19	2.608	2.769	2.38	2.688	2.436	2.637	2.318	2.968	2.545	2.699	2.945	2.51245	1146359.0	1555417.948757
sub-3_ses-5_T1w.long.sub-3_base	2.801	2.595	1.866	3.301	2.738	2.404	2.837	2.533	2.065	2.597	2.146	2.418	2.669	2.586	2.656	2.669	2.611	2.397	1.783	2.216	2.579	2.785	2.373	2.719	2.463	2.62	2.317	2.939	2.521	2.776	2.912	2.51707	1148343.0	1555417.948757
sub-3_ses-6_T1w.long.sub-3_base	2.719	2.592	1.83	3.128	2.7	2.393	2.757	2.537	2.012	2.491	2.158	2.461	2.586	2.567	2.536	2.62	2.516	2.272	1.748	2.177	2.551	2.751	2.386	2.659	2.38	2.589	2.312	2.863	2.492	2.686	2.966	2.47492	1136717.0	1555417.948757
sub-3_ses-7_T1w.long.sub-3_base	2.69	2.544	1.757	3.072	2.671	2.169	2.606	2.418	1.912	2.441	2.069	2.401	2.342	2.557	2.242	2.484	2.467	2.24	1.625	2.073	2.476	2.479	2.221	2.663	2.29	2.486	2.087	2.713	2.33	2.325	2.899	2.33893	1128608.0	1555417.948757
sub-3_ses-8_T1w.long.sub-3_base	2.844	2.573	1.82	3.148	2.759	2.453	2.867	2.551	2.088	2.615	2.139	2.468	2.68	2.592	2.632	2.659	2.695	2.477	1.532	2.23	2.575	2.773	2.415	2.679	2.485	2.618	2.331	2.938	2.524	2.599	2.912	2.52266	1146081.0	1555417.948757
sub-3_ses-9_T1w.long.sub-3_base	2.799	2.598	1.839	3.229	2.762	2.456	2.917	2.592	2.081	2.649	2.164	2.41	2.71	2.597	2.524	2.663	2.716	2.451	1.647	2.204	2.575	2.761	2.394	2.667	2.488	2.633	2.338	2.939	2.545	2.544	2.997	2.52875	1153562.0	1555417.948757
sub-3_ses-10_T1w.long.sub-3_base	2.84	2.639	1.872	3.329	2.812	2.472	2.9	2.549	2.08	2.639	2.16	2.434	2.69	2.602	2.592	2.691	2.696	2.421	1.701	2.252	2.553	2.801	2.422	2.723	2.48	2.67	2.327	2.957	2.582	2.755	3.022	2.54787	1146189.0	1555417.948757
