rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w.long.sub-3_base	937.0	3017.0	2251.0	455.0	3023.0	5310.0	4353.0	807.0	4777.0	3270.0	3438.0	1848.0	4426.0	615.0	1507.0	1494.0	831.0	1298.0	1662.0	4130.0	1090.0	5672.0	3907.0	1046.0	5133.0	11778.0	3195.0	5026.0	2930.0	353.0	1920.0	91499.9	1132380.0	1555417.948757
sub-3_ses-2_T1w.long.sub-3_base	945.0	2955.0	2239.0	452.0	3076.0	5215.0	4348.0	781.0	4817.0	3366.0	3530.0	1790.0	4371.0	653.0	1390.0	1491.0	881.0	1347.0	1643.0	3974.0	1043.0	5304.0	3669.0	1030.0	5291.0	11363.0	3062.0	5085.0	2941.0	301.0	1963.0	90316.1	1139081.0	1555417.948757
sub-3_ses-3_T1w.long.sub-3_base	943.0	2996.0	2189.0	461.0	3076.0	5170.0	4435.0	778.0	5022.0	3363.0	3544.0	1855.0	4386.0	652.0	1420.0	1449.0	872.0	1341.0	1712.0	3998.0	1028.0	5398.0	3715.0	1008.0	5335.0	11308.0	3120.0	5000.0	2943.0	302.0	1907.0	90725.6	1144594.0	1555417.948757
sub-3_ses-4_T1w.long.sub-3_base	959.0	3035.0	2191.0	462.0	3082.0	5280.0	4392.0	802.0	4878.0	3355.0	3547.0	1865.0	4394.0	664.0	1419.0	1478.0	874.0	1351.0	1679.0	4049.0	1034.0	5422.0	3735.0	1055.0	5371.0	11525.0	3141.0	5057.0	2983.0	316.0	1946.0	91339.9	1146359.0	1555417.948757
sub-3_ses-5_T1w.long.sub-3_base	958.0	3012.0	2167.0	475.0	3100.0	5263.0	4500.0	782.0	4900.0	3421.0	3506.0	1871.0	4428.0	646.0	1426.0	1493.0	874.0	1360.0	1622.0	4070.0	1049.0	5405.0	3710.0	1046.0	5501.0	11642.0	3072.0	5107.0	2949.0	299.0	1952.0	91604.7	1148343.0	1555417.948757
sub-3_ses-6_T1w.long.sub-3_base	946.0	2989.0	2175.0	479.0	3014.0	5213.0	4307.0	794.0	4799.0	3314.0	3368.0	1845.0	4327.0	653.0	1417.0	1441.0	879.0	1382.0	1659.0	3999.0	1063.0	5324.0	3692.0	1012.0	5384.0	11501.0	3047.0	5001.0	2948.0	310.0	1933.0	90215.1	1136717.0	1555417.948757
sub-3_ses-7_T1w.long.sub-3_base	931.0	3056.0	2260.0	443.0	3013.0	5493.0	4540.0	793.0	5230.0	3466.0	3549.0	1841.0	4482.0	659.0	1566.0	1426.0	883.0	1300.0	1674.0	4170.0	1056.0	5655.0	3985.0	984.0	5279.0	11904.0	3455.0	5136.0	3078.0	342.0	1951.0	93602.3	1128608.0	1555417.948757
sub-3_ses-8_T1w.long.sub-3_base	954.0	3008.0	2158.0	480.0	3077.0	5219.0	4432.0	793.0	4771.0	3411.0	3460.0	1844.0	4416.0	648.0	1424.0	1496.0	880.0	1380.0	1639.0	4100.0	1040.0	5409.0	3708.0	1070.0	5450.0	11623.0	3051.0	5104.0	2990.0	312.0	1953.0	91300.4	1146081.0	1555417.948757
sub-3_ses-9_T1w.long.sub-3_base	938.0	2934.0	2268.0	499.0	3119.0	5235.0	4448.0	787.0	4846.0	3314.0	3576.0	1812.0	4400.0	648.0	1432.0	1459.0	868.0	1331.0	1667.0	4018.0	1052.0	5338.0	3760.0	1046.0	5336.0	11408.0	3096.0	5001.0	2943.0	300.0	1894.0	90773.1	1153562.0	1555417.948757
sub-3_ses-10_T1w.long.sub-3_base	964.0	2950.0	2163.0	474.0	3068.0	5220.0	4416.0	788.0	4810.0	3206.0	3499.0	1869.0	4372.0	661.0	1402.0	1472.0	881.0	1344.0	1649.0	4011.0	1056.0	5371.0	3718.0	1057.0	5430.0	11464.0	3059.0	4990.0	2955.0	294.0	1916.0	90531.5	1146189.0	1555417.948757
sub-3_ses-11_T1w.long.sub-3_base	965.0	3007.0	2225.0	486.0	3091.0	5256.0	4387.0	781.0	4914.0	3458.0	3485.0	1843.0	4342.0	665.0	1445.0	1450.0	863.0	1348.0	1697.0	4049.0	1070.0	5481.0	3753.0	1049.0	5313.0	11430.0	3113.0	5023.0	2988.0	302.0	1914.0	91192.9	1149288.0	1555417.948757
sub-3_ses-12_T1w.long.sub-3_base	942.0	2967.0	2173.0	455.0	3034.0	5210.0	4437.0	778.0	4838.0	3367.0	3466.0	1834.0	4365.0	654.0	1397.0	1449.0	870.0	1359.0	1642.0	3999.0	1038.0	5344.0	3653.0	1024.0	5399.0	11431.0	3060.0	4978.0	2934.0	297.0	1930.0	90321.8	1147242.0	1555417.948757
