rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w.long.sub-3_base	2574.0	2571.0	8090.0	3702.0	2228.0	10830.0	14499.0	11660.0	2146.0	10618.0	7246.0	7181.0	6860.0	11043.0	1792.0	3375.0	3478.0	3453.0	3828.0	2191.0	10439.0	2602.0	13114.0	8948.0	2555.0	21011.0	26209.0	9678.0	11702.0	8653.0	1463.0	3046.0	847.0	6508.0	1132380.0	1555417.948757
sub-3_ses-2_T1w.long.sub-3_base	2457.0	2590.0	7745.0	3473.0	2444.0	11590.0	15122.0	13136.0	2141.0	11128.0	8028.0	7364.0	6676.0	11887.0	2038.0	3479.0	3553.0	3464.0	3737.0	2006.0	10677.0	2553.0	13001.0	9245.0	2524.0	20581.0	25832.0	9859.0	12324.0	8774.0	1493.0	3001.0	917.0	6287.0	1139081.0	1555417.948757
sub-3_ses-3_T1w.long.sub-3_base	2419.0	2557.0	8065.0	3609.0	2519.0	11474.0	15420.0	13136.0	2188.0	11202.0	8437.0	7420.0	6879.0	11863.0	2019.0	3527.0	3573.0	3703.0	3883.0	2162.0	10851.0	2583.0	13210.0	9519.0	2579.0	21051.0	26547.0	9847.0	12246.0	9019.0	1543.0	3108.0	924.0	6326.0	1144594.0	1555417.948757
sub-3_ses-4_T1w.long.sub-3_base	2382.0	2582.0	7991.0	3620.0	2597.0	11272.0	15073.0	12954.0	2181.0	11168.0	8134.0	7288.0	6871.0	11828.0	1988.0	3570.0	3577.0	3659.0	3832.0	2223.0	10803.0	2586.0	13246.0	9309.0	2565.0	20976.0	26446.0	9822.0	12193.0	8946.0	1457.0	3237.0	907.0	6251.0	1146359.0	1555417.948757
sub-3_ses-5_T1w.long.sub-3_base	2419.0	2606.0	7998.0	3629.0	2624.0	11426.0	15211.0	13170.0	2186.0	11315.0	8282.0	7342.0	6881.0	11974.0	1977.0	3561.0	3568.0	3605.0	3908.0	2213.0	10722.0	2601.0	13344.0	9278.0	2534.0	21172.0	26283.0	9851.0	12343.0	9068.0	1469.0	3181.0	902.0	6187.0	1148343.0	1555417.948757
sub-3_ses-6_T1w.long.sub-3_base	2395.0	2546.0	7985.0	3616.0	2530.0	11292.0	15119.0	12897.0	2176.0	11115.0	8108.0	7414.0	6746.0	11523.0	2003.0	3524.0	3554.0	3582.0	3814.0	2295.0	10851.0	2601.0	13211.0	9434.0	2521.0	20882.0	26151.0	9789.0	12104.0	8916.0	1488.0	3053.0	892.0	6278.0	1136717.0	1555417.948757
sub-3_ses-7_T1w.long.sub-3_base	2259.0	2467.0	7670.0	3509.0	2405.0	10789.0	14336.0	12157.0	2140.0	10496.0	7885.0	7266.0	6593.0	11003.0	1907.0	3277.0	3315.0	3499.0	3717.0	2180.0	10367.0	2459.0	12982.0	8608.0	2557.0	20436.0	25160.0	9045.0	11515.0	8540.0	1397.0	2889.0	875.0	6183.0	1128608.0	1555417.948757
sub-3_ses-8_T1w.long.sub-3_base	2399.0	2545.0	7837.0	3562.0	2500.0	11302.0	14925.0	12965.0	2173.0	11074.0	8177.0	7236.0	6819.0	11782.0	1966.0	3491.0	3487.0	3576.0	3821.0	2123.0	10713.0	2557.0	13078.0	9334.0	2494.0	21093.0	26189.0	9712.0	12109.0	8805.0	1461.0	3149.0	858.0	6080.0	1146081.0	1555417.948757
sub-3_ses-9_T1w.long.sub-3_base	2413.0	2556.0	7964.0	3487.0	2508.0	11240.0	15025.0	13047.0	2159.0	11295.0	8138.0	7070.0	6739.0	11864.0	1934.0	3434.0	3575.0	3615.0	3736.0	2013.0	10653.0	2558.0	13090.0	9192.0	2555.0	21010.0	26174.0	9869.0	12221.0	8841.0	1518.0	2977.0	909.0	6202.0	1153562.0	1555417.948757
sub-3_ses-10_T1w.long.sub-3_base	2383.0	2569.0	8121.0	3615.0	2494.0	11342.0	15077.0	13090.0	2132.0	11071.0	8114.0	7472.0	6945.0	11726.0	1951.0	3541.0	3636.0	3643.0	3867.0	2213.0	10955.0	2594.0	13333.0	9385.0	2518.0	21271.0	26549.0	9888.0	12174.0	8973.0	1457.0	3183.0	888.0	6188.0	1146189.0	1555417.948757
