rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w.long.sub-3_base	2683.0	8269.0	4517.0	1905.0	9826.0	14220.0	12838.0	2083.0	10845.0	8765.0	6985.0	5132.0	12834.0	1920.0	3647.0	4055.0	2699.0	3534.0	2209.0	11072.0	2724.0	13005.0	8960.0	2981.0	14792.0	33851.0	7825.0	16673.0	8467.0	863.0	5959.0	1132380.0	1555417.948757
sub-3_ses-2_T1w.long.sub-3_base	2706.0	7936.0	4368.0	2110.0	10529.0	14840.0	14419.0	2085.0	11338.0	9442.0	7165.0	5071.0	13596.0	2186.0	3717.0	4147.0	2824.0	3417.0	2015.0	11309.0	2690.0	12899.0	9249.0	2954.0	14420.0	33374.0	7906.0	17244.0	8609.0	925.0	5634.0	1139081.0	1555417.948757
sub-3_ses-3_T1w.long.sub-3_base	2686.0	8248.0	4511.0	2175.0	10456.0	15104.0	14362.0	2135.0	11379.0	9915.0	7216.0	5170.0	13540.0	2165.0	3785.0	4160.0	2974.0	3572.0	2170.0	11523.0	2708.0	13170.0	9509.0	3028.0	14691.0	34313.0	7931.0	17203.0	8864.0	936.0	5807.0	1144594.0	1555417.948757
sub-3_ses-4_T1w.long.sub-3_base	2702.0	8160.0	4543.0	2257.0	10213.0	14775.0	14198.0	2121.0	11379.0	9616.0	7093.0	5148.0	13499.0	2144.0	3835.0	4148.0	2941.0	3529.0	2220.0	11464.0	2716.0	13167.0	9336.0	3004.0	14788.0	34079.0	7857.0	17319.0	8746.0	924.0	5611.0	1146359.0	1555417.948757
sub-3_ses-5_T1w.long.sub-3_base	2720.0	8184.0	4507.0	2227.0	10369.0	14918.0	14462.0	2120.0	11535.0	9811.0	7152.0	5239.0	13667.0	2130.0	3804.0	4155.0	2861.0	3603.0	2220.0	11403.0	2734.0	13269.0	9289.0	2962.0	14849.0	33975.0	7880.0	17445.0	8857.0	914.0	5565.0	1148343.0	1555417.948757
sub-3_ses-6_T1w.long.sub-3_base	2659.0	8181.0	4494.0	2192.0	10215.0	14831.0	14177.0	2108.0	11330.0	9504.0	7210.0	5143.0	13169.0	2177.0	3749.0	4156.0	2840.0	3506.0	2311.0	11522.0	2723.0	13112.0	9477.0	2946.0	14678.0	33770.0	7831.0	16998.0	8751.0	902.0	5743.0	1136717.0	1555417.948757
sub-3_ses-7_T1w.long.sub-3_base	2559.0	7866.0	4289.0	2055.0	9741.0	14073.0	13447.0	2096.0	10645.0	9213.0	7064.0	4930.0	12563.0	2032.0	3484.0	3888.0	2788.0	3432.0	2187.0	11017.0	2568.0	12844.0	8647.0	2988.0	14401.0	32672.0	7297.0	16169.0	8376.0	892.0	5657.0	1128608.0	1555417.948757
sub-3_ses-8_T1w.long.sub-3_base	2656.0	8034.0	4460.0	2121.0	10312.0	14654.0	14182.0	2110.0	11266.0	9636.0	7031.0	5158.0	13458.0	2109.0	3704.0	4050.0	2856.0	3544.0	2125.0	11380.0	2680.0	13013.0	9365.0	2929.0	14740.0	33916.0	7747.0	17135.0	8632.0	874.0	5520.0	1146081.0	1555417.948757
sub-3_ses-9_T1w.long.sub-3_base	2675.0	8139.0	4335.0	2145.0	10184.0	14748.0	14280.0	2093.0	11513.0	9716.0	6876.0	5084.0	13553.0	2097.0	3667.0	4145.0	2866.0	3465.0	2022.0	11312.0	2679.0	13042.0	9216.0	3017.0	14617.0	33900.0	7951.0	17013.0	8666.0	928.0	5636.0	1153562.0	1555417.948757
sub-3_ses-10_T1w.long.sub-3_base	2685.0	8308.0	4503.0	2129.0	10290.0	14791.0	14351.0	2072.0	11289.0	9560.0	7254.0	5258.0	13395.0	2119.0	3754.0	4213.0	2910.0	3564.0	2218.0	11623.0	2730.0	13274.0	9431.0	2967.0	14915.0	34299.0	7902.0	17197.0	8800.0	901.0	5655.0	1146189.0	1555417.948757
